Nr.;Transport;Beladedatum;ID_Empfänger;Gewicht;Distanz;Frachtkosten;ID_Sendung
0;3615088677;02.05.2022;1001;190;21,766;29,9889;0
1;3615088677;02.05.2022;1002;1654,58;16,503;81,7032198;1
2;3615088677;02.05.2022;1003;595,75;30,441;44,3159325;2
3;3615088677;02.05.2022;1004;728,44;42,879;49,0012164;3
4;3615088677;02.05.2022;1005;2468;45,612;110,42508;4
5;3615088677;02.05.2022;1006;9436,97;45,307;356,4994107;5
6;3615088677;02.05.2022;1007;496;51,972;40,79376;6
7;3615088677;02.05.2022;1008;3513,8;66,914;147,352278;7
8;3615088680;02.05.2022;1009;122,64;51,415;27,6104184;8
9;3615088680;02.05.2022;1010;593,75;63,413;44,2453125;9
10;3615088680;02.05.2022;1011;8456;101,863;321,86136;10
11;3615088679;02.05.2022;1012;9052;88,307;342,90612;11
12;3615088679;02.05.2022;1013;329;92,97;34,89699;12
13;3615088679;02.05.2022;1014;170;103,043;29,2827;13
14;3615088679;02.05.2022;1015;2103,75;86,312;97,5634125;14
15;3615088679;02.05.2022;1016;5904;54,489;231,75024;15
16;3615088679;02.05.2022;1017;500;53,521;40,935;16
17;3615088679;02.05.2022;1018;4756;35,96;191,21436;17
18;3615088683;02.05.2022;1019;3951,78;48,315;162,8173518;18
19;3615088683;02.05.2022;1020;1459,48;47,386;74,8142388;19
20;3615088683;02.05.2022;1021;104;71,383;26,95224;20
21;3615088683;02.05.2022;1022;3105,7;87,923;132,942267;21
22;3615088681;02.05.2022;1023;2028;57,033;94,88868;22
23;3615088681;02.05.2022;1024;1070;72,457;61,0617;23
24;3615088681;02.05.2022;1025;1148,21;77,412;63,8232951;24
25;3615088681;02.05.2022;1026;23;87,572;24,09213;25
26;3615088681;02.05.2022;1027;5006,64;92,337;200,0644584;26
27;3615088681;02.05.2022;1028;14336;106,939;529,48416;27
28;3615088678;02.05.2022;1029;347,05;22,095;35,5343355;28
29;3615088678;02.05.2022;1030;1652;33,18;81,61212;29
30;3615088678;02.05.2022;1031;280,73;41,348;33,1925763;30
31;3615088678;02.05.2022;1032;380,67;30,826;36,7214577;31
32;3615088678;02.05.2022;1033;1517;41,816;76,84527;32
33;3615088678;02.05.2022;1034;458,96;85,295;39,4858776;33
34;3615088678;02.05.2022;1035;443,82;57,859;38,9512842;34
35;3615088678;02.05.2022;1036;545,62;53,47;42,5458422;35
36;3615088676;02.05.2022;1037;129,84;10,007;27,8646504;36
37;3615088676;02.05.2022;1038;38;22,611;24,62178;37
38;3615088676;02.05.2022;1039;19;26,68;23,95089;38
39;3615088676;02.05.2022;1040;31,5;36,644;24,392265;39
40;3615088676;02.05.2022;1041;932;34,875;56,18892;40
41;3615088676;02.05.2022;1042;308;35,082;34,15548;41
42;3615088676;02.05.2022;1043;170;23,535;29,2827;42
43;3615088676;02.05.2022;1044;2000;20,871;93,9;43
44;3615088676;02.05.2022;1045;4675;58,624;188,35425;44
45;3615088676;02.05.2022;1046;212,5;13,357;30,783375;45
46;3615088682;02.05.2022;1047;711;94,736;48,38541;46
47;3615088682;02.05.2022;1048;164;101,029;29,07084;47
48;3615088682;02.05.2022;1049;5184;121,725;206,32704;48
49;3615088682;02.05.2022;1050;93;105,222;26,56383;49
50;3615088682;02.05.2022;1051;213;95,302;30,80103;50
51;3615088685;02.05.2022;1052;8293,01;168,048;316,1061831;51
52;3615088685;02.05.2022;1053;530;136,892;41,9943;52
53;3615088685;02.05.2022;1054;449,79;115,688;39,1620849;53
54;3615088685;02.05.2022;1054;1515;115,516;76,77465;54
55;3615088685;02.05.2022;1055;1082,53;109,527;61,5041343;55
56;3615088684;02.05.2022;1056;270,47;135,745;32,8302957;56
57;3615088684;02.05.2022;1057;404,58;124,538;37,5657198;57
58;3615088684;02.05.2022;1058;538,02;128,739;42,2774862;58
