Gewicht_kg;Distanz;Kosten
0.001;0.001;15.16
25.001;0.001;29.3
50.001;0.001;31.97
75.001;0.001;37.41
100.001;0.001;43.54
200.001;0.001;44.85
300.001;0.001;46.21
400.001;0.001;47.86
500.001;0.001;49.58
600.001;0.001;51.35
700.001;0.001;53.18
800.001;0.001;55.08
900.001;0.001;55.41
1000.001;0.001;57.37
1100.001;0.001;58.69
1200.001;0.001;60.39
1300.001;0.001;62.12
1400.001;0.001;63.5
1500.001;0.001;65.3
1600.001;0.001;65.83
1700.001;0.001;67.66
1800.001;0.001;69.52
1900.001;0.001;71.44
2000.001;0.001;74.15
2500.001;0.001;78.05
3000.001;0.001;82.16
3500.001;0.001;86.48
4000.001;0.001;91.03
4500.001;0.001;94.47
5000.001;0.001;99.45
6000.001;0.001;104.68
7000.001;0.001;110.19
8000.001;0.001;115.16
9000.001;0.001;117.51
10000.001;0.001;138.74
11000.001;0.001;138.74
12000.001;0.001;138.74
13000.001;0.001;138.74
14000.001;0.001;138.74
15000.001;0.001;138.74
16000.001;0.001;138.74
17000.001;0.001;138.74
18000.001;0.001;138.74
19000.001;0.001;138.74
20000.001;0.001;138.74
21000.001;0.001;138.74
22000.001;0.001;138.74
23000.001;0.001;138.74
24000.001;0.001;138.74
25000.001;0.001;138.74
0.001;25.001;16.98
25.001;25.001;33.86
50.001;25.001;36.96
75.001;25.001;43.26
100.001;25.001;50.35
200.001;25.001;51.86
300.001;25.001;53.43
400.001;25.001;55.34
500.001;25.001;57.33
600.001;25.001;59.37
700.001;25.001;61.5
800.001;25.001;63.69
900.001;25.001;64.06
1000.001;25.001;66.34
1100.001;25.001;67.86
1200.001;25.001;69.82
1300.001;25.001;71.83
1400.001;25.001;73.42
1500.001;25.001;75.51
1600.001;25.001;76.12
1700.001;25.001;78.24
1800.001;25.001;80.4
1900.001;25.001;82.59
2000.001;25.001;85.73
2500.001;25.001;90.25
3000.001;25.001;95.0
3500.001;25.001;100.0
4000.001;25.001;105.26
4500.001;25.001;109.24
5000.001;25.001;114.99
6000.001;25.001;121.04
7000.001;25.001;127.41
8000.001;25.001;133.16
9000.001;25.001;135.88
10000.001;25.001;160.43
11000.001;25.001;160.43
12000.001;25.001;160.43
13000.001;25.001;160.43
14000.001;25.001;160.43
15000.001;25.001;160.43
16000.001;25.001;160.43
17000.001;25.001;160.43
18000.001;25.001;160.43
19000.001;25.001;160.43
20000.001;25.001;160.43
21000.001;25.001;160.43
22000.001;25.001;160.43
23000.001;25.001;160.43
24000.001;25.001;160.43
25000.001;25.001;160.43
0.001;50.001;18.1
25.001;50.001;38.45
50.001;50.001;41.97
75.001;50.001;49.1
100.001;50.001;57.15
200.001;50.001;58.88
300.001;50.001;60.65
400.001;50.001;62.83
500.001;50.001;65.08
600.001;50.001;67.4
700.001;50.001;69.81
800.001;50.001;72.31
900.001;50.001;72.72
1000.001;50.001;75.3
1100.001;50.001;77.03
1200.001;50.001;79.26
1300.001;50.001;81.55
1400.001;50.001;83.34
1500.001;50.001;85.71
1600.001;50.001;86.41
1700.001;50.001;88.8
1800.001;50.001;91.26
1900.001;50.001;93.76
2000.001;50.001;97.33
2500.001;50.001;102.45
3000.001;50.001;107.84
3500.001;50.001;113.52
4000.001;50.001;119.49
4500.001;50.001;124.01
5000.001;50.001;130.53
6000.001;50.001;137.4
7000.001;50.001;144.63
8000.001;50.001;151.16
9000.001;50.001;154.25
10000.001;50.001;182.12
11000.001;50.001;182.12
12000.001;50.001;182.12
13000.001;50.001;182.12
14000.001;50.001;182.12
15000.001;50.001;182.12
16000.001;50.001;182.12
17000.001;50.001;182.12
18000.001;50.001;182.12
19000.001;50.001;182.12
20000.001;50.001;182.12
21000.001;50.001;182.12
22000.001;50.001;182.12
23000.001;50.001;182.12
24000.001;50.001;182.12
25000.001;50.001;182.12
0.001;75.001;19.41
25.001;75.001;43.02
50.001;75.001;46.96
75.001;75.001;54.95
100.001;75.001;63.95
200.001;75.001;65.88
300.001;75.001;67.88
400.001;75.001;70.3
500.001;75.001;72.82
600.001;75.001;75.43
700.001;75.001;78.12
800.001;75.001;80.92
900.001;75.001;81.38
1000.001;75.001;84.27
1100.001;75.001;86.2
1200.001;75.001;88.7
1300.001;75.001;91.25
1400.001;75.001;93.27
1500.001;75.001;95.93
1600.001;75.001;96.7
1700.001;75.001;99.38
1800.001;75.001;102.13
1900.001;75.001;104.93
2000.001;75.001;108.91
2500.001;75.001;114.65
3000.001;75.001;120.68
3500.001;75.001;127.03
4000.001;75.001;133.72
4500.001;75.001;138.77
5000.001;75.001;146.08
6000.001;75.001;153.76
7000.001;75.001;161.86
8000.001;75.001;169.16
9000.001;75.001;172.61
10000.001;75.001;203.79
11000.001;75.001;203.79
12000.001;75.001;203.79
13000.001;75.001;203.79
14000.001;75.001;203.79
15000.001;75.001;203.79
16000.001;75.001;203.79
17000.001;75.001;203.79
18000.001;75.001;203.79
19000.001;75.001;203.79
20000.001;75.001;203.79
21000.001;75.001;203.79
22000.001;75.001;203.79
23000.001;75.001;203.79
24000.001;75.001;203.79
25000.001;75.001;203.79
0.001;100.001;21.9
25.001;100.001;44.76
50.001;100.001;48.85
75.001;100.001;57.17
100.001;100.001;66.53
200.001;100.001;68.54
300.001;100.001;70.62
400.001;100.001;73.15
500.001;100.001;75.76
600.001;100.001;78.47
700.001;100.001;81.28
800.001;100.001;84.19
900.001;100.001;84.67
1000.001;100.001;87.67
1100.001;100.001;89.68
1200.001;100.001;92.29
1300.001;100.001;94.94
1400.001;100.001;97.04
1500.001;100.001;99.8
1600.001;100.001;100.6
1700.001;100.001;103.4
1800.001;100.001;106.25
1900.001;100.001;109.17
2000.001;100.001;113.32
2500.001;100.001;119.28
3000.001;100.001;125.56
3500.001;100.001;132.16
4000.001;100.001;139.12
4500.001;100.001;144.38
5000.001;100.001;151.97
6000.001;100.001;163.17
7000.001;100.001;175.31
8000.001;100.001;181.61
9000.001;100.001;190.98
10000.001;100.001;225.48
11000.001;100.001;225.48
12000.001;100.001;225.48
13000.001;100.001;225.48
14000.001;100.001;225.48
15000.001;100.001;225.48
16000.001;100.001;225.48
17000.001;100.001;225.48
18000.001;100.001;225.48
19000.001;100.001;225.48
20000.001;100.001;225.48
21000.001;100.001;225.48
22000.001;100.001;225.48
23000.001;100.001;225.48
24000.001;100.001;225.48
25000.001;100.001;225.48
0.001;125.001;24.61
25.001;125.001;46.5
50.001;125.001;50.76
75.001;125.001;59.39
100.001;125.001;69.11
200.001;125.001;71.21
300.001;125.001;73.36
400.001;125.001;75.98
500.001;125.001;78.71
600.001;125.001;81.53
700.001;125.001;84.44
800.001;125.001;87.45
900.001;125.001;87.96
1000.001;125.001;91.08
1100.001;125.001;93.16
1200.001;125.001;95.86
1300.001;125.001;98.63
1400.001;125.001;100.81
1500.001;125.001;103.68
1600.001;125.001;104.51
1700.001;125.001;107.41
1800.001;125.001;110.38
1900.001;125.001;113.4
2000.001;125.001;117.71
2500.001;125.001;123.91
3000.001;125.001;130.43
3500.001;125.001;137.3
4000.001;125.001;144.52
4500.001;125.001;149.99
5000.001;125.001;157.88
6000.001;125.001;172.58
7000.001;125.001;188.75
8000.001;125.001;197.47
9000.001;125.001;219.41
10000.001;125.001;259.05
11000.001;125.001;259.05
12000.001;125.001;259.05
13000.001;125.001;259.05
14000.001;125.001;259.05
15000.001;125.001;259.05
16000.001;125.001;259.05
17000.001;125.001;259.05
18000.001;125.001;259.05
19000.001;125.001;259.05
20000.001;125.001;259.05
21000.001;125.001;259.05
22000.001;125.001;259.05
23000.001;125.001;259.05
24000.001;125.001;259.05
25000.001;125.001;259.05
0.001;150.001;26.98
25.001;150.001;48.24
50.001;150.001;52.65
75.001;150.001;61.61
100.001;150.001;71.7
200.001;150.001;73.87
300.001;150.001;76.1
400.001;150.001;78.83
500.001;150.001;81.65
600.001;150.001;84.57
700.001;150.001;87.59
800.001;150.001;90.73
900.001;150.001;91.24
1000.001;150.001;94.48
1100.001;150.001;96.64
1200.001;150.001;99.45
1300.001;150.001;102.31
1400.001;150.001;104.57
1500.001;150.001;107.55
1600.001;150.001;108.42
1700.001;150.001;111.42
1800.001;150.001;114.51
1900.001;150.001;117.64
2000.001;150.001;122.12
2500.001;150.001;128.54
3000.001;150.001;135.31
3500.001;150.001;142.43
4000.001;150.001;149.92
4500.001;150.001;155.6
5000.001;150.001;163.78
6000.001;150.001;181.97
7000.001;150.001;202.2
8000.001;150.001;223.06
9000.001;150.001;247.84
10000.001;150.001;292.62
11000.001;150.001;292.62
12000.001;150.001;292.62
13000.001;150.001;292.62
14000.001;150.001;292.62
15000.001;150.001;292.62
16000.001;150.001;292.62
17000.001;150.001;292.62
18000.001;150.001;292.62
19000.001;150.001;292.62
20000.001;150.001;292.62
21000.001;150.001;292.62
22000.001;150.001;292.62
23000.001;150.001;292.62
24000.001;150.001;292.62
25000.001;150.001;292.62
0.001;175.001;29.67
25.001;175.001;53.78
50.001;175.001;58.69
75.001;175.001;68.68
100.001;175.001;79.93
200.001;175.001;82.35
300.001;175.001;84.83
400.001;175.001;87.87
500.001;175.001;91.01
600.001;175.001;94.27
700.001;175.001;97.64
800.001;175.001;101.13
900.001;175.001;101.71
1000.001;175.001;105.32
1100.001;175.001;107.74
1200.001;175.001;110.85
1300.001;175.001;114.05
1400.001;175.001;116.58
1500.001;175.001;119.89
1600.001;175.001;120.86
1700.001;175.001;124.21
1800.001;175.001;127.64
1900.001;175.001;131.14
2000.001;175.001;136.12
2500.001;175.001;143.29
3000.001;175.001;150.83
3500.001;175.001;158.76
4000.001;175.001;167.13
4500.001;175.001;173.44
5000.001;175.001;182.57
6000.001;175.001;202.85
7000.001;175.001;225.4
8000.001;175.001;248.65
9000.001;175.001;276.29
10000.001;175.001;326.19
11000.001;175.001;326.19
12000.001;175.001;326.19
13000.001;175.001;326.19
14000.001;175.001;326.19
15000.001;175.001;326.19
16000.001;175.001;326.19
17000.001;175.001;326.19
18000.001;175.001;326.19
19000.001;175.001;326.19
20000.001;175.001;326.19
21000.001;175.001;326.19
