MR_ID;Kalenderwoche;Wochentag;Monat;Fahrzeugtyp;Fahrzeugkapazität;Frachtgewicht;Auslastung;SequenzExt;SequenzInt
0-0-2;19;0;<attribute 'month' of 'datetime.date' objects>;2;24000;20675.0;0.8614583333333333;[1016, 0];[1, 0]
0-5-0;19;0;<attribute 'month' of 'datetime.date' objects>;0;9000;11298.11;1.2553455555555557;[1236, 0];[6, 0]
0-44-2;19;0;<attribute 'month' of 'datetime.date' objects>;2;24000;3926.6500000000005;0.1636104166666667;[1065, 1204, 1062, 1068, 0];[3, 5, 2, 4, 0]
2-5-0;19;2;<attribute 'month' of 'datetime.date' objects>;0;9000;0.0;0.0;[1236, 0];[6, 0]
2-44-2;19;2;<attribute 'month' of 'datetime.date' objects>;2;24000;14035.61;0.5848170833333334;[1065, 1204, 1062, 1068, 0];[3, 5, 2, 4, 0]
3-6-2;19;3;<attribute 'month' of 'datetime.date' objects>;2;24000;5694.0;0.23725;[1062, 1016, 0];[2, 1, 0]
0-0-2;20;0;<attribute 'month' of 'datetime.date' objects>;2;24000;8159.27;0.3399695833333333;[1016, 0];[1, 0]
0-5-0;20;0;<attribute 'month' of 'datetime.date' objects>;0;9000;11632.0;1.2924444444444445;[1236, 0];[6, 0]
0-44-2;20;0;<attribute 'month' of 'datetime.date' objects>;2;24000;10605.39;0.44189124999999996;[1065, 1204, 1062, 1068, 0];[3, 5, 2, 4, 0]
2-5-0;20;2;<attribute 'month' of 'datetime.date' objects>;0;9000;0.0;0.0;[1236, 0];[6, 0]
2-44-2;20;2;<attribute 'month' of 'datetime.date' objects>;2;24000;8986.130000000001;0.3744220833333334;[1065, 1204, 1062, 1068, 0];[3, 5, 2, 4, 0]
3-6-2;20;3;<attribute 'month' of 'datetime.date' objects>;2;24000;8632.29;0.35967875000000005;[1062, 1016, 0];[2, 1, 0]
0-0-2;21;0;<attribute 'month' of 'datetime.date' objects>;2;24000;5580.0;0.2325;[1016, 0];[1, 0]
0-5-0;21;0;<attribute 'month' of 'datetime.date' objects>;0;9000;0.0;0.0;[1236, 0];[6, 0]
0-44-2;21;0;<attribute 'month' of 'datetime.date' objects>;2;24000;20460.22;0.8525091666666668;[1065, 1204, 1062, 1068, 0];[3, 5, 2, 4, 0]
2-5-0;21;2;<attribute 'month' of 'datetime.date' objects>;0;9000;2485.5;0.27616666666666667;[1236, 0];[6, 0]
2-44-2;21;2;<attribute 'month' of 'datetime.date' objects>;2;24000;345.76;0.014406666666666667;[1065, 1204, 1062, 1068, 0];[3, 5, 2, 4, 0]
3-6-2;21;3;<attribute 'month' of 'datetime.date' objects>;2;24000;0.0;0.0;[1062, 1016, 0];[2, 1, 0]
0-0-2;22;0;<attribute 'month' of 'datetime.date' objects>;2;24000;14328.0;0.597;[1016, 0];[1, 0]
0-5-0;22;0;<attribute 'month' of 'datetime.date' objects>;0;9000;3228.0;0.3586666666666667;[1236, 0];[6, 0]
0-44-2;22;0;<attribute 'month' of 'datetime.date' objects>;2;24000;10186.33;0.42443041666666664;[1065, 1204, 1062, 1068, 0];[3, 5, 2, 4, 0]
2-5-0;22;2;<attribute 'month' of 'datetime.date' objects>;0;9000;893.0;0.09922222222222223;[1236, 0];[6, 0]
2-44-2;22;2;<attribute 'month' of 'datetime.date' objects>;2;24000;8810.92;0.3671216666666667;[1065, 1204, 1062, 1068, 0];[3, 5, 2, 4, 0]
3-6-2;22;3;<attribute 'month' of 'datetime.date' objects>;2;24000;9019.95;0.37583125;[1062, 1016, 0];[2, 1, 0]
0-0-2;23;0;<attribute 'month' of 'datetime.date' objects>;2;24000;5760.0;0.24;[1016, 0];[1, 0]
