MR_ID;Kalenderwoche;Wochentag;Monat;Fahrzeugtyp;Fahrzeugkapazität;Frachtgewicht;Auslastung;SequenzExt;SequenzInt
0-62-2;18;0;<attribute 'month' of 'datetime.date' objects>;2;24000;7256,63;0,30235958333333335;[1016, 1133, 0];[1, 26, 0]
0-9225-0;18;0;<attribute 'month' of 'datetime.date' objects>;0;9000;397,0;0,04411111111111111;[1236, 1177, 1091, 0];[35, 29, 21, 0]
0-21444-2;18;0;<attribute 'month' of 'datetime.date' objects>;2;24000;2686,81;0,11195041666666666;[1070, 1255, 1034, 1089, 1035, 1176, 1031, 0];[15, 36, 3, 20, 4, 28, 2, 0]
0-26071-2;18;0;<attribute 'month' of 'datetime.date' objects>;2;24000;1306,99;0,05445791666666667;[1065, 1204, 1063, 1372, 1062, 1115, 1123, 0];[12, 33, 11, 40, 10, 23, 24, 0]
1-13554-1;18;1;<attribute 'month' of 'datetime.date' objects>;1;12000;11919,66;0,993305;[1084, 1076, 1126, 1041, 1213, 0];[18, 16, 25, 5, 34, 0]
1-20401-2;18;1;<attribute 'month' of 'datetime.date' objects>;2;24000;7804,099999999999;0,3251708333333333;[1179, 1062, 1061, 1053, 1313, 1067, 1068, 0];[30, 10, 9, 7, 37, 13, 14, 0]
2-59-2;18;2;<attribute 'month' of 'datetime.date' objects>;2;24000;9912,48;0,41302;[1115, 1016, 0];[23, 1, 0]
2-20038-2;18;2;<attribute 'month' of 'datetime.date' objects>;2;24000;32780,799999999996;1,3658666666666666;[1034, 1089, 1088, 1035, 1176, 1031, 1091, 0];[3, 20, 19, 4, 28, 2, 21, 0]
2-20126-2;18;2;<attribute 'month' of 'datetime.date' objects>;2;24000;16345,32;0,681055;[1102, 1187, 1045, 1186, 1350, 1236, 0];[22, 32, 6, 31, 38, 35, 0]
3-7057-1;18;3;<attribute 'month' of 'datetime.date' objects>;1;12000;7475,6;0,6229666666666667;[1068, 1067, 1371, 0];[14, 13, 39, 0]
3-8271-2;18;3;<attribute 'month' of 'datetime.date' objects>;2;24000;16824,25;0,7010104166666666;[1084, 1082, 1123, 0];[18, 17, 24, 0]
3-31218-2;18;3;<attribute 'month' of 'datetime.date' objects>;2;24000;15745,57;0,6560654166666666;[1204, 1065, 1056, 1179, 1063, 1062, 1061, 0];[33, 12, 8, 30, 11, 10, 9, 0]
4-33-0;18;4;<attribute 'month' of 'datetime.date' objects>;0;9000;1047,12;0,11634666666666665;[1213, 0];[34, 0]
4-4321-1;18;4;<attribute 'month' of 'datetime.date' objects>;1;12000;10797,8;0,8998166666666666;[1187, 1045, 1151, 0];[32, 6, 27, 0]
0-62-2;19;0;<attribute 'month' of 'datetime.date' objects>;2;24000;6237,45;0,25989375;[1016, 1133, 0];[1, 26, 0]
0-9225-0;19;0;<attribute 'month' of 'datetime.date' objects>;0;9000;12747,86;1,416428888888889;[1236, 1177, 1091, 0];[35, 29, 21, 0]
0-21444-2;19;0;<attribute 'month' of 'datetime.date' objects>;2;24000;4884,59;0,20352458333333334;[1070, 1255, 1034, 1089, 1035, 1176, 1031, 0];[15, 36, 3, 20, 4, 28, 2, 0]
0-26071-2;19;0;<attribute 'month' of 'datetime.date' objects>;2;24000;19127,54;0,7969808333333334;[1065, 1204, 1063, 1372, 1062, 1115, 1123, 0];[12, 33, 11, 40, 10, 23, 24, 0]
1-13554-1;19;1;<attribute 'month' of 'datetime.date' objects>;1;12000;2729,0;0,22741666666666666;[1084, 1076, 1126, 1041, 1213, 0];[18, 16, 25, 5, 34, 0]
1-20401-2;19;1;<attribute 'month' of 'datetime.date' objects>;2;24000;11757,150000000001;0,48988125000000005;[1179, 1062, 1061, 1053, 1313, 1067, 1068, 0];[30, 10, 9, 7, 37, 13, 14, 0]
2-59-2;19;2;<attribute 'month' of 'datetime.date' objects>;2;24000;27183,81;1,13265875;[1115, 1016, 0];[23, 1, 0]
2-20038-2;19;2;<attribute 'month' of 'datetime.date' objects>;2;24000;10772,36;0,44884833333333335;[1034, 1089, 1088, 1035, 1176, 1031, 1091, 0];[3, 20, 19, 4, 28, 2, 21, 0]
2-20126-2;19;2;<attribute 'month' of 'datetime.date' objects>;2;24000;0,0;0,0;[1102, 1187, 1045, 1186, 1350, 1236, 0];[22, 32, 6, 31, 38, 35, 0]
3-7057-1;19;3;<attribute 'month' of 'datetime.date' objects>;1;12000;4384,11;0,36534249999999996;[1068, 1067, 1371, 0];[14, 13, 39, 0]
3-8271-2;19;3;<attribute 'month' of 'datetime.date' objects>;2;24000;25246,21;1,0519254166666667;[1084, 1082, 1123, 0];[18, 17, 24, 0]
3-31218-2;19;3;<attribute 'month' of 'datetime.date' objects>;2;24000;19779,45;0,8241437500000001;[1204, 1065, 1056, 1179, 1063, 1062, 1061, 0];[33, 12, 8, 30, 11, 10, 9, 0]
4-33-0;19;4;<attribute 'month' of 'datetime.date' objects>;0;9000;2519,7;0,27996666666666664;[1213, 0];[34, 0]
4-4321-1;19;4;<attribute 'month' of 'datetime.date' objects>;1;12000;10829,32;0,9024433333333333;[1187, 1045, 1151, 0];[32, 6, 27, 0]
0-62-2;20;0;<attribute 'month' of 'datetime.date' objects>;2;24000;1317,0;0,054875;[1016, 1133, 0];[1, 26, 0]
0-9225-0;20;0;<attribute 'month' of 'datetime.date' objects>;0;9000;11632,0;1,2924444444444445;[1236, 1177, 1091, 0];[35, 29, 21, 0]
0-21444-2;20;0;<attribute 'month' of 'datetime.date' objects>;2;24000;17466,93;0,72778875;[1070, 1255, 1034, 1089, 1035, 1176, 1031, 0];[15, 36, 3, 20, 4, 28, 2, 0]
0-26071-2;20;0;<attribute 'month' of 'datetime.date' objects>;2;24000;9163,09;0,38179541666666666;[1065, 1204, 1063, 1372, 1062, 1115, 1123, 0];[12, 33, 11, 40, 10, 23, 24, 0]
1-13554-1;20;1;<attribute 'month' of 'datetime.date' objects>;1;12000;11980,08;0,99834;[1084, 1076, 1126, 1041, 1213, 0];[18, 16, 25, 5, 34, 0]
1-20401-2;20;1;<attribute 'month' of 'datetime.date' objects>;2;24000;11315,83;0,47149291666666665;[1179, 1062, 1061, 1053, 1313, 1067, 1068, 0];[30, 10, 9, 7, 37, 13, 14, 0]
2-59-2;20;2;<attribute 'month' of 'datetime.date' objects>;2;24000;26454,989999999998;1,10229125;[1115, 1016, 0];[23, 1, 0]
2-20038-2;20;2;<attribute 'month' of 'datetime.date' objects>;2;24000;9001,7;0,37507083333333335;[1034, 1089, 1088, 1035, 1176, 1031, 1091, 0];[3, 20, 19, 4, 28, 2, 21, 0]
2-20126-2;20;2;<attribute 'month' of 'datetime.date' objects>;2;24000;24980,89;1,0408704166666667;[1102, 1187, 1045, 1186, 1350, 1236, 0];[22, 32, 6, 31, 38, 35, 0]
3-7057-1;20;3;<attribute 'month' of 'datetime.date' objects>;1;12000;8205,71;0,6838091666666666;[1068, 1067, 1371, 0];[14, 13, 39, 0]
3-8271-2;20;3;<attribute 'month' of 'datetime.date' objects>;2;24000;7578,79;0,3157829166666667;[1084, 1082, 1123, 0];[18, 17, 24, 0]
3-31218-2;20;3;<attribute 'month' of 'datetime.date' objects>;2;24000;7654,799999999999;0,31894999999999996;[1204, 1065, 1056, 1179, 1063, 1062, 1061, 0];[33, 12, 8, 30, 11, 10, 9, 0]
4-33-0;20;4;<attribute 'month' of 'datetime.date' objects>;0;9000;2794,48;0,31049777777777776;[1213, 0];[34, 0]
4-4321-1;20;4;<attribute 'month' of 'datetime.date' objects>;1;12000;9240,0;0,77;[1187, 1045, 1151, 0];[32, 6, 27, 0]
0-62-2;21;0;<attribute 'month' of 'datetime.date' objects>;2;24000;5928,67;0,24702791666666668;[1016, 1133, 0];[1, 26, 0]
0-9225-0;21;0;<attribute 'month' of 'datetime.date' objects>;0;9000;0,0;0,0;[1236, 1177, 1091, 0];[35, 29, 21, 0]
0-21444-2;21;0;<attribute 'month' of 'datetime.date' objects>;2;24000;5746,039999999999;0,2394183333333333;[1070, 1255, 1034, 1089, 1035, 1176, 1031, 0];[15, 36, 3, 20, 4, 28, 2, 0]
0-26071-2;21;0;<attribute 'month' of 'datetime.date' objects>;2;24000;17165,96;0,7152483333333333;[1065, 1204, 1063, 1372, 1062, 1115, 1123, 0];[12, 33, 11, 40, 10, 23, 24, 0]
1-13554-1;21;1;<attribute 'month' of 'datetime.date' objects>;1;12000;4372,0;0,36433333333333334;[1084, 1076, 1126, 1041, 1213, 0];[18, 16, 25, 5, 34, 0]
