MR_ID;Kalenderwoche;Wochentag;Monat;Fahrzeugtyp;Fahrzeugkapazität;Frachtgewicht;Auslastung;SequenzExt;SequenzInt
0-33-0;18;0;<attribute 'month' of 'datetime.date' objects>;0;9000;0,0;0,0;[1213, 0];[34, 0]
0-62-2;18;0;<attribute 'month' of 'datetime.date' objects>;2;24000;15160,630000000001;0,6316929166666667;[1016, 1133, 0];[1, 26, 0]
0-19025-2;18;0;<attribute 'month' of 'datetime.date' objects>;2;24000;3016,7200000000003;0,12569666666666668;[1034, 1089, 1088, 1035, 1176, 1031, 1091, 0];[3, 20, 19, 4, 28, 2, 21, 0]
0-19113-2;18;0;<attribute 'month' of 'datetime.date' objects>;2;24000;18448,85;0,7687020833333332;[1102, 1187, 1045, 1186, 1350, 1236, 0];[22, 32, 6, 31, 38, 35, 0]
0-19388-2;18;0;<attribute 'month' of 'datetime.date' objects>;2;24000;9797,560000000001;0,4082316666666667;[1179, 1062, 1061, 1053, 1313, 1067, 1068, 0];[30, 10, 9, 7, 37, 13, 14, 0]
1-25062-2;18;1;<attribute 'month' of 'datetime.date' objects>;2;24000;4670,030000000001;0,19458458333333337;[1065, 1204, 1063, 1372, 1062, 1115, 1123, 0];[12, 33, 11, 40, 10, 23, 24, 0]
2-4321-1;18;2;<attribute 'month' of 'datetime.date' objects>;1;12000;12615,3;1,051275;[1187, 1045, 1151, 0];[32, 6, 27, 0]
2-7057-1;18;2;<attribute 'month' of 'datetime.date' objects>;1;12000;7475,6;0,6229666666666667;[1068, 1067, 1371, 0];[14, 13, 39, 0]
2-13281-1;18;2;<attribute 'month' of 'datetime.date' objects>;1;12000;7899,58;0,6582983333333333;[1084, 1076, 1126, 1041, 1213, 0];[18, 16, 25, 5, 34, 0]
2-20431-2;18;2;<attribute 'month' of 'datetime.date' objects>;2;24000;30690,21;1,27875875;[1070, 1255, 1034, 1089, 1035, 1176, 1031, 0];[15, 36, 3, 20, 4, 28, 2, 0]
3-59-2;18;3;<attribute 'month' of 'datetime.date' objects>;2;24000;8449,42;0,35205916666666665;[1115, 1016, 0];[23, 1, 0]
3-9225-0;18;3;<attribute 'month' of 'datetime.date' objects>;0;9000;2055,0;0,22833333333333333;[1236, 1177, 1091, 0];[35, 29, 21, 0]
3-20495-2;18;3;<attribute 'month' of 'datetime.date' objects>;2;24000;16709,41;0,6962254166666667;[1065, 1204, 1056, 1179, 1063, 1062, 1061, 0];[12, 33, 8, 30, 11, 10, 9, 0]
4-8271-2;18;4;<attribute 'month' of 'datetime.date' objects>;2;24000;32712,75;1,36303125;[1084, 1082, 1123, 0];[18, 17, 24, 0]
0-33-0;19;0;<attribute 'month' of 'datetime.date' objects>;0;9000;1047,12;0,11634666666666665;[1213, 0];[34, 0]
0-62-2;19;0;<attribute 'month' of 'datetime.date' objects>;2;24000;20864,45;0,8693520833333334;[1016, 1133, 0];[1, 26, 0]
0-19025-2;19;0;<attribute 'month' of 'datetime.date' objects>;2;24000;5737,969999999999;0,2390820833333333;[1034, 1089, 1088, 1035, 1176, 1031, 1091, 0];[3, 20, 19, 4, 28, 2, 21, 0]
0-19113-2;19;0;<attribute 'month' of 'datetime.date' objects>;2;24000;17941,2;0,74755;[1102, 1187, 1045, 1186, 1350, 1236, 0];[22, 32, 6, 31, 38, 35, 0]
0-19388-2;19;0;<attribute 'month' of 'datetime.date' objects>;2;24000;9464,15;0,3943395833333333;[1179, 1062, 1061, 1053, 1313, 1067, 1068, 0];[30, 10, 9, 7, 37, 13, 14, 0]
