MR_ID;Kalenderwoche;Wochentag;Monat;Fahrzeugtyp;Fahrzeugkapazität;Frachtgewicht;Auslastung;SequenzExt;SequenzInt
0-65-2;18;0;<attribute 'month' of 'datetime.date' objects>;2;24000;7256,63;0,30235958333333335;[1016, 1133, 0];[1, 26, 0]
0-479-1;18;0;<attribute 'month' of 'datetime.date' objects>;1;12000;4955,74;0,41297833333333334;[1067, 1068, 0];[13, 14, 0]
0-705-0;18;0;<attribute 'month' of 'datetime.date' objects>;0;9000;192,0;0,021333333333333333;[1236, 1091, 0];[36, 21, 0]
0-9586-0;18;0;<attribute 'month' of 'datetime.date' objects>;0;9000;6173,08;0,6858977777777777;[1084, 1076, 1213, 0];[18, 16, 34, 0]
0-13591-2;18;0;<attribute 'month' of 'datetime.date' objects>;2;24000;18448,85;0,7687020833333332;[1102, 1187, 1045, 1231, 1186, 1350, 1315, 0];[22, 32, 6, 35, 31, 41, 40, 0]
0-14299-2;18;0;<attribute 'month' of 'datetime.date' objects>;2;24000;5045,62;0,21023416666666667;[1053, 1313, 1061, 1179, 1063, 1062, 1115, 1123, 0];[7, 39, 9, 30, 11, 10, 23, 24, 0]
0-14574-2;18;0;<attribute 'month' of 'datetime.date' objects>;2;24000;3029,7200000000003;0,12623833333333334;[1255, 1034, 1088, 1089, 1035, 1176, 1031, 1177, 0];[37, 3, 19, 20, 4, 28, 2, 29, 0]
2-0-2;18;2;<attribute 'month' of 'datetime.date' objects>;2;24000;7904,0;0,3293333333333333;[1016, 0];[1, 0]
2-1629-2;18;2;<attribute 'month' of 'datetime.date' objects>;2;24000;29716,589999999997;1,2381912499999999;[1035, 1031, 1176, 0];[4, 2, 28, 0]
2-2720-1;18;2;<attribute 'month' of 'datetime.date' objects>;1;12000;973,6199999999999;0,08113499999999998;[1070, 1034, 1089, 0];[15, 3, 20, 0]
2-4373-0;18;2;<attribute 'month' of 'datetime.date' objects>;0;9000;5186,58;0,5762866666666666;[1126, 1041, 1213, 0];[25, 5, 34, 0]
2-5046-1;18;2;<attribute 'month' of 'datetime.date' objects>;1;12000;12615,3;1,051275;[1187, 1045, 1151, 0];[32, 6, 27, 0]
2-8375-1;18;2;<attribute 'month' of 'datetime.date' objects>;1;12000;7475,6;0,6229666666666667;[1068, 1067, 1371, 0];[14, 13, 42, 0]
2-9900-2;18;2;<attribute 'month' of 'datetime.date' objects>;2;24000;17214,48;0,71727;[1084, 1082, 1123, 0];[18, 17, 24, 0]
2-14709-2;18;2;<attribute 'month' of 'datetime.date' objects>;2;24000;13799,64;0,574985;[1065, 1204, 1056, 1063, 1062, 1372, 1115, 1273, 0];[12, 33, 8, 11, 10, 43, 23, 38, 0]
3-705-0;18;3;<attribute 'month' of 'datetime.date' objects>;0;9000;1538,0;0,1708888888888889;[1236, 1091, 0];[36, 21, 0]
3-6396-0;18;3;<attribute 'month' of 'datetime.date' objects>;0;9000;5238,65;0,5820722222222222;[1179, 1062, 1061, 0];[30, 10, 9, 0]
4-468-1;18;4;<attribute 'month' of 'datetime.date' objects>;1;12000;1991,0;0,16591666666666666;[1065, 1204, 0];[12, 33, 0]
0-65-2;19;0;<attribute 'month' of 'datetime.date' objects>;2;24000;6237,45;0,25989375;[1016, 1133, 0];[1, 26, 0]
0-479-1;19;0;<attribute 'month' of 'datetime.date' objects>;1;12000;3605,3900000000003;0,3004491666666667;[1067, 1068, 0];[13, 14, 0]
0-705-0;19;0;<attribute 'month' of 'datetime.date' objects>;0;9000;13100,86;1,4556511111111112;[1236, 1091, 0];[36, 21, 0]
0-9586-0;19;0;<attribute 'month' of 'datetime.date' objects>;0;9000;1518,12;0,16868;[1084, 1076, 1213, 0];[18, 16, 34, 0]
0-13591-2;19;0;<attribute 'month' of 'datetime.date' objects>;2;24000;11930,529999999999;0,49710541666666663;[1102, 1187, 1045, 1231, 1186, 1350, 1315, 0];[22, 32, 6, 35, 31, 41, 40, 0]
0-14299-2;19;0;<attribute 'month' of 'datetime.date' objects>;2;24000;15198,560000000001;0,6332733333333334;[1053, 1313, 1061, 1179, 1063, 1062, 1115, 1123, 0];[7, 39, 9, 30, 11, 10, 23, 24, 0]
0-14574-2;19;0;<attribute 'month' of 'datetime.date' objects>;2;24000;5400,68;0,22502833333333336;[1255, 1034, 1088, 1089, 1035, 1176, 1031, 1177, 0];[37, 3, 19, 20, 4, 28, 2, 29, 0]
2-0-2;19;2;<attribute 'month' of 'datetime.date' objects>;2;24000;20047,0;0,8352916666666667;[1016, 0];[1, 0]
2-1629-2;19;2;<attribute 'month' of 'datetime.date' objects>;2;24000;1500,0;0,0625;[1035, 1031, 1176, 0];[4, 2, 28, 0]
2-2720-1;19;2;<attribute 'month' of 'datetime.date' objects>;1;12000;7753,48;0,6461233333333333;[1070, 1034, 1089, 0];[15, 3, 20, 0]
2-4373-0;19;2;<attribute 'month' of 'datetime.date' objects>;0;9000;7051,7;0,7835222222222222;[1126, 1041, 1213, 0];[25, 5, 34, 0]
2-5046-1;19;2;<attribute 'month' of 'datetime.date' objects>;1;12000;5498,4;0,4582;[1187, 1045, 1151, 0];[32, 6, 27, 0]
2-8375-1;19;2;<attribute 'month' of 'datetime.date' objects>;1;12000;4384,11;0,36534249999999996;[1068, 1067, 1371, 0];[14, 13, 42, 0]
2-9900-2;19;2;<attribute 'month' of 'datetime.date' objects>;2;24000;29288,21;1,2203420833333334;[1084, 1082, 1123, 0];[18, 17, 24, 0]
2-14709-2;19;2;<attribute 'month' of 'datetime.date' objects>;2;24000;25613,9;1,0672458333333334;[1065, 1204, 1056, 1063, 1062, 1372, 1115, 1273, 0];[12, 33, 8, 11, 10, 43, 23, 38, 0]
3-705-0;19;3;<attribute 'month' of 'datetime.date' objects>;0;9000;2475,75;0,27508333333333335;[1236, 1091, 0];[36, 21, 0]
3-6396-0;19;3;<attribute 'month' of 'datetime.date' objects>;0;9000;1855,67;0,20618555555555557;[1179, 1062, 1061, 0];[30, 10, 9, 0]
4-468-1;19;4;<attribute 'month' of 'datetime.date' objects>;1;12000;3359,0;0,27991666666666665;[1065, 1204, 0];[12, 33, 0]
0-65-2;20;0;<attribute 'month' of 'datetime.date' objects>;2;24000;1317,0;0,054875;[1016, 1133, 0];[1, 26, 0]
0-479-1;20;0;<attribute 'month' of 'datetime.date' objects>;1;12000;7674,39;0,6395325000000001;[1067, 1068, 0];[13, 14, 0]
