MR_ID;Kalenderwoche;Wochentag;Monat;Fahrzeugtyp;Fahrzeugkapazität;Frachtgewicht;Auslastung;SequenzExt;SequenzInt
0-12912-0;18;0;<attribute 'month' of 'datetime.date' objects>;0;9000;397,0;0,04411111111111111;[1236, 1177, 1091, 0];[36, 29, 21, 0]
0-26545-2;18;0;<attribute 'month' of 'datetime.date' objects>;2;24000;24480,78;1,0200325;[1084, 1082, 1123, 0];[18, 17, 24, 0]
0-28841-2;18;0;<attribute 'month' of 'datetime.date' objects>;2;24000;2686,81;0,11195041666666666;[1070, 1255, 1034, 1089, 1035, 1031, 1176, 0];[15, 37, 3, 20, 4, 2, 28, 0]
0-33950-2;18;0;<attribute 'month' of 'datetime.date' objects>;2;24000;18681,35;0,7783895833333333;[1102, 1187, 1045, 1186, 1151, 1213, 0];[22, 32, 6, 31, 27, 34, 0]
0-38460-2;18;0;<attribute 'month' of 'datetime.date' objects>;2;24000;5643,59;0,23514958333333333;[1065, 1204, 1056, 1179, 1062, 1115, 0];[12, 33, 8, 30, 10, 23, 0]
1-479-1;18;1;<attribute 'month' of 'datetime.date' objects>;1;12000;12431,34;1,0359450000000001;[1067, 1068, 0];[13, 14, 0]
2-33-0;18;2;<attribute 'month' of 'datetime.date' objects>;0;9000;0,0;0,0;[1213, 0];[34, 0]
2-65-2;18;2;<attribute 'month' of 'datetime.date' objects>;2;24000;9256,630000000001;0,3856929166666667;[1016, 1133, 0];[1, 26, 0]
2-12845-0;18;2;<attribute 'month' of 'datetime.date' objects>;0;9000;2309,71;0,25663444444444444;[1115, 1123, 0];[23, 24, 0]
2-12849-0;18;2;<attribute 'month' of 'datetime.date' objects>;0;9000;8537,85;0,94865;[1084, 1076, 1126, 1041, 1273, 0];[18, 16, 25, 5, 38, 0]
2-26275-2;18;2;<attribute 'month' of 'datetime.date' objects>;2;24000;8981,15;0,3742145833333333;[1204, 1065, 1056, 1179, 1063, 1372, 1062, 1061, 0];[33, 12, 8, 30, 11, 43, 10, 9, 0]
