Kalenderwoche;Frachtkosten_MR;Frachtkosten_no_MR;MR_Ersparnis;MR_Ersparnis_Prozent;Auslastung;MR_Ersparnis_Prozent_%
18;21855.44886980001;23367.5784678;-1512.1295979999923;-0.0647;0.5516246913580248;-6.47
19;21197.4576338;23507.3076909;-2309.8500571000004;-0.0983;0.6009043930041152;-9.83
20;21353.02805299999;22799.09335349999;-1446.0653004999986;-0.0634;0.5761911316872429;-6.34
21;14110.521172999997;13161.109479;949.4116939999967;0.0721;0.2841782253086419;7.21
22;20954.749152499993;22658.02425389999;-1703.275101399995;-0.0752;0.4589389300411523;-7.5200000000000005
23;21769.6850189;21384.978614400006;384.70640449999337;0.018;0.48186295267489704;1.7999999999999998
24;14280.408176;13620.990567000003;659.4176089999983;0.0484;0.4406288065843621;4.84
25;21534.36879679997;25596.65956109996;-4062.2907642999926;-0.1587;0.5926221450617283;-15.870000000000001
26;16618.598103199998;16122.86034810001;495.73775509998814;0.0307;0.35237463991769546;3.0700000000000003
27;23625.2078345;26056.712378999997;-2431.504544499996;-0.0933;0.6657596090534978;-9.33
28;25982.961292399996;27467.2459008;-1484.2846084000048;-0.054;0.5295479681069959;-5.4
29;22925.767236200005;25068.4874079;-2142.7201716999953;-0.0855;0.5071947222222222;-8.55
30;21705.87299990002;23300.825261700025;-1594.9522618000046;-0.0685;0.5244878909465021;-6.8500000000000005
31;23411.01361579998;24762.161979899993;-1351.1483641000123;-0.0546;0.5255851851851852;-5.46
32;24261.486865999992;24510.55764990001;-249.07078390001698;-0.0102;0.41872135288065837;-1.02
33;14267.1897689;13591.1150205;676.0747484000003;0.0497;0.4346465740740741;4.97
34;22131.4390361;23428.85606880001;-1297.4170327000102;-0.0554;0.45331063271604954;-5.54
35;21873.37707110001;22750.839207000008;-877.4621358999975;-0.0386;0.5060954063786008;-3.8600000000000003
36;22139.491111700005;24504.810470999997;-2365.3193592999924;-0.0965;0.5321830041152263;-9.65
37;20206.02027169999;22700.965463699988;-2494.945191999999;-0.1099;0.6198237551440329;-10.99
38;22851.65673620001;25028.549343000006;-2176.8926067999964;-0.087;0.4916370267489712;-8.7
39;26888.28590090002;28225.83449730002;-1337.5485964;-0.0474;0.4760152520576132;-4.74
40;18842.098919;19332.481069800004;-490.3821508000037;-0.0254;0.536619804526749;-2.54
41;25248.56695730001;26413.621383599995;-1165.0544262999865;-0.0441;0.516788420781893;-4.41
42;23116.13650669999;23606.559842699975;-490.4233359999853;-0.0208;0.38363159979423866;-2.08
43;17527.307175200007;18147.938848200007;-620.6316729999999;-0.0342;0.33915555555555554;-3.42
