Kalenderwoche;Frachtkosten_MR;Frachtkosten_no_MR;MR_Ersparnis;MR_Ersparnis_Prozent;Auslastung;MR_Ersparnis_Prozent_%
18;22075.99352369999;23367.5784678;-1291.58494410001;-0.0553;;-5.53
19;22885.00316851825;23507.3076909;-622.3045223817498;-0.0265;0.5170802314814815;-2.65
20;22503.999066918233;22799.09335349999;-295.094286581756;-0.0129;0.46806768518518527;-1.29
21;13201.08978841825;13161.109479;39.98030941824982;0.003;0.22926375000000002;0.3
22;21890.495000118244;22658.02425389999;-767.529253781744;-0.0339;0.3703787037037037;-3.39
23;20985.522917118255;21384.978614400006;-399.4556972817518;-0.0187;0.3120037037037037;-1.87
24;13851.674417718255;13620.990567000003;230.68385071825287;0.0169;0.17346701388888888;1.69
25;24638.03576311821;25596.65956109996;-958.6237979817524;-0.0375;0.46395129629629633;-3.75
26;16430.669245218258;16122.86034810001;307.80889711824784;0.0191;0.1860213657407407;1.91
27;24759.98685661826;26056.712378999997;-1296.7255223817374;-0.0498;0.6491115277777778;-4.9799999999999995
28;27016.761840018255;27467.2459008;-450.48406078174594;-0.0164;0.325949537037037;-1.6400000000000001
29;23759.644908018265;25068.4874079;-1308.8424998817354;-0.0522;0.5111378009259259;-5.220000000000001
30;22924.237613718273;23300.825261700025;-376.5876479817525;-0.0162;0.30624550925925925;-1.6199999999999999
31;24003.45704821824;24762.161979899993;-758.7049316817538;-0.0306;0.3939904398148148;-3.06
32;24797.08638421826;24510.55764990001;286.5287343182499;0.0117;0.25123546296296295;1.17
33;13771.243425618248;13591.1150205;180.12840511824834;0.0133;0.22543525462962966;1.3299999999999998
34;22816.325590518256;23428.85606880001;-612.5304782817548;-0.0261;0.3175918981481482;-2.6100000000000003
35;21398.390737518257;22750.839207000008;-1352.448469481751;-0.0594;0.4974047685185185;-5.94
36;24079.58859451825;24504.810470999997;-425.22187648174804;-0.0174;0.2889354398148148;-1.7399999999999998
37;21598.523329518244;22700.965463699988;-1102.4421341817433;-0.0486;0.4770694907407407;-4.859999999999999
38;23822.805449118256;25028.549343000006;-1205.7438938817504;-0.0482;0.4975073611111111;-4.82
39;27834.462788418274;28225.83449730002;-391.3717088817466;-0.0139;0.3621671990740741;-1.39
40;19164.34059331825;19332.481069800004;-168.14047648175256;-0.0087;0.29127791666666664;-0.8699999999999999
41;26684.157870018254;26413.621383599995;270.5364864182593;0.0102;0.3167302314814815;1.02
42;23156.43664801823;23606.559842699975;-450.1231946817461;-0.0191;0.2879878935185185;-1.91
43;17495.49700471826;18147.938848200007;-652.4418434817453;-0.036;0.42673983796296294;-3.5999999999999996
