Kalenderwoche;Frachtkosten_MR;Frachtkosten_no_MR;MR_Ersparnis;MR_Ersparnis_Prozent;Auslastung;MR_Ersparnis_Prozent_%
18;22331.35237161251;23367.5784678;-1036.2260961874927;-0.0443;0.48106324879227047;-4.43
19;22969.5981743125;23507.3076909;-537.7095165874998;-0.0229;0.5265255314009663;-2.29
20;22428.01749351249;22799.09335349999;-371.07585998750073;-0.0163;0.6185682850241546;-1.63
21;15028.6692452125;13161.109479;1867.5597662125;0.1419;0.26549044082125606;14.19
22;22085.810756012506;22658.02425389999;-572.2134978874819;-0.0253;0.42109391304347826;-2.53
23;23256.501932312494;21384.978614400006;1871.523317912488;0.0875;0.4407647946859904;8.75
24;15091.372154012503;13620.990567000003;1470.3815870125;0.1079;0.3939221014492753;10.79
25;23401.095765812468;25596.65956109996;-2195.563795287493;-0.0858;0.6435379891304348;-8.58
26;17686.998346712488;16122.86034810001;1564.1379986124775;0.097;0.30260070048309184;9.700000000000001
27;24413.419107812504;26056.712378999997;-1643.2932711874928;-0.0631;0.6947570108695652;-6.3100000000000005
28;27007.57936941249;27467.2459008;-459.66653138750917;-0.0167;0.4219912620772946;-1.67
29;23811.3885554125;25068.4874079;-1257.0988524874992;-0.0501;0.5373523913043478;-5.01
30;22915.479220412526;23300.825261700025;-385.34604128749925;-0.0165;0.40656762681159425;-1.6500000000000001
31;24504.188529512478;24762.161979899993;-257.9734503875152;-0.0104;0.4875086292270533;-1.04
32;25793.43231411248;24510.55764990001;1282.8746642124715;0.0523;0.4553633937198066;5.2299999999999995
33;15744.069389012504;13591.1150205;2152.9543685125045;0.1584;0.36340434178743963;15.840000000000002
34;22789.987399112502;23428.85606880001;-638.8686696875084;-0.0273;0.48111632850241554;-2.73
35;22708.65210321251;22750.839207000008;-42.18710378749893;-0.0019;0.4549479287439614;-0.19
36;24105.41634831251;24504.810470999997;-399.39412268748856;-0.0163;0.5549235990338165;-1.63
37;21399.083406212496;22700.965463699988;-1301.8820574874917;-0.0573;0.4921735628019324;-5.7299999999999995
38;24931.977190112513;25028.549343000006;-96.57215288749285;-0.0039;0.4555316666666666;-0.38999999999999996
39;27904.586822312525;28225.83449730002;-321.247674987495;-0.0114;0.5513270108695653;-1.1400000000000001
40;19563.777680012503;19332.481069800004;231.29661021249922;0.012;0.5306984601449275;1.2
41;26317.105377812506;26413.621383599995;-96.51600578748912;-0.0037;0.40071737922705314;-0.37
42;24147.291521912488;23606.559842699975;540.731679212513;0.0229;0.3560042632850242;2.29
43;18837.098699012502;18147.938848200007;689.1598508124953;0.038;0.33590001811594206;3.8
