Kalenderwoche;Frachtkosten_MR;Frachtkosten_no_MR;MR_Ersparnis;MR_Ersparnis_Prozent;Auslastung;MR_Ersparnis_Prozent_%
18;21260.250521100006;23367.5784678;-2107.3279466999957;-0.0902;0.479892461419753;-9.02
19;21310.066949400007;23507.3076909;-2197.2407414999943;-0.0935;0.5411019058641975;-9.35
20;20803.632547199984;22799.09335349999;-1995.460806300005;-0.0875;0.5726736188271605;-8.75
21;13558.102188899999;13161.109479;396.99270989999786;0.0302;0.2721220293209876;3.02
22;20324.44854989999;22658.02425389999;-2333.575703999999;-0.103;0.4483453472222222;-10.299999999999999
23;20896.0241313;21384.978614400006;-488.95448310000575;-0.0229;0.37880870370370373;-2.29
24;13345.529397000002;13620.990567000003;-275.4611700000005;-0.0202;0.34992881944444443;-2.02
25;21667.380347399965;25596.65956109996;-3929.279213699996;-0.1535;0.6854457793209875;-15.35
26;16158.003950400003;16122.86034810001;35.14360229999329;0.0022;0.2889001388888889;0.22
27;22902.562990500002;26056.712378999997;-3154.1493884999945;-0.121;0.6499495293209875;-12.1
28;25538.406351899997;27467.2459008;-1928.8395489000031;-0.0702;0.498052137345679;-7.02
29;21839.92855440002;25068.4874079;-3228.5588534999806;-0.1288;0.5130463425925924;-12.879999999999999
30;21559.252889100022;23300.825261700025;-1741.5723726000033;-0.0747;0.5341867206790124;-7.470000000000001
31;22749.15917189998;24762.161979899993;-2013.002808000012;-0.0813;0.4567712268518519;-8.129999999999999
32;23971.0676097;24510.55764990001;-539.4900402000094;-0.022;0.5373421450617284;-2.1999999999999997
33;13451.0488692;13591.1150205;-140.06615129999955;-0.0103;0.3765213271604938;-1.03
34;21447.2523105;23428.85606880001;-1981.6037583000107;-0.0846;0.4945464506172839;-8.459999999999999
35;21457.548111000015;22750.839207000008;-1293.2910959999936;-0.0568;0.5234560108024691;-5.680000000000001
36;21838.548180000013;24504.810470999997;-2666.2622909999845;-0.1088;0.5030950540123457;-10.879999999999999
37;20044.03183859999;22700.965463699988;-2656.9336250999986;-0.117;0.6107764120370371;-11.700000000000001
38;23028.934787400005;25028.549343000006;-1999.614555600001;-0.0799;0.445380200617284;-7.99
39;25795.02423390002;28225.83449730002;-2430.810263399999;-0.0861;0.5291064506172839;-8.61
40;17668.8878841;19332.481069800004;-1663.5931857000032;-0.0861;0.48272841820987655;-8.61
41;24694.539836700005;26413.621383599995;-1719.08154689999;-0.0651;0.4508619830246913;-6.510000000000001
42;22287.25187279998;23606.559842699975;-1319.3079698999936;-0.0559;0.3485786728395062;-5.59
43;17033.220781200005;18147.938848200007;-1114.7180670000016;-0.0614;0.38960716049382715;-6.140000000000001
