Kalenderwoche;Frachtkosten_MR;Frachtkosten_no_MR;MR_Ersparnis;MR_Ersparnis_Prozent;Auslastung;MR_Ersparnis_Prozent_%
18;20398.891421659504;23367.5784678;-2968.687046140498;-0.127;0.4966568703703704;-12.7
19;20274.652386559505;23507.3076909;-3232.6553043404965;-0.1375;0.6507567037037038;-13.750000000000002
20;19866.83728285949;22799.09335349999;-2932.2560706404984;-0.1286;0.6216253796296296;-12.86
21;12545.5230731595;13161.109479;-615.5864058405004;-0.0468;0.38743230555555547;-4.68
22;19343.270734159487;22658.02425389999;-3314.7535197405014;-0.1463;0.43244610185185184;-14.63
23;20156.360240659502;21384.978614400006;-1228.6183737405045;-0.0575;0.405614037037037;-5.75
24;12332.950281259498;13620.990567000003;-1288.0402857405043;-0.0946;0.4074796296296295;-9.46
25;20259.45446515948;25596.65956109996;-5337.2050959404805;-0.2085;0.6641012592592593;-20.849999999999998
26;15145.424834659507;16122.86034810001;-977.4355134405032;-0.0606;0.32134103703703704;-6.0600000000000005
27;21838.1316098595;26056.712378999997;-4218.580769140495;-0.1619;0.6803691388888888;-16.189999999999998
28;24161.6413106595;27467.2459008;-3305.6045901405014;-0.1203;0.4854124074074075;-12.030000000000001
29;20807.20790845952;25068.4874079;-4261.279499440479;-0.17;0.6535909351851853;-17.0
30;20516.25479755951;23300.825261700025;-2784.5704641405136;-0.1195;0.49089539814814814;-11.95
31;21916.31172115948;24762.161979899993;-2845.850258740513;-0.1149;0.5125824537037037;-11.49
32;23182.167221059502;24510.55764990001;-1328.3904288405065;-0.0542;0.5064107407407409;-5.42
33;12421.3673549595;13591.1150205;-1169.747665540499;-0.0861;0.39075629629629627;-8.61
34;20419.453761559496;23428.85606880001;-3009.4023072405143;-0.1284;0.5275712222222222;-12.839999999999998
35;19537.580738659515;22750.839207000008;-3213.258468340493;-0.1412;0.5392229537037038;-14.12
36;21061.447451059517;24504.810470999997;-3443.3630199404797;-0.1405;0.6159179444444445;-14.05
37;18249.509126959507;22700.965463699988;-4451.456336740481;-0.1961;0.5321966388888889;-19.61
38;21880.429826659503;25028.549343000006;-3148.1195163405027;-0.1258;0.5503554351851851;-12.58
39;24653.058568159515;28225.83449730002;-3572.7759291405055;-0.1266;0.5608845925925926;-12.659999999999998
40;16545.295421659495;19332.481069800004;-2787.1856481405084;-0.1442;0.5794716203703704;-14.42
41;23681.960720959505;26413.621383599995;-2731.66066264049;-0.1034;0.512152;-10.34
42;21274.672757059485;23606.559842699975;-2331.88708564049;-0.0988;0.35700374999999995;-9.879999999999999
43;16069.945135459506;18147.938848200007;-2077.993712740501;-0.1145;0.47721968518518515;-11.450000000000001
