;Beladedatum;Wochentag;Kalenderwoche;Monat;ID_Empfänger;Gewicht;Frachtkosten;ID_Sendung
0;2022-04-28;3;17;5;1001;190.0;29.9889;0
63;2022-05-02;0;18;5;1063;175.0;29.45925;63
62;2022-05-02;0;18;5;1062;289.96;33.5184876;62
61;2022-05-02;0;18;5;1061;3532.5;148.012575;61
56;2022-05-02;0;18;5;1056;270.47;32.8302957;56
49;2022-04-27;2;17;5;1050;93.0;26.56383;49
44;2022-05-02;0;18;5;1045;4675.0;188.35425;44
40;2022-05-02;0;18;5;1041;932.0;56.188919999999996;40
52;2022-04-26;1;17;5;1053;530.0;41.9943;52
33;2022-04-29;4;17;5;1034;458.96;39.4858776;33
30;2022-04-29;4;17;5;1031;280.73;33.192576300000006;30
29;2022-04-26;1;17;5;1030;1652.0;81.61211999999999;29
19;2022-04-27;2;17;5;1020;1459.48;74.8142388;19
15;2022-04-28;3;17;5;1016;5904.0;231.75024;15
14;2022-04-28;3;17;5;1015;2103.75;97.5634125;14
34;2022-04-29;4;17;5;1035;443.82;38.9512842;34
93;2022-05-03;1;18;5;1030;165.0;29.10615;93
123;2022-05-02;0;18;5;1063;28.8;24.296928;123
111;2022-04-27;2;17;5;1102;5656.62;223.0152522;111
100;2022-05-03;1;18;5;1091;192.0;30.059520000000003;100
98;2022-05-03;1;18;5;1035;170.0;29.2827;98
97;2022-04-29;4;17;5;1089;679.12;47.25972720000001;97
95;2022-05-03;1;18;5;1031;598.85;44.4253935;95
90;2022-05-02;0;18;5;1084;720.0;48.7032;90
96;2022-04-29;4;17;5;1088;20.74;24.0123294;96
87;2022-04-27;2;17;5;1020;247.5;32.019225;87
65;2022-05-02;0;18;5;1065;512.0;41.35872;65
67;2022-05-02;0;18;5;1067;2094.0;97.21914;67
68;2022-05-02;0;18;5;1068;2861.74;124.32803940000001;68
64;2022-05-02;0;18;5;1064;7344.0;282.59664;64
78;2022-04-29;4;17;5;1074;1012.95;59.047264500000004;78
80;2022-05-02;0;18;5;1076;3300.08;139.8058248;80
70;2022-04-27;2;17;5;1070;55.33;25.2337023;70
88;2022-05-02;0;18;5;1082;9293.63;351.4380753;88
173;2022-05-02;0;18;5;1061;489.36;40.5593016;173
150;2022-05-02;0;18;5;1126;3000.0;129.21;150
172;2022-05-04;2;18;5;1062;2310.0;104.8461;172
171;2022-05-04;2;18;5;1062;49.0;25.010189999999998;171
169;2022-04-28;3;17;5;1133;1352.63;71.0413653;169
157;2022-05-03;1;18;5;1035;1085.0;61.59135;157
153;2022-05-03;1;18;5;1031;1150.63;63.9087453;153
151;2022-05-02;0;18;5;1041;32.58;24.430399800000004;151
149;2022-05-02;0;18;5;1076;1169.96;64.5912876;149
142;2022-05-02;0;18;5;1064;295.0;33.69645;142
136;2022-05-04;2;18;5;1084;560.0;43.0536;136
132;2022-05-04;2;18;5;1115;1469.0;75.15039;132
131;2022-04-28;3;17;5;1015;454.25;39.3195675;131
129;2022-05-03;1;18;5;1016;7904.0;302.37023999999997;129
126;2022-05-04;2;18;5;1050;268.7;32.767796999999995;126
143;2022-05-02;0;18;5;1123;301.23;33.9164313;143
224;2022-05-04;2;18;5;1045;2877.0;124.86686999999999;224
241;2022-05-03;1;18;5;1031;1413.99;73.20798690000001;241
240;2022-04-29;4;17;5;1164;120.74;27.5433294;240
238;2022-04-29;4;17;5;1088;172.5;29.370975;238
235;2022-05-04;2;18;5;1034;174.12;29.4281772;235
234;2022-05-03;1;18;5;1035;407.5;37.668825;234
228;2022-05-04;2;18;5;1102;36.95;24.5847045;228
222;2022-05-05;3;18;5;1091;978.0;57.81318;222
237;2022-05-04;2;18;5;1089;664.18;46.7321958;237
206;2022-05-04;2;18;5;1151;232.5;31.489575;206
200;2022-05-04;2;18;5;1068;5818.1;228.717111;200
199;2022-05-04;2;18;5;1067;1657.5;81.806325;199
192;2022-05-05;3;18;5;1061;2123.98;98.2777338;192
191;2022-05-05;3;18;5;1062;2287.31;104.0449161;191
208;2022-05-02;0;18;5;1076;983.04;57.9911424;208
190;2022-05-04;2;18;5;1063;357.0;35.885670000000005;190
187;2022-05-02;0;18;5;1056;3399.16;143.3043396;187
185;2022-05-05;3;18;5;1065;1264.0;67.91184;185
275;2022-05-05;3;18;5;1062;126.0;27.729059999999997;275
283;2022-05-04;2;18;5;1115;539.48;42.3290388;283
286;2022-05-04;2;18;5;1186;1525.31;77.13869609999999;286
287;2022-05-04;2;18;5;1045;3719.31;154.6088361;287
300;2022-05-03;1;18;5;1193;309.33;34.202442299999994;300
293;2022-05-04;2;18;5;1102;6554.97;254.73599069999997;293
294;2022-05-02;0;18;5;1190;2717.93;119.2501083;294
295;2022-05-02;0;18;5;1082;14467.15;534.1150665;295
274;2022-05-05;3;18;5;1061;600.86;44.4963666;274
289;2022-05-04;2;18;5;1187;4183.0;170.98173;289
272;2022-05-05;3;18;5;1179;100.5;26.828654999999998;272
271;2022-05-02;0;18;5;1056;1172.0;64.66332;271
269;2022-05-05;3;18;5;1177;205.0;30.51855;269
242;2022-05-04;2;18;5;1165;14487.06;534.8180886;242
250;2022-05-05;3;18;5;1091;560.0;43.0536;250
259;2022-05-04;2;18;5;1084;638.27;45.81731370000001;259
260;2022-05-02;0;18;5;1126;2106.0;97.64286;260
246;2022-05-06;4;18;5;1035;18399.0;672.94869;246
264;2022-05-06;4;18;5;1176;7.47;23.5437657;264
265;2022-05-06;4;18;5;1176;7253.0;279.38343;265
267;2022-05-06;4;18;5;1034;135.32;28.058149199999995;267
261;2022-05-02;0;18;5;1174;320.0;34.5792;261
327;2022-05-09;0;19;5;1084;471.0;39.91101;327
348;2022-05-09;0;19;5;1213;1047.12;60.253807200000004;348
344;2022-05-06;4;18;5;1210;253.87;32.244149699999994;344
343;2022-05-06;4;18;5;1035;58.0;25.32798;343
340;2022-05-04;2;18;5;1050;1559.12;78.3325272;340
356;2022-05-09;0;19;5;1041;48.0;24.97488;356
339;2022-05-05;3;18;5;1091;72.75;25.848802499999998;339
326;2022-05-09;0;19;5;1204;1991.0;93.58221;326
312;2022-05-09;0;19;5;1115;5184.0;206.32703999999998;312
322;2022-05-09;0;19;5;1179;5.5;23.474204999999998;322
321;2022-05-09;0;19;5;1063;47.6;24.960756;321
314;2022-05-05;3;18;5;1016;3024.0;130.05743999999999;314
311;2022-05-09;0;19;5;1115;2725.94;119.53294140000001;311
308;2022-05-09;0;19;5;1064;1211.43;66.0555933;308
305;2022-05-09;0;19;5;1082;1247.83;67.34087729999999;305
304;2022-05-09;0;19;5;1190;2196.62;100.8426522;304
324;2022-05-09;0;19;5;1061;1069.26;61.0355706;324
415;2022-05-10;1;19;5;1016;3024.0;130.05743999999999;415
411;2022-05-10;1;19;5;1236;11298.11;422.2162641;411
403;2022-05-04;2;18;5;1151;1603.49;79.8992319;403
401;2022-05-09;0;19;5;1231;1350.16;70.9541496;401
400;2022-05-09;0;19;5;1187;1292.0;68.90052;400
397;2022-05-04;2;18;5;1102;5351.09;212.2269879;397
396;2022-05-06;4;18;5;1088;380.09;36.7009779;396
395;2022-05-06;4;18;5;1089;148.53;28.524594300000004;395
394;2022-05-06;4;18;5;1034;3348.6;141.51906599999998;394
391;2022-05-05;3;18;5;1177;312.0;34.29672;391
375;2022-05-09;0;19;5;1068;1583.39;79.18950090000001;375
374;2022-05-09;0;19;5;1067;2022.0;94.67681999999999;374
370;2022-05-09;0;19;5;1056;3240.0;137.6844;370
365;2022-05-09;0;19;5;1062;352.26;35.7183006;365
363;2022-05-09;0;19;5;1115;1030.0;59.6493;363
392;2022-05-10;1;19;5;1030;2410.0;108.3771;392
440;2022-05-09;0;19;5;1174;539.88;42.343162799999995;440
465;2022-05-11;2;19;5;1063;3840.0;158.8704;465
464;2022-05-11;2;19;5;1063;267.0;32.707770000000004;464
455;2022-05-11;2;19;5;1255;88.46;26.403522600000002;455
451;2022-05-10;1;19;5;1176;1500.0;76.245;451
449;2022-05-06;4;18;5;1210;776.87;50.7112797;449
438;2022-05-10;1;19;5;1016;14627.0;539.75937;438
462;2022-05-11;2;19;5;1062;1752.0;85.14312;462
433;2022-05-10;1;19;5;1091;1730.0;84.3663;433
432;2022-05-05;3;18;5;1001;54.0;25.18674;432
431;2022-05-11;2;19;5;1070;740.0;49.4094;431
429;2022-05-05;3;18;5;1133;189.45;29.9694795;429
436;2022-05-09;0;19;5;1123;4042.0;166.00302;436
426;2022-05-09;0;19;5;1231;2200.31;100.97294609999999;426
421;2022-05-09;0;19;5;1061;362.0;36.06222;421
507;2022-05-11;2;19;5;1034;1650.61;81.5630391;507
509;2022-05-06;4;18;5;1164;75.5;25.945905;509
511;2022-05-09;0;19;5;1082;12287.0;457.13397000000003;511
517;2022-05-11;2;19;5;1115;6048.0;236.83487999999997;517
524;2022-05-11;2;19;5;1070;501.0;40.97031;524
