InternID;ExternID;Montag;Dienstag;Mittwoch;Donnerstag;Freitag
1;1001;0;0;1;0;0
2;1015;0;0;0;0;1
3;1016;0;1;0;0;1
4;1020;0;0;1;0;0
5;1030;0;0;1;0;0
6;1031;0;1;0;1;0
7;1034;1;0;1;0;0
8;1035;1;0;1;0;0
9;1041;0;1;0;0;0
10;1045;1;0;0;1;0
11;1050;0;0;1;0;0
12;1053;0;0;0;1;0
13;1056;0;0;0;0;1
14;1061;0;1;0;0;1
15;1062;0;1;1;0;1
16;1063;0;0;1;0;1
17;1064;0;1;0;0;0
18;1065;0;0;1;0;1
19;1067;1;0;1;0;0
20;1068;1;0;1;0;0
21;1070;0;0;1;0;0
22;1074;0;1;0;0;0
23;1076;0;0;0;0;1
24;1082;0;0;0;0;1
25;1084;0;0;1;0;1
26;1088;0;0;1;0;0
27;1089;1;0;1;0;0
28;1091;0;0;1;0;1
29;1102;1;0;0;0;0
30;1115;0;0;1;0;1
31;1123;0;1;0;0;1
32;1126;0;1;0;0;0
33;1133;0;1;0;0;0
34;1151;0;0;0;0;1
35;1164;0;0;0;1;0
36;1165;0;0;1;0;0
37;1174;0;1;0;0;0
38;1176;0;1;0;1;0
39;1177;0;0;0;0;1
40;1179;0;1;0;1;0
41;1186;1;0;0;0;0
42;1187;1;0;0;1;0
43;1190;0;0;0;0;1
44;1193;0;0;0;1;0
45;1204;0;0;1;0;1
46;1210;0;0;0;1;0
47;1213;0;1;0;0;1
48;1231;0;0;0;1;0
49;1236;0;0;1;0;1
50;1255;0;0;1;0;0
51;1273;0;0;0;0;1
52;1313;0;0;0;1;0
53;1315;1;0;0;0;0
54;1350;1;0;0;0;0
55;1371;0;0;1;0;0
56;1372;0;0;0;0;1
57;1497;0;1;0;0;0
