InternID;ExternID;Montag;Dienstag;Mittwoch;Donnerstag;Freitag
1;1016;1;0;1;0;0
2;1031;0;1;0;0;1
3;1034;0;1;0;1;0
4;1035;1;0;0;1;0
5;1041;0;0;1;0;0
6;1045;0;0;1;0;1
7;1053;0;0;1;0;0
8;1056;0;1;0;0;0
9;1061;0;1;0;0;1
10;1062;0;1;0;1;1
11;1063;0;1;0;1;0
12;1065;0;1;0;1;0
13;1067;1;0;1;0;0
14;1068;1;0;1;0;0
15;1070;0;1;0;0;0
16;1076;1;0;0;0;0
17;1082;0;0;0;1;0
18;1084;1;0;0;1;0
19;1088;1;0;0;0;0
20;1089;1;0;0;1;0
21;1091;0;1;0;0;1
22;1102;0;0;1;0;0
23;1115;0;1;0;1;0
24;1123;0;1;0;1;0
25;1126;0;0;1;0;0
26;1133;1;0;0;0;0
27;1151;0;0;1;0;0
28;1176;0;1;0;0;1
29;1177;1;0;0;0;0
30;1179;0;1;0;0;1
31;1186;0;0;0;0;1
32;1187;0;0;1;0;1
33;1204;0;1;0;1;0
34;1213;1;0;1;0;0
35;1236;1;0;1;0;0
36;1255;0;1;0;0;0
37;1313;0;0;1;0;0
38;1350;1;0;0;0;0
39;1371;1;0;0;0;0
40;1372;0;1;0;0;0
