InternID;ExternID;Montag;Dienstag;Mittwoch;Donnerstag;Freitag
1;1016;1;0;1;0;0
2;1031;1;0;1;0;0
3;1034;1;0;0;1;0
4;1035;1;0;1;0;0
5;1041;0;1;0;0;0
6;1045;1;0;0;1;0
7;1053;0;0;0;0;1
8;1056;0;1;0;0;0
9;1061;1;0;1;0;0
10;1062;1;0;1;1;0
11;1063;0;1;0;1;0
12;1065;0;1;0;0;1
13;1067;0;1;0;0;1
14;1068;0;1;0;0;1
15;1070;0;0;0;1;0
16;1076;0;0;0;0;1
17;1082;0;0;1;0;0
18;1084;0;0;1;0;1
19;1088;1;0;0;0;0
20;1089;1;0;1;0;0
21;1091;1;0;1;0;0
22;1102;1;0;0;0;0
23;1115;0;1;0;1;0
24;1123;1;0;1;0;0
25;1126;0;1;0;0;0
26;1133;0;1;0;0;0
27;1151;0;0;0;1;0
28;1176;1;0;1;0;0
29;1177;1;0;0;0;0
30;1179;1;0;1;0;0
31;1186;0;0;0;1;0
32;1187;1;0;1;0;0
33;1204;0;1;0;0;1
34;1213;0;1;0;0;1
35;1236;1;0;1;0;0
36;1255;0;0;0;1;0
37;1313;0;0;0;0;1
38;1350;0;0;1;0;0
39;1371;0;0;1;0;0
40;1372;0;1;0;0;0
