InternID;ExternID;Montag;Dienstag;Mittwoch;Donnerstag;Freitag
1;1016;0;0;1;0;1
2;1031;1;0;1;0;0
3;1034;1;0;1;0;0
4;1035;1;0;1;0;0
5;1041;0;0;1;0;0
6;1045;1;0;1;0;0
7;1053;0;0;0;0;1
8;1056;1;0;0;0;0
9;1061;0;0;1;0;1
10;1062;1;0;1;0;1
11;1063;0;0;1;0;1
12;1065;1;0;1;0;0
13;1067;0;1;0;0;1
14;1068;0;1;0;0;1
15;1070;1;0;0;0;0
16;1076;0;0;1;0;0
17;1082;1;0;0;0;0
18;1084;1;0;1;0;0
19;1088;0;0;1;0;0
20;1089;1;0;1;0;0
21;1091;1;0;1;0;0
22;1102;1;0;0;0;0
23;1115;1;0;1;0;0
24;1123;1;0;1;0;0
25;1126;0;0;1;0;0
26;1133;0;0;1;0;0
27;1151;1;0;0;0;0
28;1176;1;0;1;0;0
29;1177;1;0;0;0;0
30;1179;1;0;1;0;0
31;1186;1;0;0;0;0
32;1187;1;0;1;0;0
33;1204;1;0;1;0;0
34;1213;1;0;1;0;0
35;1231;0;0;1;0;0
36;1236;1;0;1;0;0
37;1255;1;0;0;0;0
38;1273;0;0;1;0;0
39;1313;0;0;0;0;1
40;1315;0;0;1;0;0
41;1350;0;0;1;0;0
42;1371;0;0;0;0;1
43;1372;0;0;1;0;0
