Beladedatum;Wochentag;Kalenderwoche;ID_Empfänger;Gewicht;Frachtkosten;ID_Sendung;MR_ID;Monat;Frachtkosten_AF
2.5.2022;0;18;[];0.0;39.476232026000005;[];0-46-0;5.0;0.0
2.5.2022;0;18;[1067, 1068];4955.74;113.5881943735;[67, 68];0-910-1;5.0;221.5471794
2.5.2022;0;18;[1045];4675.0;167.18303361375;[44];0-14083-1;5.0;188.35425
2022-05-02 00:00:00;0;18;1076;3300.08;139.8058248;80;0-30104-0;5.0;139.8058248
2.5.2022;0;18;[1041, 1084, 1076, 1126];8943.58;210.78552758725002;[151, 90, 40, 208, 149, 260, 150];0-30104-0;5.0;618.5636346000001
2022-05-02 00:00:00;0;18;1064;295.0;33.69645;142;0-36971-2;5.0;33.69645
2022-05-02 00:00:00;0;18;1123;301.23;33.9164313;143;0-36971-2;5.0;33.9164313
2022-05-02 00:00:00;0;18;1190;2717.93;119.2501083;294;0-36971-2;5.0;119.2501083
2022-05-02 00:00:00;0;18;1064;7344.0;282.59664;64;0-36971-2;5.0;282.59664
2.5.2022;0;18;[1082];23760.78;314.51008887375014;[88, 295];0-36971-2;5.0;1355.0127714
2.5.2022;0;18;[1063, 1056, 1062, 1174, 1061, 1065];10189.25;430.171152488;[123, 63, 56, 62, 261, 173, 65, 271, 187, 61];0-37483-2;5.0;592.5824175
3.5.2022;1;18;[1030];165.0;151.11384569050003;[93];1-33817-1;5.0;29.10615
3.5.2022;1;18;[1193, 1016];8213.33;342.08892887400003;[300, 129];1-38019-2;5.0;336.57268229999994
3.5.2022;1;18;[1035, 1091, 1031];5017.97;173.22049652599998;[98, 100, 234, 95, 157, 153, 241];1-38573-2;5.0;340.14452070000004
4.5.2022;2;18;[];0.0;39.476232026000005;[];2-46-0;5.0;0.0
2022-05-04 00:00:00;2;18;1165;14487.06;534.8180886;242;2-6643-0;5.0;534.8180886
4.5.2022;2;18;[1084];1198.27;257.48412355050004;[136, 259];2-6643-0;5.0;623.6890023000001
4.5.2022;2;18;[1062, 1063, 1115];4724.48;216.31514290925;[171, 190, 283, 132, 172];2-17924-0;5.0;283.2213888
4.5.2022;2;18;[1067, 1068];7475.6;132.324647609;[199, 200];2-21028-1;5.0;310.523436
4.5.2022;2;18;[1034, 1050, 1089];2666.12;272.62981374475;[235, 126, 237, 340];2-33392-1;5.0;187.26069719999998
2022-05-04 00:00:00;2;18;1045;2877.0;124.86686999999999;224;2-37950-2;5.0;124.86686999999999
4.5.2022;2;18;[1102, 1151, 1186, 1045, 1187];23206.620000000003;269.282907124;[228, 206, 286, 403, 287, 289, 397, 293];2-37950-2;5.0;1130.5326222
5.5.2022;3;18;[1133, 1016];3213.45;123.77887369925;[429, 314];3-195-2;5.0;160.0269195
5.5.2022;3;18;[1001, 1091, 1177];2181.75;130.10422563600002;[432, 339, 269, 391, 250, 222];3-35115-0;5.0;216.71759249999997
5.5.2022;3;18;[1179, 1062, 1061, 1065];6502.65;440.55617914000015;[272, 275, 274, 185, 192, 191];3-40348-2;5.0;369.2885715
2022-05-06 00:00:00;4;18;1089;148.53;28.524594300000004;395;4-36837-2;5.0;28.524594300000004
2022-05-06 00:00:00;4;18;1176;7253.0;279.38343;265;4-36837-2;5.0;279.38343
6.5.2022;4;18;[1176, 1035, 1164, 1034, 1210, 1088, 1074];23959.66;310.25866637150006;[264, 343, 509, 267, 344, 396, 504, 449, 394, 246];4-36837-2;5.0;1386.7236189
9.5.2022;0;19;[1213];1047.12;39.476232026000005;[348];0-46-0;5.0;60.253807200000004
9.5.2022;0;19;[1068, 1067];3605.3900000000003;113.5881943735;[375, 374];0-910-1;5.0;173.8663209
9.5.2022;0;19;[1187, 1231];6579.4400000000005;167.18303361375;[400, 401, 568, 426];0-14083-1;5.0;325.4400264
9.5.2022;0;19;[1041, 1273, 1084];2119.98;210.78552758725002;[356, 500, 574, 327, 497];0-30104-0;5.0;191.2564938
2022-05-09 00:00:00;0;19;1190;2196.62;100.8426522;304;0-36971-2;5.0;100.8426522
2022-05-09 00:00:00;0;19;1115;5184.0;206.32703999999998;312;0-36971-2;5.0;206.32703999999998
2022-05-09 00:00:00;0;19;1082;12287.0;457.13397000000003;511;0-36971-2;5.0;457.13397000000003
9.5.2022;0;19;[1190, 1115, 1064, 1082, 1123];23438.1;314.51008887375014;[536, 363, 308, 305, 311, 528, 537, 436, 556];0-36971-2;5.0;1801.4229732000001
9.5.2022;0;19;[1179, 1063, 1062, 1061, 1174, 1056, 1204];8873.17;430.171152488;[322, 321, 365, 421, 440, 324, 566, 326, 370];0-37483-2;5.0;522.8316327
2022-05-10 00:00:00;1;19;1315;1515.0;76.77465;635;1-33817-1;5.0;76.77465
2022-05-10 00:00:00;1;19;1030;2410.0;108.3771;392;1-33817-1;5.0;108.3771
2022-05-10 00:00:00;1;19;1030;3138.08;134.0856048;547;1-33817-1;5.0;134.0856048
10.5.2022;1;19;[1236];11298.11;151.11384569050003;[411];1-33817-1;5.0;741.4536189
10.5.2022;1;19;[1313, 1053, 1016];23336.5;342.08892887400003;[632, 474, 544, 415, 438];1-38019-2;5.0;940.4118149999999
10.5.2022;1;19;[1176, 1091];3230.0;173.22049652599998;[451, 433];1-38573-2;5.0;160.6113
11.5.2022;2;19;[1213];2519.7;39.476232026000005;[572, 573];2-46-0;5.0;135.530607
2022-05-11 00:00:00;2;19;1165;12537.82;465.99042419999995;529;2-6643-0;5.0;465.99042419999995
11.5.2022;2;19;[1084, 1020];3699.2200000000003;257.48412355050004;[541, 699];2-6643-0;5.0;643.1698824
2022-05-11 00:00:00;2;19;1115;1088.81;61.725881099999995;554;2-17924-0;5.0;61.725881099999995
2022-05-11 00:00:00;2;19;1115;6048.0;236.83487999999997;517;2-17924-0;5.0;236.83487999999997
11.5.2022;2;19;[1063, 1062];8687.439999999999;216.31514290925;[464, 479, 561, 462, 465];2-17924-0;5.0;721.7142675
11.5.2022;2;19;[1067, 1068];4384.11;132.324647609;[518, 519];2-21028-1;5.0;201.3629241
11.5.2022;2;19;[1255, 1050, 1070, 1089, 1034];8534.24;272.62981374475;[455, 609, 610, 524, 506, 431, 507, 674];2-33392-1;5.0;487.5840144
