Beladedatum;Wochentag;Kalenderwoche;ID_Empfänger;Gewicht;Frachtkosten;ID_Sendung;MR_ID;Monat;Frachtkosten_AF
2.5.2022;0;18;[1068];2861.74;103.69436;[68];0-3-0;5.0;124.32803940000001
2.5.2022;0;18;[];0.0;87.97080600000001;[];0-5-0;5.0;0.0
3.5.2022;1;18;[1016];7904.0;123.80346825;[129];1-0-2;5.0;302.37023999999997
3.5.2022;1;18;[1062, 1065];4135.0;408.66662375;[171, 65, 185, 172];1-22-2;5.0;239.12685000000002
4.5.2022;2;18;[1068];5818.1;103.69436;[200];2-3-0;5.0;228.717111
4.5.2022;2;18;[];0.0;87.97080600000001;[];2-5-0;5.0;0.0
5.5.2022;3;18;[1062, 1016];5311.3099999999995;270.788364;[191, 314];3-6-2;5.0;234.10235609999998
6.5.2022;4;18;[1062, 1204];2117.0;408.66662375;[275, 326];4-22-2;5.0;121.31127000000001
9.5.2022;0;19;[1068];1583.39;103.69436;[375];0-3-0;5.0;79.18950090000001
2022-05-09 00:00:00;0;19;1236;11298.11;422.2162641;411;0-5-0;5.0;422.2162641
9.5.2022;0;19;[];0.0;87.97080600000001;[];0-5-0;5.0;422.2162641
10.5.2022;1;19;[1016];17651.0;123.80346825;[415, 438];1-0-2;5.0;669.81681
10.5.2022;1;19;[1062, 1204, 1065];10244.26;408.66662375;[365, 462, 485, 484];1-22-2;5.0;454.84482060000005
11.5.2022;2;19;[1068];4143.61;103.69436;[519];2-3-0;5.0;169.5908691
11.5.2022;2;19;[];0.0;87.97080600000001;[];2-5-0;5.0;0.0
12.5.2022;3;19;[1062, 1016];5584.0;270.788364;[477, 483, 553];3-6-2;5.0;267.01104
13.5.2022;4;19;[1062];907.5;408.66662375;[563, 621];4-22-2;5.0;78.603825
16.5.2022;0;20;[1068];6448.89;103.69436;[671];0-3-0;5.0;250.99030589999998
2022-05-16 00:00:00;0;20;1236;11632.0;434.00592;639;0-5-0;5.0;434.00592
16.5.2022;0;20;[];0.0;87.97080600000001;[];0-5-0;5.0;434.00592
17.5.2022;1;20;[1016];8159.27;123.80346825;[715];1-0-2;5.0;311.3838237
17.5.2022;1;20;[1065, 1062, 1204];5928.42;408.66662375;[689, 777, 760, 778, 690];1-22-2;5.0;325.7325102
18.5.2022;2;20;[1068];6416.71;103.69436;[814];2-3-0;5.0;249.8540301
18.5.2022;2;20;[];0.0;87.97080600000001;[];2-5-0;5.0;0.0
19.5.2022;3;20;[1062, 1016];8388.0;270.788364;[794, 847];3-6-2;5.0;342.74028
20.5.2022;4;20;[1062, 1204, 1065];13563.619999999999;408.66662375;[873, 932, 883, 884];4-22-2;5.0;572.0514222
23.5.2022;0;21;[1068];6815.44;103.69436;[947];0-3-0;5.0;263.9331864
23.5.2022;0;21;[];0.0;87.97080600000001;[];0-5-0;5.0;0.0
24.5.2022;1;21;[1016];5580.0;123.80346825;[1001];1-0-2;5.0;220.3098
24.5.2022;1;21;[1065, 1062];671.21;408.66662375;[963, 968, 1040];1-22-2;5.0;93.5404251
25.5.2022;2;21;[];0.0;103.69436;[];2-3-0;5.0;0.0
25.5.2022;2;21;[1236];2485.5;87.97080600000001;[1003];2-5-0;5.0;111.04300500000001
26.5.2022;3;21;[];0.0;270.788364;[];3-6-2;5.0;0.0
27.5.2022;4;21;[1062];880.5;408.66662375;[1110];4-22-2;5.0;54.37045500000001
30.5.2022;0;22;[1068];4216.83;103.69436;[1129];0-3-0;5.0;172.1762673
30.5.2022;0;22;[1236];3228.0;87.97080600000001;[1167];0-5-0;5.0;137.26068
31.5.2022;1;22;[1016];14328.0;123.80346825;[1162, 1235];1-0-2;5.0;552.48168
31.5.2022;1;22;[1065, 1204, 1062];11386.5;408.66662375;[1303, 1113, 1301, 1141, 1302];1-22-2;5.0;518.457315
1.6.2022;2;22;[1068];2513.42;103.69436;[1279];2-3-0;6.0;112.0288602
1.6.2022;2;22;[1236];893.0;87.97080600000001;[1319, 1260];2-5-0;6.0;78.09183
2.6.2022;3;22;[1062, 1016];8212.0;270.788364;[1291, 1292, 1306];3-6-2;6.0;359.80572
3.6.2022;4;22;[1062];807.95;408.66662375;[1339];4-22-2;6.0;51.8087145
6.6.2022;0;23;[1068];3364.08;103.69436;[1393];0-3-0;6.0;142.0656648
6.6.2022;0;23;[];0.0;87.97080600000001;[];0-5-0;6.0;0.0
7.6.2022;1;23;[1016];5760.0;123.80346825;[1464];1-0-2;6.0;226.6656
7.6.2022;1;23;[1062, 1065, 1204];7466.54;408.66662375;[1426, 1398, 1512, 1513, 1511, 1360];1-22-2;6.0;403.3235274
8.6.2022;2;23;[1068];1244.74;103.69436;[1499];2-3-0;6.0;67.2317694
8.6.2022;2;23;[1236];4145.09;87.97080600000001;[1467, 1607, 1542];2-5-0;6.0;216.20312790000003
9.6.2022;3;23;[1016];15514.89;270.788364;[1596];3-6-2;6.0;571.1107659
10.6.2022;4;23;[1062];524.71;408.66662375;[1556];4-22-2;6.0;41.8075101
13.6.2022;0;24;[1068];8339.61;103.69436;[1674];0-3-0;6.0;317.7516291
13.6.2022;0;24;[1236];114.0;87.97080600000001;[1689];0-5-0;6.0;27.30534
14.6.2022;1;24;[1016];8660.67;123.80346825;[1770];1-0-2;6.0;329.0882577
14.6.2022;1;24;[1062, 1065, 1204];7674.97;408.66662375;[1680, 1780, 1671, 1672];1-22-2;6.0;364.1231907
15.6.2022;2;24;[];0.0;103.69436;[];2-3-0;6.0;0.0
15.6.2022;2;24;[];0.0;87.97080600000001;[];2-5-0;6.0;0.0
16.6.2022;3;24;[];0.0;270.788364;[];3-6-2;6.0;0.0
