MR_ID;Wochentag;Fahrzeugtyp;Kapazität;Sequenz;Tourdauer;Tourdistanz;Tourkosten;AF_Kosten
0-910-1;0;1;12000;[19, 20, 0];118.12233333333333;73.61;136.31129049999998;406.61607
0-9751-2;0;2;24000;[7, 27, 8, 0];183.91;103.91000000000001;235.102791;505.88318999999996
0-14062-1;0;1;12000;[42, 10, 41, 0];166.904;74.07;176.00629199999997;432.96804000000003
0-26710-1;0;1;12000;[29, 53, 54, 0];184.95133333333334;104.25;207.329353;436.39311
1-195-2;1;2;24000;[3, 33, 0];117.23616666666666;64.64;148.54006475;750.53547
1-9130-0;1;0;9000;[38, 6, 22, 0];130.522;52.449999999999996;127.335747;352.00221
1-12854-0;1;0;9000;[32, 9, 47, 0];139.36533333333333;55.07;135.574978;304.68681
1-19985-0;1;0;9000;[57, 17, 31, 0];195.69483333333332;116.91999999999999;206.83460874999997;272.76657
1-30023-0;1;0;9000;[40, 15, 14, 37, 0];240.62083333333334;155.10999999999999;259.03668175;387.00512999999995
2-897-1;2;1;12000;[18, 45, 0];228.30416666666667;172.98;280.48403075;441.7495200000001
2-6643-0;2;0;9000;[36, 25, 4, 0];283.187;192.49;308.99403149999995;362.87769000000003
2-8070-0;2;0;9000;[49, 5, 28, 0];146.06133333333332;70.27;147.308854;375.76584
2-11553-1;2;1;12000;[27, 26, 8, 0];161.47983333333332;90.05000000000001;180.48016525;389.81922
2-17924-0;2;0;9000;[16, 15, 30, 0];237.77616666666665;161.97000000000003;259.58915675;384.16962
2-21028-1;2;1;12000;[20, 19, 55, 0];147.83266666666668;70.83999999999999;158.796407;472.44462
2-30783-0;2;0;9000;[11, 21, 50, 7, 1, 0];276.27116666666666;157.08999999999997;288.68326025;410.95602
3-14083-1;3;1;12000;[48, 42, 10, 0];182.2925;96.03999999999999;200.62806224999997;479.85972000000004
3-30099-0;3;0;9000;[44, 12, 52, 40, 0];382.3375;259.82;417.15302474999993;408.40299
3-30958-0;3;0;9000;[6, 38, 35, 46, 0];144.54416666666668;56.81;140.48555675;374.75256
4-897-1;4;1;12000;[18, 45, 0];228.30416666666667;172.98;280.48403075;441.7495200000001
4-1391-0;4;0;9000;[34, 51, 0];98.85866666666666;36.77;95.216198;145.60455000000002
4-3213-2;4;2;24000;[30, 2, 3, 0];189.78766666666667;115.21000000000001;249.25196449999999;859.3716000000002
4-23598-0;4;0;9000;[25, 23, 47, 0];202.69600000000003;112.6;210.69879600000002;263.51535
4-24290-2;4;2;24000;[24, 43, 31, 0];141.8705;69.92;172.84777125;534.8727000000001
4-26197-0;4;0;9000;[49, 39, 28, 0];143.00533333333334;67.1;143.519992;346.6704
4-30574-0;4;0;9000;[13, 16, 56, 15, 14, 0];277.0095;172.54;295.70431275;411.48567
