MR_ID;Wochentag;Fahrzeugtyp;Kapazität;Sequenz;Tourdauer;Tourdistanz;Tourkosten;AF_Kosten;Sequenz_extID
0-62-2;0;2;24000;[1, 26, 0];117.23616666666666;64.64;148.54006475;750.53547;[1016, 1133, 0]
0-9225-0;0;0;9000;[35, 29, 21, 0];143.00533333333334;67.1;143.519992;346.6704;[1236, 1177, 1091, 0]
0-21444-2;0;2;24000;[15, 36, 3, 20, 4, 28, 2, 0];332.6563333333333;154.78;397.6676935;973.81884;[1070, 1255, 1034, 1089, 1035, 1176, 1031, 0]
0-26071-2;0;2;24000;[12, 33, 11, 40, 10, 23, 24, 0];401.92800000000005;234.14;519.6696119999998;994.5811200000003;[1065, 1204, 1063, 1372, 1062, 1115, 1123, 0]
1-13554-1;1;1;12000;[18, 16, 25, 5, 34, 0];258.3073333333333;124.62;277.930807;465.75714000000005;[1084, 1076, 1126, 1041, 1213, 0]
1-20401-2;1;2;24000;[30, 10, 9, 7, 37, 13, 14, 0];423.56133333333327;251.42;551.53021;994.96953;[1179, 1062, 1061, 1053, 1313, 1067, 1068, 0]
2-59-2;2;2;24000;[23, 1, 0];173.49616666666668;116.74;237.35263475;805.6543800000003;[1115, 1016, 0]
2-20038-2;2;2;24000;[3, 20, 19, 4, 28, 2, 21, 0];300.3661666666667;116.85;340.01850575;974.87814;[1034, 1089, 1088, 1035, 1176, 1031, 1091, 0]
2-20126-2;2;2;24000;[22, 32, 6, 31, 38, 35, 0];341.03183333333334;169.78;416.91328525;958.5189;[1102, 1187, 1045, 1186, 1350, 1236, 0]
3-7057-1;3;1;12000;[14, 13, 39, 0];147.83266666666668;70.83999999999997;158.79640700000002;472.44462000000004;[1068, 1067, 1371, 0]
3-8271-2;3;2;24000;[18, 17, 24, 0];211.8623333333333;126.76;276.7043125;561.42582;[1084, 1082, 1123, 0]
3-31218-2;3;2;24000;[33, 12, 8, 30, 11, 10, 9, 0];374.60416666666674;219.51;485.41198475;934.9072199999999;[1204, 1065, 1056, 1179, 1063, 1062, 1061, 0]
4-33-0;4;0;9000;[34, 0];49.99066666666667;16.73;47.373788;102.44502;[1213, 0]
4-4321-1;4;1;12000;[32, 6, 27, 0];178.4875;83.55000000000003;190.62726375000003;473.32737;[1187, 1045, 1151, 0]
