MR_ID;Wochentag;Fahrzeugtyp;Kapazität;Sequenz;Tourdauer;Tourdistanz;Tourkosten;AF_Kosten;Sequenz_extID
0-65-2;0;2;24000;[1, 26, 0];117.23616666666666;64.64;148.54006475;750.53547;[1016, 1133, 0]
0-479-1;0;1;12000;[13, 14, 0];118.12233333333332;73.61;136.31129049999998;406.61607000000004;[1067, 1068, 0]
0-705-0;0;0;9000;[36, 21, 0];121.80716666666667;64.42;125.26693025;301.67475;[1236, 1091, 0]
0-9586-0;0;0;9000;[18, 16, 34, 0];202.69600000000003;112.6;210.698796;263.51535;[1084, 1076, 1213, 0]
0-13591-2;0;2;24000;[22, 32, 6, 35, 31, 41, 40, 0];356.52;168.77;428.59555199999994;960.40104;[1102, 1187, 1045, 1231, 1186, 1350, 1315, 0]
0-14299-2;0;2;24000;[7, 39, 9, 30, 11, 10, 23, 24, 0];453.90416666666664;267.67;589.5758907499999;982.65705;[1053, 1313, 1061, 1179, 1063, 1062, 1115, 1123, 0]
0-14574-2;0;2;24000;[37, 3, 19, 20, 4, 28, 2, 29, 0];343.6565;147.32999999999996;400.36590825;965.1079800000001;[1255, 1034, 1088, 1089, 1035, 1176, 1031, 1177, 0]
2-0-2;2;2;24000;[1, 0];90.7445;60.65;123.80346825;610.6265400000002;[1016, 0]
2-1629-2;2;2;24000;[4, 2, 28, 0];148.58316666666667;72.71000000000002;180.59512625;521.6667600000002;[1035, 1031, 1176, 0]
2-2720-1;2;1;12000;[15, 3, 20, 0];225.29833333333332;134.12;256.5098305;405.92058;[1070, 1034, 1089, 0]
2-4373-0;2;0;9000;[25, 5, 34, 0];139.36533333333333;55.07;135.57497800000002;304.68681000000004;[1126, 1041, 1213, 0]
2-5046-1;2;1;12000;[32, 6, 27, 0];178.4875;83.55000000000003;190.62726375000003;473.32737;[1187, 1045, 1151, 0]
2-8375-1;2;1;12000;[14, 13, 42, 0];147.83266666666668;70.83999999999997;158.79640700000002;472.44462000000004;[1068, 1067, 1371, 0]
2-9900-2;2;2;24000;[18, 17, 24, 0];211.8623333333333;126.76;276.7043125;561.42582;[1084, 1082, 1123, 0]
2-14709-2;2;2;24000;[12, 33, 8, 11, 10, 43, 23, 38, 0];452.4513333333333;254.72;577.6320549999998;1006.06758;[1065, 1204, 1056, 1063, 1062, 1372, 1115, 1273, 0]
3-705-0;3;0;9000;[36, 21, 0];121.80716666666667;64.42;125.26693025;301.67475;[1236, 1091, 0]
3-6396-0;3;0;9000;[30, 10, 9, 0];221.95416666666668;154.26;243.59125175000003;343.49249999999995;[1179, 1062, 1061, 0]
4-468-1;4;1;12000;[12, 33, 0];228.30416666666667;172.98;280.48403075;441.74952000000013;[1065, 1204, 0]
