,Haversine_Distance
0,78.79749012011636
1,52.04141252763051
2,42.327549766538915
3,101.65627700729945
4,101.65627700729945
5,21.331168122114907
6,49.177530630439236
7,31.89257518034898
8,28.875836778303476
9,31.654503424867485
10,29.91673398868865
11,33.733813579626165
12,35.70775665703366
13,11.256731115713466
14,6.920945546799614
15,38.66457178966993
16,21.331168122114907
17,8.840427975931833
18,7.12828245194839
19,36.906015040533816
20,39.16747498554808
21,41.58645993942089
22,37.82333478537603
23,42.93585519434705
24,38.77341217430926
25,41.69314891061211
26,126.27219472318184
27,146.28483212705854
28,106.52730601158335
29,145.68355964536354
30,23.16438329422282
31,21.405804261874575
32,85.04837605518557
33,84.80595495243489
34,80.92790070094198
35,84.80595495243489
36,82.93225191627872
37,83.63817439219505
38,104.68224297819614
39,104.68224297819614
40,107.89939615740768
41,121.69982077501747
42,112.49471057258445
43,109.02071412758421
44,107.9607806399285
45,116.40033954108381
46,16.88618029764552
47,17.302562943101087
48,21.443395857360006
49,77.81598555493623
50,89.39952802921432
51,102.41895973058209
52,104.87386366316656
53,102.99708058287274
54,101.03677287859625
55,104.87386366316656
56,104.87386366316656
57,105.10930583499352
58,101.65627700729945
59,98.66185956662285
60,98.41299950486187
61,98.59993764531397
62,93.829499511425
63,38.65095021853625
64,33.38603150988534
65,40.38777397429673
66,39.810374732595214
67,39.88309213398283
68,33.493588944558745
69,40.38777397429673
70,71.18627250956409
71,58.10619503889309
72,59.35094696852839
73,42.327549766538915
74,80.56572409088504
75,22.4324360396052
76,19.414759132492883
77,17.209516783636694
78,112.29660344243425
79,125.4193781207411
80,111.65476503442696
81,110.2669238032832
82,122.63931224344685
83,122.77472163689583
84,109.99300036304045
85,24.16606287292985
86,34.09571139686762
87,33.145057276188105
88,36.19277722642343
89,36.19277722642343
90,22.288481180837675
91,22.287859530682216
92,21.963026149987368
93,21.331168122114907
94,55.487816434203985
95,52.40428182467009
96,45.901254240158714
97,45.84353957991468
98,48.12596726547917
99,48.77155376274356
100,46.78301296710091
101,47.04456328472023
102,57.739932589217226
103,89.87897765564342
104,73.98131618086605
105,65.96418983933485
106,100.58746818353828
107,127.14942646952593
108,129.6225763699579
109,129.20010064994634
110,127.14942646952593
111,124.73904396260195
112,72.26439779754718
113,75.37501062031917
114,78.53910541443665
115,86.95039245085735
116,95.04091851095333
117,92.29633035458242
118,95.79292113095408
119,107.31773049159862
120,89.69678023951909
121,116.13951866114874
122,116.13951866114874
123,30.238342809942598
124,31.570410346252697
125,30.524211132344842
126,26.72222894692913
127,29.91673398868865
128,55.487816434203985
129,48.44949072919388
130,67.43651063059856
131,72.26439779754718
132,66.68935416187139
133,38.05370664902886
134,77.81598555493623
135,98.58235303947737
136,80.33931753994254
137,42.39749158892248
138,66.02560937987312
139,58.13353162016262
140,42.327549766538915
141,80.56572409088504
142,41.75517346894444
143,38.27058803346223
144,95.65379420967062
145,77.81598555493623
146,90.44863559416358
147,74.6433111484595
148,86.95978877717648
149,85.66977587380946
150,74.39590211967042
151,86.95978877717648
152,72.56944860916941
153,78.53910541443665
154,72.91250027651678
155,145.238672376875
156,145.2864812277724
157,126.27219472318184
158,122.63931224344685
159,146.28483212705854
160,145.68355964536354
161,130.06141521417965
162,130.14848122123652
163,129.6225763699579
164,110.2669238032832
165,109.99300036304045
166,127.14942646952593
167,130.26417865298305
168,129.19817090516605
169,33.145057276188105
170,29.002618612951512
171,28.443281326344568
172,22.287859530682216
173,49.61239725887598
174,41.02224222512584
175,44.3634618583034
176,40.66826141927131
177,41.49549530940783
178,36.906015040533816
179,40.66826141927131
180,21.331168122114907
181,31.451008885401926
182,42.65043832300146
183,37.71375190992982
184,33.493588944558745
185,39.76046792383491
186,38.11584349837509
187,149.18266925948097
188,109.14674249523732
189,108.865255358508
190,127.97915168879327
191,129.71238504671692
192,106.52730601158335
193,75.77653700376051
194,55.1579411607119
195,51.148840406950136
196,64.0271179598725
197,71.54111928910095
198,46.92629470899669
199,86.95039245085735
200,85.75335319032067
201,91.00158277097657
202,90.25772731122684
203,84.80595495243489
204,102.40770606479376
205,82.23214722824527
206,104.68224297819614
207,94.01847448706229
208,93.80233835386801
209,92.43220570055207
210,86.30845998362942
211,95.2934597774418
212,73.75096420853768
213,95.55121621562104
214,52.04587170874794
215,52.40428182467009
216,51.71384522499017
217,47.0721815157346
218,70.1590463490602
219,48.12596726547917
220,70.97943801486538
221,11.256731115713466
222,45.49614288206953
223,38.66457178966993
224,16.88618029764552
225,21.331168122114907
226,35.761737707511834
227,95.24765034441435
228,67.43651063059856
229,95.65379420967062
230,77.81598555493623
231,77.81598555493623
232,89.39952802921432
233,78.54351384449872
234,35.58713023512805
235,39.76046792383491
236,26.04230922366078
237,97.79340562168143
238,93.80233835386801
239,91.26108706070643
240,93.80233835386801
241,92.43220570055207
242,95.2934597774418
243,95.55121621562104
244,94.6692372182695
245,137.0951387693866
246,115.04716049032056
247,112.49471057258445
248,76.84369939617658
249,85.66977587380946
250,89.69678023951909
251,90.32278432112786
252,93.829499511425
253,84.80595495243489
254,107.31773049159862
255,97.48747440156599
256,102.40770606479376
257,104.68224297819614
258,145.2864812277724
259,143.87760029979148
260,126.27219472318184
261,125.86933911056458
262,122.77472163689583
263,146.28483212705854
264,145.68355964536354
265,55.487816434203985
266,49.95119449073398
267,49.61239725887598
268,49.61239725887598
269,54.69378149947891
270,31.97663580147683
271,21.405804261874575
272,22.018747679943466
273,30.524211132344842
274,29.91673398868865
275,31.199960557300187
276,135.78757090662378
277,148.8624529168708
278,36.21824390925801
279,36.21824390925801
280,36.21824390925801
281,36.05869306459485
282,37.82333478537603
283,42.8883444409277
284,76.1195013823201
285,51.32260506520584
286,55.1579411607119
287,47.09658763248041
288,63.8856894260414
289,51.148840406950136
290,60.021629553933
291,72.26439779754718
292,106.52730601158335
293,86.95978877717648
294,73.98131618086605
295,46.17101763286834
296,47.0721815157346
297,45.84353957991468
298,46.78301296710091
299,47.04456328472023
300,65.97513675503589
301,86.95039245085735
302,86.95039245085735
303,85.75335319032067
304,97.23738859486181
305,92.29633035458242
306,82.93225191627872
307,95.89186406541396
308,110.2669238032832
309,124.73904396260195
310,105.92613141462334
311,108.4046591960095
312,101.03677287859625
313,98.59993764531397
314,37.6473598738468
315,35.70775665703366
316,80.63724792380357
317,71.80966047437968
318,49.177530630439236
319,95.45326192856113
320,41.58645993942089
321,40.66826141927131
322,90.3344948846532
323,108.865255358508
