from;to;distance;time
0;0;0.0;0.0
0;1001;23.7;36.078833333333336
0;1015;92.66;111.67466666666665
0;1016;60.65;75.7445
0;1020;57.6;77.81033333333333
0;1030;35.53;48.8455
0;1031;55.9;70.4485
0;1034;87.5;102.39466666666667
0;1035;60.88;71.0125
0;1041;56.59;72.804
0;1045;71.24;97.80333333333333
0;1050;130.54;155.54433333333333
0;1053;149.97;170.27033333333333
0;1056;151.03;173.989
0;1061;129.73;141.696
0;1062;137.77;151.76666666666668
0;1063;151.27;172.5755
0;1064;73.86;91.48583333333333
0;1065;172.83;196.697
0;1067;73.16;86.94166666666666
0;1068;68.15;78.20666666666666
0;1070;105.12;131.4265
0;1074;25.99;39.771166666666666
0;1076;63.9;79.18066666666667
0;1082;72.65;87.86999999999999
0;1084;107.67;121.65566666666668
0;1088;79.16;97.28116666666666
0;1089;80.44;99.12683333333332
0;1091;25.13;38.01466666666667
0;1102;86.2;105.8305
0;1115;108.45;121.20683333333334
0;1123;47.18;58.754
0;1126;60.16;76.3535
0;1133;23.08;32.344833333333334
0;1151;34.83;54.814499999999995
0;1164;60.06;75.36383333333333
0;1165;133.37;143.31633333333332
0;1174;23.2;34.289
0;1176;55.81;69.90066666666667
0;1177;35.31;48.705333333333336
0;1179;144.43;164.942
0;1186;56.74;87.42666666666668
0;1187;85.58;110.381
0;1190;54.07;69.84616666666668
0;1193;193.18;206.413
0;1204;171.94;196.4505
0;1210;45.1;60.1945
0;1213;16.73;34.99066666666667
0;1236;49.03;68.59200000000001
0;1255;100.17;116.37833333333333
0;1313;124.28;140.6405
0;1350;49.42;71.61733333333333
0;1371;43.1;57.714166666666664
0;1372;133.36;154.48549999999997
1001;0;23.7;36.078833333333336
1001;1001;0.0;0.0
1001;1015;109.87;132.00133333333332
1001;1016;77.86;96.07116666666667
1001;1020;85.13;105.06766666666667
1001;1030;14.97;19.458333333333332
1001;1031;35.34;41.06133333333333
1001;1034;66.93;73.0075
1001;1035;40.32;41.62533333333333
1001;1041;76.17;91.55850000000001
1001;1045;84.88;110.79016666666666
1001;1050;116.5;136.66
1001;1053;167.18;190.597
1001;1056;168.24;194.31583333333336
1001;1061;146.94;162.02283333333335
1001;1062;154.98;172.09333333333333
1001;1063;168.48;192.90216666666666
1001;1064;101.39;118.74333333333334
1001;1065;190.05;217.02366666666666
1001;1067;90.37;107.26849999999999
1001;1068;85.37;98.53333333333333
1001;1070;98.2;114.91733333333333
1001;1074;15.28;25.745166666666666
1001;1076;83.48;97.93516666666666
1001;1082;100.18;115.1275
1001;1084;127.25;140.41016666666667
1001;1088;58.6;67.89399999999999
1001;1089;59.88;69.73966666666666
1001;1091;9.16;16.046333333333333
1001;1102;99.84;118.81733333333334
1001;1115;135.98;148.46416666666667
1001;1123;74.71;86.01133333333334
1001;1126;79.75;95.10799999999999
1001;1133;40.3;52.67166666666667
1001;1151;48.47;67.80133333333333
1001;1164;22.54;35.95683333333333
1001;1165;152.96;162.07083333333333
1001;1174;50.74;61.5465
1001;1176;35.25;40.513333333333335
1001;1177;14.75;19.318166666666666
1001;1179;161.64;185.26883333333333
1001;1186;70.38;100.41350000000001
1001;1187;99.22;123.368
1001;1190;81.6;97.10366666666667
1001;1193;210.4;226.73966666666666
1001;1204;189.16;216.77716666666666
1001;1210;24.54;30.807333333333336
1001;1213;35.37;59.81716666666667
1001;1236;28.47;39.20466666666667
1001;1255;79.61;86.99116666666667
1001;1313;141.5;160.96716666666669
1001;1350;27.71;41.908500000000004
1001;1371;60.31;78.04083333333332
1001;1372;150.57;174.81233333333333
1015;0;92.66;111.67466666666665
1015;1001;109.87;132.00133333333332
1015;1015;0.0;0.0
1015;1016;40.88;49.977
1015;1020;87.04;102.339
1015;1030;122.94;141.34683333333334
1015;1031;143.31;162.94966666666667
1015;1034;174.91;194.89583333333334
1015;1035;148.29;163.51366666666667
1015;1041;115.0;126.64899999999999
1015;1045;154.82;184.02483333333333
1015;1050;126.95;176.08233333333334
