from;to;distance;time
0;0;0.0;0.0
0;1016;60.65;75.7445
0;1031;55.9;70.4485
0;1034;87.5;102.39466666666667
0;1035;60.88;71.0125
0;1041;56.59;72.804
0;1045;71.24;97.80333333333333
0;1053;149.97;170.27033333333333
0;1056;151.03;173.989
0;1061;129.73;141.696
0;1062;137.77;151.76666666666668
0;1063;151.27;172.5755
0;1065;172.83;196.697
0;1067;73.16;86.94166666666666
0;1068;68.15;78.20666666666666
0;1070;105.12;131.4265
0;1076;63.9;79.18066666666667
0;1082;72.65;87.86999999999999
0;1084;107.67;121.65566666666668
0;1088;79.16;97.28116666666666
0;1089;80.44;99.12683333333332
0;1091;25.13;38.01466666666667
0;1102;86.2;105.8305
0;1115;108.45;121.20683333333334
0;1123;47.18;58.754
0;1126;60.16;76.3535
0;1133;23.08;32.344833333333334
0;1151;34.83;54.814499999999995
0;1176;55.81;69.90066666666667
0;1177;35.31;48.705333333333336
0;1179;144.43;164.942
0;1186;56.74;87.42666666666668
0;1187;85.58;110.381
0;1204;171.94;196.4505
0;1213;16.73;34.99066666666667
0;1231;79.75;107.37333333333332
0;1236;49.03;68.59200000000001
0;1255;100.17;116.37833333333333
0;1273;16.51;34.6635
0;1313;124.28;140.6405
0;1315;49.63;72.39750000000001
0;1350;49.42;71.61733333333333
0;1371;43.1;57.714166666666664
0;1372;133.36;154.48549999999997
1016;0;60.65;75.7445
1016;1016;0.0;0.0
1016;1031;105.23;122.8005
1016;1034;136.83;154.74666666666664
1016;1035;110.21;123.36433333333333
1016;1041;76.92;86.49983333333333
1016;1045;116.74;143.8756666666667
1016;1053;99.78;112.02483333333333
1016;1056;92.92;107.086
1016;1061;71.62;74.79299999999999
1016;1062;79.66;84.8635
1016;1063;93.16;105.67233333333334
1016;1065;114.72;129.79383333333334
1016;1067;100.9;119.85733333333333
1016;1068;95.89;111.12216666666667
1016;1070;132.85;164.34216666666669
1016;1076;84.23;92.87650000000001
1016;1082;84.04;94.542
1016;1084;127.99;135.35150000000002
1016;1088;128.49;149.63316666666665
1016;1089;129.77;151.4788333333333
1016;1091;64.83;82.27
1016;1102;151.14;167.76450000000003
1016;1115;56.09;67.75166666666667
1016;1123;58.57;65.426
1016;1126;80.49;90.04950000000001
1016;1133;41.56;54.891333333333336
1016;1151;78.79;89.0785
1016;1176;105.14;122.2525
1016;1177;84.64;101.05733333333333
1016;1179;86.32;98.039
1016;1186;112.44;136.5438333333333
1016;1187;125.04;154.793
1016;1204;113.83;129.54733333333334
1016;1213;67.28;80.19883333333334
1016;1231;138.68;158.449
1016;1236;98.36;120.94383333333333
1016;1255;149.5;168.73033333333333
1016;1273;63.82;74.4575
1016;1313;66.17;73.7375
1016;1315;114.56;134.33133333333333
1016;1350;114.35;133.55133333333333
1016;1371;70.83;90.62983333333334
1016;1372;75.25;87.5825
1031;0;55.9;70.4485
1031;1016;105.23;122.8005
1031;1031;0.0;0.0
1031;1034;43.22;63.729166666666664
1031;1035;16.32;31.581
1031;1041;108.47;130.01233333333332
1031;1045;117.17;149.24416666666667
