;ID_Empfänger;Frequenz;Nachfrage
0;1001;1;185
15;1016;2;6976
19;1020;1;1238
29;1030;1;1627
30;1031;2;1537
33;1034;2;1821
34;1035;2;2304
37;1038;1;198
40;1041;1;1657
44;1045;2;2394
49;1050;1;782
52;1053;1;1175
55;1056;1;929
60;1061;2;1178
61;1062;3;790
62;1063;2;748
63;1064;1;2620
64;1065;2;2571
66;1067;2;1302
67;1068;2;4347
69;1070;1;2232
73;1074;1;712
75;1076;1;1115
81;1082;1;6516
83;1084;2;1132
87;1088;1;762
88;1089;2;1379
90;1091;2;1060
101;1102;1;3918
114;1115;3;1945
121;1122;1;319
122;1123;2;1684
125;1126;1;2181
132;1133;1;2770
150;1151;1;1454
163;1164;1;120
164;1165;1;6174
173;1174;1;784
175;1176;2;1907
176;1177;1;571
178;1179;2;1687
185;1186;1;530
186;1187;2;1909
189;1190;1;1287
203;1204;2;3630
207;1208;1;4222
209;1210;1;520
212;1213;2;1267
235;1236;2;2512
254;1255;1;626
312;1313;1;3732
349;1350;1;2259
370;1371;1;1119
371;1372;1;802
