;ID_Empfänger;Frequenz;Nachfrage
0;997;2;3069
1;1291;2;1762
2;1321;2;4853
3;706;2;1175
5;1063;2;1490
6;1245;3;2750
8;1120;1;1606
10;1222;3;821
12;1297;3;2198
13;1300;2;726
15;1169;1;2258
16;1142;2;406
17;1173;2;699
18;1064;1;371
19;1272;1;1631
20;1315;2;2001
21;1184;1;435
22;1024;2;697
26;1337;4;6720
27;1389;2;1071
28;1329;3;1152
29;1269;4;2983
33;1281;5;4879
34;1282;2;1288
35;1067;1;2995
36;1026;2;1645
37;1252;2;508
38;1284;5;7816
39;1285;2;374
40;991;1;483
41;1226;3;1330
42;1080;2;842
44;914;1;330
45;1273;3;3282
47;1208;2;810
48;1334;5;8420
50;1106;4;4014
51;1200;3;837
54;1052;2;1035
58;1147;1;1324
59;1223;3;1781
61;919;2;726
63;1298;2;484
64;1212;2;404
65;1213;1;253
66;1299;2;424
68;902;2;922
70;1004;2;4012
72;1322;2;1261
73;1326;2;1324
77;1307;4;1799
81;1170;2;1019
82;1046;1;328
83;1191;2;1138
84;904;1;404
87;1325;2;1052
89;1042;2;953
90;1043;1;199
94;1175;1;314
96;859;1;280
99;1073;1;556
101;1015;1;419
102;994;1;1151
103;1264;3;977
105;1265;1;753
106;971;2;1491
107;1397;4;2231
108;875;2;2528
110;1274;3;995
111;1186;2;2063
112;1277;1;315
114;1035;2;1270
115;1331;2;2447
116;1101;2;1466
119;1116;3;204
120;1117;1;338
121;1310;2;1884
122;1256;3;1406
124;1154;2;5084
127;992;1;281
129;1341;2;3172
130;1018;1;2662
132;1333;1;2100
138;1255;3;1763
139;1145;2;726
141;1137;3;475
142;1267;1;340
145;1308;4;963
147;1266;2;765
148;1305;2;1805
149;1304;2;1675
150;1235;2;1678
151;1288;3;1842
152;1293;4;1804
153;1317;2;2800
154;1332;2;412
156;1130;2;412
157;676;1;224
158;1294;2;363
163;1328;2;1756
168;1290;2;256
169;1292;3;1015
172;1250;3;948
175;961;1;919
176;1335;1;956
178;889;1;486
180;1262;1;394
181;1153;1;826
182;1076;2;468
183;1263;2;4383
184;1174;2;496
187;1257;2;1536
189;1197;2;465
192;979;1;3292
194;1316;2;1577
195;1088;2;780
198;954;1;1654
202;1168;1;2148
207;1202;1;621
209;1236;2;308
216;1233;2;315
217;863;1;501
218;1021;2;331
224;1254;1;517
225;996;2;559
226;1006;2;925
227;1187;1;1242
228;1251;1;551
230;1146;1;263
233;1163;1;252
234;1318;2;648
235;1279;2;2619
240;1136;2;854
243;1241;1;388
245;1339;1;2565
249;1002;1;631
250;1314;1;1583
258;1239;1;2575
262;1243;2;1982
263;1244;1;381
266;1278;2;896
267;1110;2;2252
271;1081;1;617
279;1232;1;615
294;1214;2;533
300;1287;3;1904
306;1083;2;1081
309;1085;1;415
310;978;2;496
313;1311;2;964
322;1089;1;1002
324;1019;3;1548
343;1001;1;812
345;1248;1;728
348;1303;2;730
357;777;1;676
380;1289;1;694
396;1249;1;2181
397;958;1;818
402;1036;2;1988
403;1139;1;880
414;1125;2;391
415;885;1;402
436;1260;1;1212
449;1017;1;843
527;1229;1;1229
543;795;1;359
544;959;1;514
546;1201;1;400
567;1138;1;449
600;1301;1;454
703;1149;2;2614
803;882;2;1147
