;Recipient_ID;Frequency;Demand;Cluster
0;997;2;3069;4
3;706;2;1175;4
6;1245;3;2750;2
10;1222;3;821;3
12;1297;3;2198;2
17;1173;2;699;3
26;1337;4;6720;1
27;1389;2;1071;1
28;1329;3;1152;4
29;1269;4;2983;1
33;1281;5;4879;0
38;1284;5;7816;0
39;1285;2;374;0
41;1226;3;1330;4
42;1080;2;842;4
45;1273;3;3282;3
48;1334;5;8420;0
50;1106;4;4014;4
51;1200;3;837;4
59;1223;3;1781;4
66;1299;2;424;2
73;1326;2;1324;3
77;1307;4;1799;4
83;1191;2;1138;3
89;1042;2;953;2
103;1264;3;977;1
107;1397;4;2231;0
110;1274;3;995;0
115;1331;2;2447;0
119;1116;3;204;3
121;1310;2;1884;2
138;1255;3;1763;4
141;1137;3;475;1
145;1308;4;963;4
147;1266;2;765;1
149;1304;2;1675;3
150;1235;2;1678;2
151;1288;3;1842;2
152;1293;4;1804;2
153;1317;2;2800;2
163;1328;2;1756;4
169;1292;3;1015;2
172;1250;3;948;0
183;1263;2;4383;4
194;1316;2;1577;2
209;1236;2;308;2
216;1233;2;315;2
234;1318;2;648;0
267;1110;2;2252;0
300;1287;3;1904;1
324;1019;3;1548;3
703;1149;2;2614;4
