Recipient_ID;Frequency;Demand;Cluster;Pattern;Pattern_clear
997;2;3069;4;0;[1, 0, 1, 0, 0]
706;2;1175;4;0;[1, 0, 1, 0, 0]
1245;3;2750;2;1;[1, 0, 1, 0, 1]
1222;3;821;3;0;[0, 1, 0, 1, 1]
1297;3;2198;2;1;[1, 0, 1, 0, 1]
1173;2;699;3;3;[1, 0, 0, 1, 0]
1337;4;6720;1;2;[1, 1, 0, 1, 1]
1389;2;1071;1;2;[0, 0, 1, 0, 1]
1329;3;1152;4;3;[0, 1, 1, 0, 1]
1269;4;2983;1;2;[1, 1, 0, 1, 1]
1281;5;4879;0;0;[1, 1, 1, 1, 1]
1284;5;7816;0;0;[1, 1, 1, 1, 1]
1285;2;374;0;0;[1, 0, 1, 0, 0]
1226;3;1330;4;3;[0, 1, 1, 0, 1]
1080;2;842;4;0;[1, 0, 1, 0, 0]
1273;3;3282;3;0;[0, 1, 0, 1, 1]
1334;5;8420;0;0;[1, 1, 1, 1, 1]
1106;4;4014;4;0;[0, 1, 1, 1, 1]
1200;3;837;4;3;[0, 1, 1, 0, 1]
1223;3;1781;4;3;[0, 1, 1, 0, 1]
1299;2;424;2;1;[0, 1, 0, 1, 0]
1326;2;1324;3;3;[1, 0, 0, 1, 0]
1307;4;1799;4;0;[0, 1, 1, 1, 1]
1191;2;1138;3;3;[1, 0, 0, 1, 0]
1042;2;953;2;1;[0, 1, 0, 1, 0]
1264;3;977;1;0;[0, 1, 0, 1, 1]
1397;4;2231;0;2;[1, 1, 0, 1, 1]
1274;3;995;0;4;[1, 0, 1, 1, 0]
1331;2;2447;0;0;[1, 0, 1, 0, 0]
1116;3;204;3;0;[0, 1, 0, 1, 1]
1310;2;1884;2;1;[0, 1, 0, 1, 0]
1255;3;1763;4;3;[0, 1, 1, 0, 1]
1137;3;475;1;0;[0, 1, 0, 1, 1]
1308;4;963;4;0;[0, 1, 1, 1, 1]
1266;2;765;1;2;[0, 0, 1, 0, 1]
1304;2;1675;3;3;[1, 0, 0, 1, 0]
1235;2;1678;2;1;[0, 1, 0, 1, 0]
1288;3;1842;2;1;[1, 0, 1, 0, 1]
1293;4;1804;2;0;[0, 1, 1, 1, 1]
1317;2;2800;2;1;[0, 1, 0, 1, 0]
1328;2;1756;4;0;[1, 0, 1, 0, 0]
1292;3;1015;2;1;[1, 0, 1, 0, 1]
1250;3;948;0;4;[1, 0, 1, 1, 0]
1263;2;4383;4;0;[1, 0, 1, 0, 0]
1316;2;1577;2;1;[0, 1, 0, 1, 0]
1236;2;308;2;1;[0, 1, 0, 1, 0]
1233;2;315;2;1;[0, 1, 0, 1, 0]
1318;2;648;0;0;[1, 0, 1, 0, 0]
1110;2;2252;0;0;[1, 0, 1, 0, 0]
1287;3;1904;1;0;[0, 1, 0, 1, 1]
1019;3;1548;3;0;[0, 1, 0, 1, 1]
1149;2;2614;4;0;[1, 0, 1, 0, 0]
