;Recipient_ID;avg_Weight;AVG_Frequency;std_Weight;STD_Frequency;Variability_Weight;Variability_Frequency;Freight_Cost;Shipments;Weight
0;997;6137.784117647058;2.0;4327.645461797732;0.8944271909999159;0.705082710445142;0.4472135954999579;11334.29;102;313026.99
3;706;2810.853494545351;2.392156862745098;2666.6372997601034;1.342809463364762;0.948693094440849;0.561338382226253;10236.36;122;143353.5282218129
6;1245;7602.611376898292;2.764705882352941;7914.907202444509;0.9713544212926124;1.0410774416926236;0.3513409608930726;10614.37;141;387733.1802218129
10;1222;2544.680747272676;3.0980392156862746;1634.1995064568944;0.9220607780571585;0.6422021733800548;0.2976272131703486;9326.0;158;129778.71811090647
12;1297;7155.667078431373;3.2549019607843137;4974.841147467874;1.1805615147869586;0.6952309397488672;0.3627026340610535;12780.19;166;364939.021
17;1173;1465.6706514080968;2.0980392156862746;1882.9144636587748;1.3893149673243186;1.2846777424722424;0.6621968535844883;5010.0199999999995;107;74749.20322181293
26;1337;28064.106531586396;4.176470588235294;11359.152794504636;0.841567165541555;0.40475732878649856;0.20150199738318922;35201.49;213;1431269.4331109065
27;1389;2646.8100021746363;2.4705882352941178;2244.516212866231;1.3468918468306292;0.8480080591436944;0.5451705094314452;11018.61;126;134987.31011090646
28;1329;3500.2588257040484;3.0392156862745097;2480.584877972073;1.3410560661467588;0.708686129081647;0.44125070563538515;13336.09;155;178513.20011090647
29;1269;11345.837901960782;3.803921568627451;6624.820104781793;1.058671012980657;0.5838987091148988;0.27831042093821395;23115.22;194;578637.733
33;1281;22770.557843137252;4.666666666666667;13167.264596507803;1.570562531918633;0.5782583231915086;0.33654911398256415;27690.11;238;1161298.45
38;1284;39234.2896688413;5.019607843137255;17520.107656455766;1.4211290733558493;0.44655090749278203;0.2831155575826106;42279.729999999996;256;2000948.7731109064
39;1285;784.9033965061358;2.0980392156862746;883.6147354725609;1.153341267115407;1.125762405164536;0.5497234076905211;7218.5;107;40030.07322181293
41;1226;3624.4819607843133;2.7254901960784315;3910.8185753688904;1.0407388024389024;1.0790007007022366;0.38185380521139584;11974.26;139;184848.58
42;1080;1749.9098823529412;2.0784313725490198;2055.8796617197963;1.0167229171195458;1.1748488779064703;0.4891780072933663;8303.91;106;89245.404
45;1273;11004.457376898292;3.3529411764705883;6835.324656387799;0.9343132111185136;0.6211414540745306;0.2786548173511356;13022.17;171;561227.326221813
48;1334;42264.42850980392;5.019607843137255;20756.97205448029;1.3340194313192197;0.4911215598163211;0.2657616835831258;40163.79;256;2155485.854
50;1106;15739.707882352943;3.9215686274509802;10404.290084685772;1.2303355193588774;0.6610218031016231;0.31373555743651377;25452.2;200;802725.102
51;1200;2446.2470893045556;2.9215686274509802;1871.854111341904;1.0925774527218097;0.7651942109715719;0.373969463683304;11559.92;149;124758.60155453233
59;1223;4994.390786488362;2.803921568627451;4138.37936667145;1.1492538073574046;0.828605438298354;0.40987373549110234;13403.68;143;254713.93011090645
66;1299;1014.974420463252;2.392156862745098;948.9297566071305;1.0597817015319526;0.9349297257895646;0.44302349818139003;5968.26;122;51763.69544362586
73;1326;2804.1489019607848;2.1176470588235294;2359.912522159449;1.0128585058838064;0.8415788906606543;0.47829429444513083;6347.43;108;143011.594
