;ID_Empf�nger;Frequency;Demand
0;997;2;3069
3;706;2;1175
6;1245;3;2750
10;1222;3;821
12;1297;3;2198
17;1173;2;699
26;1337;4;6720
27;1389;2;1071
28;1329;3;1152
29;1269;4;2983
33;1281;5;4879
38;1284;5;7816
39;1285;2;374
41;1226;3;1330
42;1080;2;842
45;1273;3;3282
48;1334;5;8420
50;1106;4;4014
51;1200;3;837
59;1223;3;1781
66;1299;2;424
73;1326;2;1324
77;1307;4;1799
83;1191;2;1138
89;1042;2;953
103;1264;3;977
107;1397;4;2231
110;1274;3;995
115;1331;2;2447
119;1116;3;204
121;1310;2;1884
138;1255;3;1763
141;1137;3;475
145;1308;4;963
147;1266;2;765
149;1304;2;1675
150;1235;2;1678
151;1288;3;1842
152;1293;4;1804
153;1317;2;2800
163;1328;2;1756
169;1292;3;1015
172;1250;3;948
183;1263;2;4383
194;1316;2;1577
209;1236;2;308
216;1233;2;315
234;1318;2;648
267;1110;2;2252
300;1287;3;1904
324;1019;3;1548
703;1149;2;2614
