;ID_Empf�nger;Frequency;Demand
0;0;2;3069
3;3;2;1175
10;10;3;821
12;12;3;2198
26;26;4;6720
27;27;2;1071
28;28;3;1152
29;29;4;2983
33;33;5;4879
34;34;2;1288
37;37;2;508
38;38;5;7816
45;45;3;3282
48;48;5;8420
50;50;4;4014
51;51;3;837
59;59;3;1781
66;66;2;424
68;68;2;922
73;73;2;1324
77;77;4;1799
83;83;2;1138
87;87;2;1052
89;89;2;953
101;101;1;419
103;103;3;977
107;107;4;2231
110;110;3;995
111;111;2;2063
116;116;2;1466
119;119;3;204
130;130;1;2662
138;138;3;1763
139;139;2;726
141;141;3;475
149;149;2;1675
150;150;2;1678
152;152;4;1804
153;153;2;2800
163;163;2;1756
169;169;3;1015
172;172;3;948
183;183;2;4383
184;184;2;496
189;189;2;465
194;194;2;1577
195;195;2;780
202;202;1;2148
216;216;2;315
234;234;2;648
269;269;1;6018
300;300;3;1904
306;306;2;1081
309;309;1;415
310;310;2;496
324;324;3;1548
337;337;1;585
703;703;2;2614
