;ID_Empfänger;Frequenz;Nachfrage;Pattern;Pattern_clear
0;997;2;3069;0;[1, 0, 1, 0, 0]
1;706;2;1175;0;[1, 0, 1, 0, 0]
2;1245;3;2750;0;[0, 1, 0, 1, 1]
3;1120;1;1606;0;[1, 0, 0, 0, 0]
4;1222;3;821;0;[0, 1, 0, 1, 1]
5;1297;3;2198;0;[0, 1, 0, 1, 1]
6;1300;2;726;0;[1, 0, 1, 0, 0]
7;1142;2;406;0;[1, 0, 1, 0, 0]
8;1024;2;697;0;[1, 0, 1, 0, 0]
9;1337;4;6720;0;[0, 1, 1, 1, 1]
10;1389;2;1071;0;[1, 0, 1, 0, 0]
11;1329;3;1152;0;[0, 1, 0, 1, 1]
12;1269;4;2983;0;[0, 1, 1, 1, 1]
13;1281;5;4879;0;[1, 1, 1, 1, 1]
14;1282;2;1288;0;[1, 0, 1, 0, 0]
15;1252;2;508;0;[1, 0, 1, 0, 0]
16;1284;5;7816;0;[1, 1, 1, 1, 1]
17;1226;3;1330;0;[0, 1, 0, 1, 1]
18;1273;3;3282;0;[0, 1, 0, 1, 1]
19;1208;2;810;0;[1, 0, 1, 0, 0]
20;1334;5;8420;0;[1, 1, 1, 1, 1]
21;1106;4;4014;0;[0, 1, 1, 1, 1]
22;1200;3;837;0;[0, 1, 0, 1, 1]
23;1223;3;1781;0;[0, 1, 0, 1, 1]
24;1299;2;424;0;[1, 0, 1, 0, 0]
25;902;2;922;0;[1, 0, 1, 0, 0]
26;1004;2;4012;0;[1, 0, 1, 0, 0]
27;1326;2;1324;0;[1, 0, 1, 0, 0]
28;1307;4;1799;0;[0, 1, 1, 1, 1]
29;1191;2;1138;0;[1, 0, 1, 0, 0]
30;1325;2;1052;0;[1, 0, 1, 0, 0]
31;1042;2;953;0;[1, 0, 1, 0, 0]
32;1015;1;419;0;[1, 0, 0, 0, 0]
33;1264;3;977;0;[0, 1, 0, 1, 1]
34;971;2;1491;0;[1, 0, 1, 0, 0]
35;1397;4;2231;0;[0, 1, 1, 1, 1]
36;1274;3;995;0;[0, 1, 0, 1, 1]
37;1186;2;2063;0;[1, 0, 1, 0, 0]
38;1331;2;2447;0;[1, 0, 1, 0, 0]
39;1101;2;1466;0;[1, 0, 1, 0, 0]
40;1116;3;204;0;[0, 1, 0, 1, 1]
41;1310;2;1884;0;[1, 0, 1, 0, 0]
42;1018;1;2662;0;[1, 0, 0, 0, 0]
43;1255;3;1763;0;[0, 1, 0, 1, 1]
44;1145;2;726;0;[1, 0, 1, 0, 0]
45;1137;3;475;0;[0, 1, 0, 1, 1]
46;1304;2;1675;0;[1, 0, 1, 0, 0]
47;1235;2;1678;0;[1, 0, 1, 0, 0]
48;1288;3;1842;0;[0, 1, 0, 1, 1]
49;1293;4;1804;0;[0, 1, 1, 1, 1]
50;1317;2;2800;0;[1, 0, 1, 0, 0]
51;1130;2;412;0;[1, 0, 1, 0, 0]
52;1328;2;1756;0;[1, 0, 1, 0, 0]
53;1292;3;1015;0;[0, 1, 0, 1, 1]
54;1250;3;948;0;[0, 1, 0, 1, 1]
55;1263;2;4383;0;[1, 0, 1, 0, 0]
56;1174;2;496;0;[1, 0, 1, 0, 0]
57;1197;2;465;0;[1, 0, 1, 0, 0]
58;1316;2;1577;0;[1, 0, 1, 0, 0]
59;1088;2;780;0;[1, 0, 1, 0, 0]
60;954;1;1654;0;[1, 0, 0, 0, 0]
61;1168;1;2148;0;[1, 0, 0, 0, 0]
62;1233;2;315;0;[1, 0, 1, 0, 0]
63;1021;2;331;0;[1, 0, 1, 0, 0]
64;1006;2;925;0;[1, 0, 1, 0, 0]
65;1318;2;648;0;[1, 0, 1, 0, 0]
66;1339;1;2565;0;[1, 0, 0, 0, 0]
67;1239;1;2575;0;[1, 0, 0, 0, 0]
68;1278;2;896;0;[1, 0, 1, 0, 0]
69;1178;1;6018;0;[1, 0, 0, 0, 0]
70;1221;1;327;0;[1, 0, 0, 0, 0]
71;1287;3;1904;0;[0, 1, 0, 1, 1]
72;1083;2;1081;0;[1, 0, 1, 0, 0]
73;1085;1;415;4;[0, 0, 0, 0, 1]
74;978;2;496;4;[0, 1, 0, 0, 1]
75;1019;3;1548;0;[0, 1, 0, 1, 1]
76;1209;1;585;4;[0, 0, 0, 0, 1]
77;1289;1;694;4;[0, 0, 0, 0, 1]
78;1036;2;1988;4;[0, 1, 0, 0, 1]
79;1125;2;391;4;[0, 1, 0, 0, 1]
80;1149;2;2614;4;[0, 1, 0, 0, 1]
