;ID_Empfänger;Frequenz;Nachfrage;Pattern;Pattern_clear
0;1016;2;6976;2;[0, 0, 1, 0, 1]
1;1031;2;1537;1;[0, 1, 0, 1, 0]
2;1034;2;1821;2;[0, 0, 1, 0, 1]
3;1035;2;2304;2;[0, 0, 1, 0, 1]
4;1041;1;1657;3;[0, 0, 0, 1, 0]
5;1045;2;2394;3;[1, 0, 0, 1, 0]
6;1053;1;1175;0;[1, 0, 0, 0, 0]
7;1056;1;929;4;[0, 0, 0, 0, 1]
8;1061;2;1178;0;[1, 0, 1, 0, 0]
9;1062;3;790;0;[0, 1, 0, 1, 1]
10;1063;2;748;2;[0, 0, 1, 0, 1]
11;1065;2;2571;3;[1, 0, 0, 1, 0]
12;1067;2;1302;1;[0, 1, 0, 1, 0]
13;1068;2;4347;1;[0, 1, 0, 1, 0]
14;1070;1;2232;4;[0, 0, 0, 0, 1]
15;1076;1;1115;2;[0, 0, 1, 0, 0]
16;1082;1;6516;4;[0, 0, 0, 0, 1]
17;1084;2;1132;4;[0, 1, 0, 0, 1]
18;1088;1;762;3;[0, 0, 0, 1, 0]
19;1089;2;1379;4;[0, 1, 0, 0, 1]
20;1091;2;1060;1;[0, 1, 0, 1, 0]
21;1102;1;3918;2;[0, 0, 1, 0, 0]
22;1115;3;1945;1;[1, 0, 1, 0, 1]
23;1122;1;319;3;[0, 0, 0, 1, 0]
24;1123;2;1684;3;[1, 0, 0, 1, 0]
25;1126;1;2181;3;[0, 0, 0, 1, 0]
26;1133;1;2770;0;[1, 0, 0, 0, 0]
27;1151;1;1454;0;[1, 0, 0, 0, 0]
28;1176;2;1907;0;[1, 0, 1, 0, 0]
29;1177;1;571;0;[1, 0, 0, 0, 0]
30;1179;2;1687;0;[1, 0, 1, 0, 0]
31;1186;1;530;0;[1, 0, 0, 0, 0]
32;1187;2;1909;0;[1, 0, 1, 0, 0]
33;1204;2;3630;1;[0, 1, 0, 1, 0]
34;1208;1;4222;1;[0, 1, 0, 0, 0]
35;1213;2;1267;0;[1, 0, 1, 0, 0]
36;1236;2;2512;1;[0, 1, 0, 1, 0]
37;1255;1;626;0;[1, 0, 0, 0, 0]
38;1313;1;3732;1;[0, 1, 0, 0, 0]
39;1350;1;2259;0;[1, 0, 0, 0, 0]
40;1371;1;1119;1;[0, 1, 0, 0, 0]
41;1372;1;802;0;[1, 0, 0, 0, 0]
