;ID_Empfänger;Frequenz;Nachfrage;Pattern;Pattern_clear
0;997;2;3069;4;[0, 1, 0, 0, 1]
1;1291;2;1762;4;[0, 1, 0, 0, 1]
2;1321;2;4853;4;[0, 1, 0, 0, 1]
3;706;2;1175;4;[0, 1, 0, 0, 1]
4;1063;2;1490;4;[0, 1, 0, 0, 1]
5;1245;3;2750;4;[1, 0, 1, 1, 0]
6;1120;1;1606;4;[0, 0, 0, 0, 1]
7;1222;3;821;4;[1, 0, 1, 1, 0]
8;1297;3;2198;4;[1, 0, 1, 1, 0]
9;1300;2;726;4;[0, 1, 0, 0, 1]
10;1169;1;2258;4;[0, 0, 0, 0, 1]
11;1142;2;406;4;[0, 1, 0, 0, 1]
12;1173;2;699;4;[0, 1, 0, 0, 1]
13;1064;1;371;4;[0, 0, 0, 0, 1]
14;1272;1;1631;4;[0, 0, 0, 0, 1]
15;1315;2;2001;4;[0, 1, 0, 0, 1]
16;1184;1;435;4;[0, 0, 0, 0, 1]
17;1024;2;697;4;[0, 1, 0, 0, 1]
18;1337;4;6720;4;[1, 1, 1, 1, 0]
19;1389;2;1071;4;[0, 1, 0, 0, 1]
20;1329;3;1152;4;[1, 0, 1, 1, 0]
21;1269;4;2983;4;[1, 1, 1, 1, 0]
22;1281;5;4879;0;[1, 1, 1, 1, 1]
23;1282;2;1288;4;[0, 1, 0, 0, 1]
24;1067;1;2995;4;[0, 0, 0, 0, 1]
25;1026;2;1645;4;[0, 1, 0, 0, 1]
26;1252;2;508;3;[1, 0, 0, 1, 0]
27;1284;5;7816;0;[1, 1, 1, 1, 1]
28;1285;2;374;0;[1, 0, 1, 0, 0]
29;991;1;483;4;[0, 0, 0, 0, 1]
30;1226;3;1330;4;[1, 0, 1, 1, 0]
31;1080;2;842;4;[0, 1, 0, 0, 1]
32;914;1;330;4;[0, 0, 0, 0, 1]
33;1273;3;3282;4;[1, 0, 1, 1, 0]
34;1208;2;810;4;[0, 1, 0, 0, 1]
35;1334;5;8420;0;[1, 1, 1, 1, 1]
36;1106;4;4014;4;[1, 1, 1, 1, 0]
