;ID_Empfänger;Frequenz;Nachfrage;Pattern;Pattern_clear
0;0;2;3069;4;[0, 1, 0, 0, 1]
1;3;2;1175;0;[1, 0, 1, 0, 0]
2;10;3;821;2;[1, 1, 0, 1, 0]
3;12;3;2198;0;[0, 1, 0, 1, 1]
4;26;4;6720;0;[0, 1, 1, 1, 1]
5;27;2;1071;0;[1, 0, 1, 0, 0]
6;28;3;1152;0;[0, 1, 0, 1, 1]
7;29;4;2983;0;[0, 1, 1, 1, 1]
8;33;5;4879;0;[1, 1, 1, 1, 1]
9;34;2;1288;2;[0, 0, 1, 0, 1]
10;37;2;508;0;[1, 0, 1, 0, 0]
11;38;5;7816;0;[1, 1, 1, 1, 1]
12;45;3;3282;0;[0, 1, 0, 1, 1]
13;48;5;8420;0;[1, 1, 1, 1, 1]
14;50;4;4014;0;[0, 1, 1, 1, 1]
15;51;3;837;0;[0, 1, 0, 1, 1]
16;59;3;1781;0;[0, 1, 0, 1, 1]
17;66;2;424;0;[1, 0, 1, 0, 0]
18;68;2;922;4;[0, 1, 0, 0, 1]
19;73;2;1324;3;[1, 0, 0, 1, 0]
20;77;4;1799;2;[1, 1, 0, 1, 1]
21;83;2;1138;4;[0, 1, 0, 0, 1]
22;87;2;1052;3;[1, 0, 0, 1, 0]
23;89;2;953;3;[1, 0, 0, 1, 0]
24;101;1;419;4;[0, 0, 0, 0, 1]
25;103;3;977;0;[0, 1, 0, 1, 1]
26;107;4;2231;2;[1, 1, 0, 1, 1]
27;110;3;995;0;[0, 1, 0, 1, 1]
28;111;2;2063;3;[1, 0, 0, 1, 0]
29;116;2;1466;0;[1, 0, 1, 0, 0]
30;119;3;204;0;[0, 1, 0, 1, 1]
31;130;1;2662;2;[0, 0, 1, 0, 0]
32;138;3;1763;0;[0, 1, 0, 1, 1]
33;139;2;726;0;[1, 0, 1, 0, 0]
34;141;3;475;0;[0, 1, 0, 1, 1]
35;149;2;1675;0;[1, 0, 1, 0, 0]
36;150;2;1678;0;[1, 0, 1, 0, 0]
37;152;4;1804;0;[0, 1, 1, 1, 1]
38;153;2;2800;0;[1, 0, 1, 0, 0]
39;163;2;1756;0;[1, 0, 1, 0, 0]
40;169;3;1015;0;[0, 1, 0, 1, 1]
41;172;3;948;0;[0, 1, 0, 1, 1]
42;183;2;4383;0;[1, 0, 1, 0, 0]
43;184;2;496;0;[1, 0, 1, 0, 0]
44;189;2;465;1;[0, 1, 0, 1, 0]
45;194;2;1577;0;[1, 0, 1, 0, 0]
46;195;2;780;0;[1, 0, 1, 0, 0]
47;202;1;2148;0;[1, 0, 0, 0, 0]
48;216;2;315;0;[1, 0, 1, 0, 0]
49;234;2;648;0;[1, 0, 1, 0, 0]
50;269;1;6018;0;[1, 0, 0, 0, 0]
51;300;3;1904;0;[0, 1, 0, 1, 1]
52;306;2;1081;0;[1, 0, 1, 0, 0]
53;309;1;415;1;[0, 1, 0, 0, 0]
54;310;2;496;0;[1, 0, 1, 0, 0]
55;324;3;1548;0;[0, 1, 0, 1, 1]
56;337;1;585;0;[1, 0, 0, 0, 0]
57;703;2;2614;0;[1, 0, 1, 0, 0]
