ID_Empfänger;ID_Sendung;Beladedatum;Gewicht;Frachtkosten;Straße_Absender;PLZ_Absender;Stadt_Absender;Straße_Empfänger;PLZ_Empfänger;Stadt_Empfänger;Haus_Empfänger;Kalenderwoche
997;0;2020-01-06;13538.0;203.79;Trinidadstraße 44;27356;Rotenburg (Wümme);AN DER BRÜCKE ;26180;RASTEDE;45 ;1
1291;1;2020-01-06;2619.28;102.45;Trinidadstraße 44;27356;Rotenburg (Wümme);AN DER KASERNE ;28790;SCHWANEWEDE;166 ;1
1321;2;2020-01-06;24574.79;160.43;Trinidadstraße 44;27356;Rotenburg (Wümme);AUF DEM HILGENLAND ;28857;SYKE;4 ;1
706;3;2020-01-06;2311.64;113.32;Trinidadstraße 44;27356;Rotenburg (Wümme);KÖNIGSTRASSE ;26676;BARSSEL;1 ;1
711;4;2020-01-06;90.0;57.17;Trinidadstraße 44;27356;Rotenburg (Wümme);KÖNIGSTRASSE ;26676;BARSSEL;2 ;1
1063;5;2020-01-06;5549.31;99.45;Trinidadstraße 44;27356;Rotenburg (Wümme);LÜBKEMANNSTRASSE ;28876;OYTEN;5 ;1
1245;6;2020-01-06;24573.27;160.43;Trinidadstraße 44;27356;Rotenburg (Wümme);INDUSTRIESTRASSE ;27211;BASSUM;13 ;1
362;7;2020-01-07;1419.03;73.42;Trinidadstraße 44;27356;Rotenburg (Wümme);LUKAS WELSER STRASSE ;28309;BREMEN;2 ;1
1120;8;2020-01-07;935.373;64.06;Trinidadstraße 44;27356;Rotenburg (Wümme);BAHNHOFSTRASSE ;28865;LILIENTHAL;20 ;1
1050;9;2020-01-07;91.412;43.26;Trinidadstraße 44;27356;Rotenburg (Wümme);HEMELINGER HAFENDAMM ;28309;BREMEN;28 ;1
1222;10;2020-01-07;345.713;53.43;Trinidadstraße 44;27356;Rotenburg (Wümme);EDISONSTRASSE ;28357;BREMEN;21 ;1
1176;11;2020-01-07;304.0;53.43;Trinidadstraße 44;27356;Rotenburg (Wümme);ZUR AUMUNDSWIESE ;28279;BREMEN;7;1
1297;12;2020-01-07;5616.11;114.99;Trinidadstraße 44;27356;Rotenburg (Wümme);ARSTERDAMM ;28277;BREMEN;110 ;1
1300;13;2020-01-07;362.115;46.21;Trinidadstraße 44;27356;Rotenburg (Wümme);BAHNHOF ;27383;SCHEESSEL;3 ;1
681;14;2020-01-07;360.0;46.21;Trinidadstraße 44;27356;Rotenburg (Wümme);AUF DEM ROHLSKAMP ;27356;ROTENBURG;5 ;1
1169;15;2020-01-07;2675.66;90.25;Trinidadstraße 44;27356;Rotenburg (Wümme);SOPHIE TIETJEN RING ;27729;HAMBERGEN;7 ;1
1142;16;2020-01-07;54.0;31.97;Trinidadstraße 44;27356;Rotenburg (Wümme);LÜBKEMANNSTRASSE ;28876;OYTEN;15 ;1
1173;17;2020-01-07;3100.0;82.16;Trinidadstraße 44;27356;Rotenburg (Wümme);BOSCHSTRASSE ;27367;SOTTRUM;10 ;1
1064;18;2020-01-07;671.024;51.35;Trinidadstraße 44;27356;Rotenburg (Wümme);BREMER STRASSE ;27367;SOTTRUM;24;1
1272;19;2020-01-07;263.297;51.86;Trinidadstraße 44;27356;Rotenburg (Wümme);BINNENFELD ;27711;OSTERHOLZ-SCHARMBECK;9 ;1
1315;20;2020-01-07;241.378;51.86;Trinidadstraße 44;27356;Rotenburg (Wümme);KAP HORN STRASSE ;28237;BREMEN;13 ;1
1184;21;2020-01-07;1319.5361109064645;16.98;Trinidadstraße 44;27356;Rotenburg (Wümme);AUF DEN SANDBREITEN ;28719;BREMEN;2 ;1
1024;22;2020-01-07;193.5;50.35;Trinidadstraße 44;27356;Rotenburg (Wümme);LADESTRASSE ;28197;BREMEN;23 ;1
814;23;2020-01-07;318.0;53.43;Trinidadstraße 44;27356;Rotenburg (Wümme);HEINRICH BÜSSING STRASSE ;28237;BREMEN;1 ;1
402;24;2020-01-07;735.0;61.5;Trinidadstraße 44;27356;Rotenburg (Wümme);GETREIDESTRASSE ;28217;BREMEN;3 ;1
1094;25;2020-01-07;972.188;64.06;Trinidadstraße 44;27356;Rotenburg (Wümme);SENATOR MESTER STRASSE ;28197;BREMEN;1 ;1
1337;26;2020-01-07;18082.99;259.05;Trinidadstraße 44;27356;Rotenburg (Wümme);WANKELSTRASSE ;26802;MOORMERLAND;5 ;1
1389;27;2020-01-07;64.0;50.76;Trinidadstraße 44;27356;Rotenburg (Wümme);WESTFALENSTRASSE ;26723;EMDEN;2 ;1
1329;28;2020-01-07;166.818;66.53;Trinidadstraße 44;27356;Rotenburg (Wümme);RUDOLF DIESEL STRASSE ;26670;UPLENGEN;10 ;1
1269;29;2020-01-07;308.0;73.36;Trinidadstraße 44;27356;Rotenburg (Wümme);TEUTONENSTRASSE ;26723;EMDEN;4 ;1
973;30;2020-01-07;54.0;31.97;Trinidadstraße 44;27356;Rotenburg (Wümme);SPECKMANNSTRASSE ;28879;GRASBERG;24 ;1
1220;31;2020-01-07;3329.36;82.16;Trinidadstraße 44;27356;Rotenburg (Wümme);HUXFELDER STRASSE ;28879;GRASBERG;8 ;1
227;32;2020-01-07;77.045;54.95;Trinidadstraße 44;27356;Rotenburg (Wümme);ZUM LANGENBERG ;49377;VECHTA;1;1
1281;33;2020-01-07;2973.0;114.65;Trinidadstraße 44;27356;Rotenburg (Wümme);ALTER FLUGPLATZ ;49377;VECHTA;2 ;1
1282;34;2020-01-07;2042.0;108.91;Trinidadstraße 44;27356;Rotenburg (Wümme);NORDKÄMPE ;49377;VECHTA;1A ;1
1067;35;2020-01-07;222.0;65.88;Trinidadstraße 44;27356;Rotenburg (Wümme);ALTER FLUGPLATZ ;49377;VECHTA;58 ;1
1026;36;2020-01-07;552.113;72.82;Trinidadstraße 44;27356;Rotenburg (Wümme);MITTELWAND ;49377;VECHTA;87 ;1
1252;37;2020-01-07;896.676;80.92;Trinidadstraße 44;27356;Rotenburg (Wümme);STUKENBORG ;49377;VECHTA;71 ;1
1284;38;2020-01-07;8963.35;181.61;Trinidadstraße 44;27356;Rotenburg (Wümme);HOLTHÖGE ;49632;ESSEN;10;1
1284;39;2020-01-07;2007.58;113.32;Trinidadstraße 44;27356;Rotenburg (Wümme);HOLTHÖGE ;49632;ESSEN;10;1
1285;40;2020-01-07;254.332;68.54;Trinidadstraße 44;27356;Rotenburg (Wümme);BUNNER STRASSE ;49632;ESSEN;4;1
991;41;2020-01-07;880.635;84.19;Trinidadstraße 44;27356;Rotenburg (Wümme);KUHLENWEG ;26904;BÖRGER;7 ;1
1226;42;2020-01-07;3784.19;132.16;Trinidadstraße 44;27356;Rotenburg (Wümme);ZEISIGWEG ;49624;LÖNINGEN;2 ;1
1080;43;2020-01-07;476.074;73.15;Trinidadstraße 44;27356;Rotenburg (Wümme);VON LIEBIG STRASSE ;49699;LINDERN (OLDENBURG);3 ;1
