MR_ID;Kalenderwoche;Wochentag;Monat;Fahrzeugtyp;Fahrzeugkapazität;Frachtgewicht;Auslastung;SequenzExt;SequenzInt
0-195-2;18;0;<attribute 'month' of 'datetime.date' objects>;2;24000;15160.630000000001;0.6316929166666667;[1016, 1133, 0];[3, 33, 0]
0-6643-0;18;0;<attribute 'month' of 'datetime.date' objects>;0;9000;17474.04;1.9415600000000002;[1165, 1084, 1020, 0];[36, 25, 4, 0]
0-8321-0;18;0;<attribute 'month' of 'datetime.date' objects>;0;9000;2022.0;0.22466666666666665;[1236, 1030, 1177, 0];[49, 5, 39, 0]
0-9130-0;18;0;<attribute 'month' of 'datetime.date' objects>;0;9000;3043.1600000000003;0.3381288888888889;[1176, 1031, 1074, 0];[38, 6, 22, 0]
0-10472-0;18;0;<attribute 'month' of 'datetime.date' objects>;0;9000;1138.08;0.12645333333333333;[1255, 1034, 1089, 0];[50, 7, 27, 0]
0-11620-0;18;0;<attribute 'month' of 'datetime.date' objects>;0;9000;926.56;0.1029511111111111;[1035, 1164, 1091, 0];[8, 35, 28, 0]
0-16029-0;18;0;<attribute 'month' of 'datetime.date' objects>;0;9000;839.3299999999999;0.09325888888888888;[1193, 1053, 1313, 0];[44, 12, 52, 0]
0-17924-0;18;0;<attribute 'month' of 'datetime.date' objects>;0;9000;1962.76;0.21808444444444444;[1063, 1062, 1115, 0];[16, 15, 30, 0]
0-19985-0;18;0;<attribute 'month' of 'datetime.date' objects>;0;9000;7940.23;0.8822477777777777;[1497, 1064, 1123, 0];[57, 17, 31, 0]
0-21028-1;18;0;<attribute 'month' of 'datetime.date' objects>;1;12000;4955.74;0.41297833333333334;[1068, 1067, 1371, 0];[20, 19, 55, 0]
0-26710-1;18;0;<attribute 'month' of 'datetime.date' objects>;1;12000;12248.54;1.0207116666666667;[1102, 1315, 1350, 0];[29, 53, 54, 0]
1-14062-1;18;1;<attribute 'month' of 'datetime.date' objects>;1;12000;4402.3099999999995;0.3668591666666666;[1187, 1045, 1186, 0];[42, 10, 41, 0]
1-17175-2;18;1;<attribute 'month' of 'datetime.date' objects>;2;24000;3125.34;0.13022250000000002;[1065, 1204, 1061, 0];[18, 45, 14, 0]
2-910-1;18;2;<attribute 'month' of 'datetime.date' objects>;1;12000;7475.6;0.6229666666666667;[1067, 1068, 0];[19, 20, 0]
2-2774-0;18;2;<attribute 'month' of 'datetime.date' objects>;0;9000;1538.0;0.1708888888888889;[1236, 1001, 1091, 0];[49, 1, 28, 0]
2-9879-0;18;2;<attribute 'month' of 'datetime.date' objects>;0;9000;2137.2599999999998;0.23747333333333331;[1050, 1070, 1034, 0];[11, 21, 7, 0]
