MR_ID;Kalenderwoche;Wochentag;Monat;Fahrzeugtyp;Fahrzeugkapazität;Frachtgewicht;Auslastung;SequenzExt;SequenzInt
0-46-0;18;0;<attribute 'month' of 'datetime.date' objects>;0;9000;0.0;0.0;[1213, 0];[47, 0]
0-910-1;18;0;<attribute 'month' of 'datetime.date' objects>;1;12000;4955.74;0.41297833333333334;[1067, 1068, 0];[19, 20, 0]
0-14083-1;18;0;<attribute 'month' of 'datetime.date' objects>;1;12000;4675.0;0.38958333333333334;[1231, 1187, 1045, 0];[48, 42, 10, 0]
0-30104-0;18;0;<attribute 'month' of 'datetime.date' objects>;0;9000;12243.66;1.3604066666666665;[1084, 1076, 1126, 1041, 1273, 0];[25, 23, 32, 9, 51, 0]
0-36971-2;18;0;<attribute 'month' of 'datetime.date' objects>;2;24000;34418.939999999995;1.4341224999999997;[1115, 1497, 1064, 1082, 1190, 1123, 0];[30, 57, 17, 24, 43, 31, 0]
0-37483-2;18;0;<attribute 'month' of 'datetime.date' objects>;2;24000;10189.25;0.42455208333333333;[1204, 1065, 1056, 1179, 1063, 1372, 1062, 1061, 1174, 0];[45, 18, 13, 40, 16, 56, 15, 14, 37, 0]
1-33817-1;18;1;<attribute 'month' of 'datetime.date' objects>;1;12000;165.0;0.01375;[1315, 1350, 1236, 1030, 0];[53, 54, 49, 5, 0]
1-38019-2;18;1;<attribute 'month' of 'datetime.date' objects>;2;24000;8213.33;0.3422220833333333;[1193, 1053, 1313, 1016, 0];[44, 12, 52, 3, 0]
1-38573-2;18;1;<attribute 'month' of 'datetime.date' objects>;2;24000;5017.97;0.20908208333333334;[1035, 1176, 1031, 1091, 0];[8, 38, 6, 28, 0]
2-46-0;18;2;<attribute 'month' of 'datetime.date' objects>;0;9000;0.0;0.0;[1213, 0];[47, 0]
2-6643-0;18;2;<attribute 'month' of 'datetime.date' objects>;0;9000;15685.33;1.7428144444444444;[1165, 1084, 1020, 0];[36, 25, 4, 0]
