MR_ID;Kalenderwoche;Wochentag;Monat;Fahrzeugtyp;Fahrzeugkapazität;Frachtgewicht;Auslastung;SequenzExt;SequenzInt
0-62-2;18;0;<attribute 'month' of 'datetime.date' objects>;2;24000;7256,63;0,30235958333333335;[1016, 1133, 0];[1, 26, 0]
0-3047-1;18;0;<attribute 'month' of 'datetime.date' objects>;1;12000;2571,18;0,21426499999999998;[1089, 1088, 1035, 0];[20, 19, 4, 0]
0-7057-1;18;0;<attribute 'month' of 'datetime.date' objects>;1;12000;4955,74;0,41297833333333334;[1068, 1067, 1371, 0];[14, 13, 39, 0]
0-8029-0;18;0;<attribute 'month' of 'datetime.date' objects>;0;9000;6733,08;0,74812;[1084, 1076, 1213, 0];[18, 16, 34, 0]
0-10069-0;18;0;<attribute 'month' of 'datetime.date' objects>;0;9000;205,0;0,02277777777777778;[1350, 1236, 1177, 0];[38, 35, 29, 0]
1-23-0;18;1;<attribute 'month' of 'datetime.date' objects>;0;9000;301,23;0,03347;[1123, 0];[24, 0]
1-432-1;18;1;<attribute 'month' of 'datetime.date' objects>;1;12000;512,0;0,042666666666666665;[1065, 1204, 0];[12, 33, 0]
1-1848-1;18;1;<attribute 'month' of 'datetime.date' objects>;1;12000;4333,47;0,3611225;[1176, 1031, 1091, 0];[28, 2, 21, 0]
1-2364-0;18;1;<attribute 'month' of 'datetime.date' objects>;0;9000;55,33;0,006147777777777777;[1070, 1255, 1034, 0];[15, 36, 3, 0]
1-6153-0;18;1;<attribute 'month' of 'datetime.date' objects>;0;9000;3828,0;0,42533333333333334;[1062, 1372, 1115, 0];[10, 40, 23, 0]
1-10252-0;18;1;<attribute 'month' of 'datetime.date' objects>;0;9000;7213,299999999999;0,8014777777777777;[1063, 1179, 1056, 1061, 0];[11, 30, 8, 9, 0]
2-440-1;18;2;<attribute 'month' of 'datetime.date' objects>;1;12000;7475,6;0,6229666666666667;[1067, 1068, 0];[13, 14, 0]
2-659-1;18;2;<attribute 'month' of 'datetime.date' objects>;1;12000;11943,01;0,9952508333333333;[1102, 1236, 0];[22, 35, 0]
2-945-2;18;2;<attribute 'month' of 'datetime.date' objects>;2;24000;7904,0;0,3293333333333333;[1053, 1313, 1016, 0];[7, 37, 1, 0]
2-3759-0;18;2;<attribute 'month' of 'datetime.date' objects>;0;9000;5186,58;0,5762866666666666;[1126, 1041, 1213, 0];[25, 5, 34, 0]
2-4321-1;18;2;<attribute 'month' of 'datetime.date' objects>;1;12000;4712,99;0,39274916666666665;[1187, 1045, 1151, 0];[32, 6, 27, 0]
3-432-1;18;3;<attribute 'month' of 'datetime.date' objects>;1;12000;3255,0;0,27125;[1065, 1204, 0];[12, 33, 0]
3-2045-2;18;3;<attribute 'month' of 'datetime.date' objects>;2;24000;19780,12;0,8241716666666666;[1034, 1089, 1035, 0];[3, 20, 4, 0]
3-5878-0;18;3;<attribute 'month' of 'datetime.date' objects>;0;9000;11141,330000000002;1,2379255555555557;[1063, 1062, 1115, 0];[11, 10, 23, 0]
3-8271-2;18;3;<attribute 'month' of 'datetime.date' objects>;2;24000;16353,25;0,6813854166666666;[1084, 1082, 1123, 0];[18, 17, 24, 0]
4-1848-1;18;4;<attribute 'month' of 'datetime.date' objects>;1;12000;7893,22;0,6577683333333334;[1176, 1031, 1091, 0];[28, 2, 21, 0]
4-4362-1;18;4;<attribute 'month' of 'datetime.date' objects>;1;12000;10719,619999999999;0,8933016666666665;[1187, 1045, 1186, 0];[32, 6, 31, 0]
4-5430-0;18;4;<attribute 'month' of 'datetime.date' objects>;0;9000;1902,12;0,21134666666666665;[1179, 1062, 1061, 0];[30, 10, 9, 0]
0-62-2;19;0;<attribute 'month' of 'datetime.date' objects>;2;24000;6237,45;0,25989375;[1016, 1133, 0];[1, 26, 0]
0-3047-1;19;0;<attribute 'month' of 'datetime.date' objects>;1;12000;586,62;0,048885;[1089, 1088, 1035, 0];[20, 19, 4, 0]
0-7057-1;19;0;<attribute 'month' of 'datetime.date' objects>;1;12000;3605,3900000000003;0,3004491666666667;[1068, 1067, 1371, 0];[14, 13, 39, 0]
0-8029-0;19;0;<attribute 'month' of 'datetime.date' objects>;0;9000;1518,12;0,16868;[1084, 1076, 1213, 0];[18, 16, 34, 0]
0-10069-0;19;0;<attribute 'month' of 'datetime.date' objects>;0;9000;12675,11;1,4083455555555555;[1350, 1236, 1177, 0];[38, 35, 29, 0]
1-23-0;19;1;<attribute 'month' of 'datetime.date' objects>;0;9000;4042,0;0,4491111111111111;[1123, 0];[24, 0]
1-432-1;19;1;<attribute 'month' of 'datetime.date' objects>;1;12000;0,0;0,0;[1065, 1204, 0];[12, 33, 0]
1-1848-1;19;1;<attribute 'month' of 'datetime.date' objects>;1;12000;3230,0;0,26916666666666667;[1176, 1031, 1091, 0];[28, 2, 21, 0]
1-2364-0;19;1;<attribute 'month' of 'datetime.date' objects>;0;9000;4938,36;0,5487066666666667;[1070, 1255, 1034, 0];[15, 36, 3, 0]
1-6153-0;19;1;<attribute 'month' of 'datetime.date' objects>;0;9000;3134,26;0,3482511111111111;[1062, 1372, 1115, 0];[10, 40, 23, 0]
1-10252-0;19;1;<attribute 'month' of 'datetime.date' objects>;0;9000;9343,84;1,0382044444444445;[1063, 1179, 1056, 1061, 0];[11, 30, 8, 9, 0]
2-440-1;19;2;<attribute 'month' of 'datetime.date' objects>;1;12000;4384,11;0,36534249999999996;[1067, 1068, 0];[13, 14, 0]
2-659-1;19;2;<attribute 'month' of 'datetime.date' objects>;1;12000;0,0;0,0;[1102, 1236, 0];[22, 35, 0]
2-945-2;19;2;<attribute 'month' of 'datetime.date' objects>;2;24000;25972,5;1,0821875;[1053, 1313, 1016, 0];[7, 37, 1, 0]
2-3759-0;19;2;<attribute 'month' of 'datetime.date' objects>;0;9000;7051,7;0,7835222222222222;[1126, 1041, 1213, 0];[25, 5, 34, 0]
2-4321-1;19;2;<attribute 'month' of 'datetime.date' objects>;1;12000;0,0;0,0;[1187, 1045, 1151, 0];[32, 6, 27, 0]
3-432-1;19;3;<attribute 'month' of 'datetime.date' objects>;1;12000;8140,0;0,6783333333333333;[1065, 1204, 0];[12, 33, 0]
3-2045-2;19;3;<attribute 'month' of 'datetime.date' objects>;2;24000;5413,98;0,2255825;[1034, 1089, 1035, 0];[3, 20, 4, 0]
3-5878-0;19;3;<attribute 'month' of 'datetime.date' objects>;0;9000;10743,78;1,1937533333333334;[1063, 1062, 1115, 0];[11, 10, 23, 0]
3-8271-2;19;3;<attribute 'month' of 'datetime.date' objects>;2;24000;25246,21;1,0519254166666667;[1084, 1082, 1123, 0];[18, 17, 24, 0]
4-1848-1;19;4;<attribute 'month' of 'datetime.date' objects>;1;12000;2475,75;0,2063125;[1176, 1031, 1091, 0];[28, 2, 21, 0]
4-4362-1;19;4;<attribute 'month' of 'datetime.date' objects>;1;12000;9788,32;0,8156933333333333;[1187, 1045, 1186, 0];[32, 6, 31, 0]
4-5430-0;19;4;<attribute 'month' of 'datetime.date' objects>;0;9000;7809,67;0,8677411111111111;[1179, 1062, 1061, 0];[30, 10, 9, 0]
