Kalenderwoche;Frachtkosten_MR;Frachtkosten_no_MR;MR_Ersparnis;MR_Ersparnis_Prozent;Auslastung;MR_Ersparnis_Prozent_%
18;20453.74575796301;23367.5784678;-2913.832709836992;-0.1247;0.5652834210526315;-12.47
19;20868.167243563006;23507.3076909;-2639.140447336995;-0.1123;0.7428403728070175;-11.23
20;19402.664509362992;22799.09335349999;-3396.428844136997;-0.149;0.5647759137426901;-14.899999999999999
21;12768.485254362997;13161.109479;-392.62422463700386;-0.0298;0.355449283625731;-2.98
22;19704.575965962988;22658.02425389999;-2953.4482879370007;-0.1303;0.46422959795321644;-13.03
23;19782.394987663003;21384.978614400006;-1602.5836267370032;-0.0749;0.4238732529239766;-7.489999999999999
24;12585.687856063;13620.990567000003;-1035.3027109370032;-0.076;0.4033173026315789;-7.6
25;20569.787833662976;25596.65956109996;-5026.871727436985;-0.1964;0.7374409283625731;-19.64
26;14941.508774563004;16122.86034810001;-1181.3515735370056;-0.0733;0.3346685964912281;-7.33
27;21835.277632663;26056.712378999997;-4221.434746336996;-0.162;0.6773916812865497;-16.2
28;24127.408867963;27467.2459008;-3339.837032837;-0.1216;0.6016601315789474;-12.16
29;20864.03783716302;25068.4874079;-4204.449570736979;-0.1677;0.5704724122807017;-16.77
30;20360.20968496301;23300.825261700025;-2940.6155767370146;-0.1262;0.4436090862573099;-12.620000000000001
31;21963.948338262984;24762.161979899993;-2798.2136416370085;-0.113;0.5316341374269007;-11.3
32;22770.553267663003;24510.55764990001;-1740.0043822370062;-0.071;0.5360746564327484;-7.1
33;12438.213886062998;13591.1150205;-1152.901134437001;-0.0848;0.4882662426900584;-8.48
34;20231.163671862992;23428.85606880001;-3197.692396937018;-0.1365;0.4541821418128656;-13.65
35;20023.77249706301;22750.839207000008;-2727.0667099369966;-0.1199;0.526355730994152;-11.99
36;20948.467941763014;24504.810470999997;-3556.342529236983;-0.1451;0.6161672733918128;-14.510000000000002
37;18358.638109063006;22700.965463699988;-4342.327354636982;-0.1913;0.5828411403508771;-19.13
38;21497.332937563006;25028.549343000006;-3531.2164054370005;-0.1411;0.5104823172514619;-14.11
39;24704.773726363015;28225.83449730002;-3521.060770937005;-0.1247;0.5236201608187137;-12.47
40;16535.266805562995;19332.481069800004;-2797.214264237009;-0.1447;0.5528438084795321;-14.469999999999999
41;23650.13794966301;26413.621383599995;-2763.4834339369845;-0.1046;0.4600875000000001;-10.459999999999999
42;20953.335059562985;23606.559842699975;-2653.2247831369896;-0.1124;0.39106252923976603;-11.24
43;16334.084426263007;18147.938848200007;-1813.8544219369996;-0.0999;0.4165566885964912;-9.99
