Kalenderwoche;Frachtkosten_MR;Frachtkosten_no_MR;MR_Ersparnis;MR_Ersparnis_Prozent;Auslastung;MR_Ersparnis_Prozent_%
18;20884.07748690001;23367.5784678;-2483.500980899993;-0.1063;0.5205358829365079;-10.63
19;21159.038005200007;23507.3076909;-2348.2696856999937;-0.0999;0.5999610515873016;-9.99
20;20743.981175699984;22799.09335349999;-2055.112177800005;-0.0901;0.6317149206349205;-9.01
21;13055.228753399999;13161.109479;-105.88072560000182;-0.008;0.27614449404761904;-0.8
22;20192.84622749999;22658.02425389999;-2465.178026399997;-0.1088;0.450799861111111;-10.879999999999999
23;21448.669577700002;21384.978614400006;63.69096329999593;0.003;0.4961996130952381;0.3
24;13368.1490322;13620.990567000003;-252.84153480000168;-0.0186;0.3625968154761905;-1.8599999999999999
25;21125.091537299973;25596.65956109996;-4471.568023799988;-0.1747;0.6964592757936509;-17.47
26;15761.120424900002;16122.86034810001;-361.739923200008;-0.0224;0.35414335317460316;-2.2399999999999998
27;22386.352142700005;26056.712378999997;-3670.360236299992;-0.1409;0.689336130952381;-14.09
28;25121.460507599997;27467.2459008;-2345.7853932000035;-0.0854;0.49387188492063494;-8.540000000000001
29;21654.14138850002;25068.4874079;-3414.3460193999817;-0.1362;0.6081672619047619;-13.62
30;21102.126853500013;23300.825261700025;-2198.6984082000126;-0.0944;0.4369641567460318;-9.44
31;22448.00858849998;24762.161979899993;-2314.153391400014;-0.0935;0.5244234821428571;-9.35
32;23345.992620000005;24510.55764990001;-1164.5650299000044;-0.0475;0.41115692460317455;-4.75
33;13682.4149835;13591.1150205;91.2999630000013;0.0067;0.36958584325396826;0.67
34;20984.049779099998;23428.85606880001;-2444.8062897000127;-0.1044;0.4962072420634921;-10.440000000000001
35;20721.756146700016;22750.839207000008;-2029.0830602999922;-0.0892;0.5456888194444446;-8.92
36;22179.656125800015;24504.810470999997;-2325.1543451999823;-0.0949;0.6002602678571429;-9.49
37;19643.1348594;22700.965463699988;-3057.8306042999866;-0.1347;0.5423292857142857;-13.469999999999999
38;22961.718012300007;25028.549343000006;-2066.831330699999;-0.0826;0.4949634126984126;-8.260000000000002
39;25531.67147190002;28225.83449730002;-2694.163025400001;-0.0955;0.5572835317460317;-9.55
40;17705.1384726;19332.481069800004;-1627.342597200004;-0.0842;0.602508630952381;-8.42
41;24498.711096000006;26413.621383599995;-1914.9102875999888;-0.0725;0.47226588293650795;-7.249999999999999
42;22416.62693459998;23606.559842699975;-1189.932908099996;-0.0504;0.3793882738095237;-5.04
43;17303.977672200013;18147.938848200007;-843.9611759999934;-0.0465;0.38759208333333345;-4.65
