Kalenderwoche;Frachtkosten_MR;Frachtkosten_no_MR;MR_Ersparnis;MR_Ersparnis_Prozent;Auslastung;MR_Ersparnis_Prozent_%
18;20622.97541170176;23367.5784678;-2744.6030560982435;-0.1175;0.598561130952381;-11.75
19;19788.703237901762;23507.3076909;-3718.604452998239;-0.1582;0.47541767857142864;-15.82
20;19303.72366180175;22799.09335349999;-3495.369691698241;-0.1533;0.5636570238095239;-15.329999999999998
21;12357.70319950175;13161.109479;-803.406279498251;-0.061;0.27790853174603175;-6.1
22;19495.320673601742;22658.02425389999;-3162.7035802982464;-0.1396;0.47639648809523816;-13.96
23;20478.69041740175;21384.978614400006;-906.2881969982554;-0.0424;0.5002888194444445;-4.24
24;12173.010830501751;13620.990567000003;-1447.9797364982514;-0.1063;0.2991225793650793;-10.63
25;20872.41854410172;25596.65956109996;-4724.2410169982395;-0.1846;0.7218708234126984;-18.459999999999997
26;15063.594871001756;16122.86034810001;-1059.2654770982535;-0.0657;0.271218125;-6.569999999999999
27;22094.65465870175;26056.712378999997;-3962.057720298246;-0.1521;0.7327818849206349;-15.21
28;24544.63359520175;27467.2459008;-2922.61230559825;-0.1064;0.511994900793651;-10.639999999999999
29;21359.72444530177;25068.4874079;-3708.76296259823;-0.1479;0.5850016170634921;-14.790000000000001
30;20532.931138301763;23300.825261700025;-2767.8941233982623;-0.1188;0.48450891865079376;-11.88
31;21654.82577290173;24762.161979899993;-3107.3362069982613;-0.1255;0.4746716170634921;-12.55
32;22743.486276101758;24510.55764990001;-1767.0713737982514;-0.0721;0.46718340277777776;-7.21
33;12925.734469601752;13591.1150205;-665.3805508982477;-0.049;0.3578926488095239;-4.9
34;20662.404469601748;23428.85606880001;-2766.4515991982626;-0.1181;0.5490605257936508;-11.81
35;19721.599292801762;22750.839207000008;-3029.239914198246;-0.1331;0.5628111805555556;-13.309999999999999
36;21624.221776901766;24504.810470999997;-2880.588694098231;-0.1176;0.5694025297619049;-11.76
37;18578.84398240176;22700.965463699988;-4122.121481298229;-0.1816;0.5151077182539684;-18.16
38;22066.173744401753;25028.549343000006;-2962.3755985982534;-0.1184;0.4583129761904762;-11.84
39;25089.182396801767;28225.83449730002;-3136.6521004982533;-0.1111;0.5632801091269841;-11.110000000000001
40;17009.062394201752;19332.481069800004;-2323.418675598252;-0.1202;0.5713589285714286;-12.02
41;23801.185542101754;26413.621383599995;-2612.4358414982416;-0.0989;0.535244861111111;-9.89
42;21624.850046201736;23606.559842699975;-1981.7097964982386;-0.0839;0.3529354761904761;-8.39
43;16416.350023301755;18147.938848200007;-1731.588824898252;-0.0954;0.3747482142857143;-9.54
