;Beladedatum;Wochentag;Kalenderwoche;Monat;ID_Empfänger;Gewicht;Frachtkosten;ID_Sendung
15;2022-04-28;3;17;5;1016;5904.0;231.75024;15
62;2022-04-29;4;17;5;1062;289.96;33.5184876;62
65;2022-05-03;1;18;5;1065;512.0;41.35872;65
68;2022-05-02;0;18;5;1068;2861.74;124.32803940000001;68
129;2022-05-03;1;18;5;1016;7904.0;302.37023999999997;129
171;2022-05-03;1;18;5;1062;49.0;25.010189999999998;171
172;2022-05-03;1;18;5;1062;2310.0;104.8461;172
185;2022-05-03;1;18;5;1065;1264.0;67.91184;185
191;2022-05-05;3;18;5;1062;2287.31;104.0449161;191
200;2022-05-04;2;18;5;1068;5818.1;228.717111;200
275;2022-05-06;4;18;5;1062;126.0;27.729059999999997;275
314;2022-05-05;3;18;5;1016;3024.0;130.05743999999999;314
326;2022-05-06;4;18;5;1204;1991.0;93.58221;326
365;2022-05-10;1;19;5;1062;352.26;35.7183006;365
375;2022-05-09;0;19;5;1068;1583.39;79.18950090000001;375
411;2022-05-09;0;19;5;1236;11298.11;422.2162641;411
415;2022-05-10;1;19;5;1016;3024.0;130.05743999999999;415
438;2022-05-10;1;19;5;1016;14627.0;539.75937;438
462;2022-05-10;1;19;5;1062;1752.0;85.14312;462
519;2022-05-11;2;19;5;1068;4143.61;169.5908691;519
485;2022-05-10;1;19;5;1204;2465.0;110.31915;485
477;2022-05-12;3;19;5;1062;164.0;29.070840000000004;477
483;2022-05-12;3;19;5;1016;2700.0;118.617;483
484;2022-05-10;1;19;5;1065;5675.0;223.66425;484
553;2022-05-12;3;19;5;1016;2720.0;119.3232;553
563;2022-05-13;4;19;5;1062;110.0;27.1641;563
621;2022-05-13;4;19;5;1062;797.5;51.439725;621
639;2022-05-16;0;20;5;1236;11632.0;434.00592;639
689;2022-05-17;1;20;5;1065;176.0;29.494559999999996;689
690;2022-05-17;1;20;5;1204;3183.0;135.67173;690
671;2022-05-16;0;20;5;1068;6448.89;250.99030589999998;671
715;2022-05-17;1;20;5;1016;8159.27;311.3838237;715
760;2022-05-17;1;20;5;1062;779.42;50.801320200000006;760
777;2022-05-17;1;20;5;1065;373.0;36.45063;777
778;2022-05-17;1;20;5;1204;1417.0;73.31427;778
794;2022-05-19;3;20;5;1062;304.0;34.01424;794
814;2022-05-18;2;20;5;1068;6416.71;249.8540301;814
873;2022-05-20;4;20;5;1062;244.29;31.9058799;873
847;2022-05-19;3;20;5;1016;8084.0;308.72604;847
932;2022-05-20;4;20;5;1062;253.33;32.225082300000004;932
884;2022-05-20;4;20;5;1065;6740.0;261.2694;884
883;2022-05-20;4;20;5;1204;6326.0;246.65106;883
947;2022-05-23;0;21;5;1068;6815.44;263.9331864;947
963;2022-05-24;1;21;5;1065;150.0;28.5765;963
968;2022-05-24;1;21;5;1062;175.45;29.4751395;968
1001;2022-05-24;1;21;5;1016;5580.0;220.3098;1001
1003;2022-05-25;2;21;5;1236;2485.5;111.04300500000001;1003
1040;2022-05-24;1;21;5;1062;345.76;35.4887856;1040
1110;2022-05-27;4;21;5;1062;880.5;54.37045500000001;1110
1167;2022-05-30;0;22;5;1236;3228.0;137.26068;1167
1162;2022-05-31;1;22;5;1016;6048.0;236.83487999999997;1162
1113;2022-05-31;1;22;5;1204;1888.0;89.94528000000001;1113
1129;2022-05-30;0;22;5;1068;4216.83;172.1762673;1129
1141;2022-05-31;1;22;5;1062;3201.0;136.30731;1141
1235;2022-05-31;1;22;6;1016;8280.0;315.6468;1235
1301;2022-05-31;1;22;6;1065;2087.0;96.97197;1301
1303;2022-05-31;1;22;6;1065;21.0;24.02151;1303
1292;2022-06-02;3;22;6;1062;185.0;29.81235;1292
1302;2022-05-31;1;22;6;1204;4189.5;171.211245;1302
1279;2022-06-01;2;22;6;1068;2513.42;112.0288602;1279
1260;2022-06-01;2;22;6;1236;744.0;49.55064;1260
1291;2022-06-02;3;22;6;1062;103.0;26.916929999999997;1291
1306;2022-06-02;3;22;6;1016;7924.0;303.07644;1306
1319;2022-06-01;2;22;6;1236;149.0;28.541190000000004;1319
1339;2022-06-03;4;22;6;1062;807.95;51.8087145;1339
1360;2022-06-07;1;23;6;1065;2384.0;107.45903999999999;1360
1393;2022-06-06;0;23;6;1068;3364.08;142.0656648;1393
1398;2022-06-07;1;23;6;1062;299.7;33.862407;1398
1467;2022-06-08;2;23;6;1236;11.78;23.6959518;1467
1464;2022-06-07;1;23;6;1016;5760.0;226.6656;1464
1426;2022-06-07;1;23;6;1062;291.84;33.5848704;1426
1499;2022-06-08;2;23;6;1068;1244.74;67.2317694;1499
1511;2022-06-07;1;23;6;1065;1958.0;92.41698000000001;1511
1512;2022-06-07;1;23;6;1065;1178.0;64.87518;1512
1513;2022-06-07;1;23;6;1204;1355.0;71.12505;1513
1542;2022-06-08;2;23;6;1236;2987.29;128.7612099;1542
1556;2022-06-10;4;23;6;1062;524.71;41.8075101;1556
1596;2022-06-09;3;23;6;1016;15514.89;571.1107659;1596
1607;2022-06-08;2;23;6;1236;1146.02;63.7459662;1607
1680;2022-06-14;1;24;6;1062;61.07;25.4363817;1680
1674;2022-06-13;0;24;6;1068;8339.61;317.7516291;1674
1689;2022-06-13;0;24;6;1236;114.0;27.30534;1689
1671;2022-06-14;1;24;6;1065;2385.0;107.49435;1671
1672;2022-06-14;1;24;6;1204;4372.0;177.65532;1672
1770;2022-06-14;1;24;6;1016;8660.67;329.0882577;1770
1780;2022-06-14;1;24;6;1062;856.9;53.537139;1780
1873;2022-06-21;1;25;6;1204;2042.5;95.400675;1873
1874;2022-06-21;1;25;6;1065;6079.0;237.92949;1874
1877;2022-06-21;1;25;6;1016;2700.0;118.617;1877
1891;2022-06-20;0;25;6;1068;5923.28;232.4310168;1891
1898;2022-06-20;0;25;6;1236;5063.78;202.08207180000002;1898
1958;2022-06-21;1;25;6;1016;14248.0;526.37688;1958
2029;2022-06-22;2;25;6;1068;3882.96;160.3873176;2029
2024;2022-06-22;2;25;6;1236;2708.0;118.89948000000001;2024
2002;2022-06-21;1;25;6;1204;2132.0;98.56092;2002
2001;2022-06-21;1;25;6;1065;35.0;24.51585;2001
2000;2022-06-21;1;25;6;1065;460.0;39.5226;2000
1992;2022-06-23;3;25;6;1062;1195.5;65.493105;1992
2074;2022-06-23;3;25;6;1016;5724.0;225.39444;2074
2098;2022-06-24;4;25;6;1062;1662.0;81.96522;2098
2145;2022-06-24;4;25;6;1062;898.53;55.0070943;2145
2175;2022-06-23;3;25;6;1016;2304.0;104.63424;2175
2238;2022-06-28;1;26;6;1062;1082.5;61.503075;2238
2221;2022-06-27;0;26;6;1236;2092.0;97.14851999999999;2221
2200;2022-06-27;0;26;6;1068;2806.71;122.38493009999999;2200
2189;2022-06-28;1;26;6;1065;330.0;34.9323;2189
2188;2022-06-28;1;26;6;1065;3052.0;131.04612;2188
2187;2022-06-28;1;26;6;1204;4044.0;166.07363999999998;2187
2248;2022-06-28;1;26;6;1204;1224.0;66.49944;2248
2311;2022-06-29;2;26;6;1236;1999.56;93.88446359999999;2311
2318;2022-06-30;3;26;6;1062;134.51;28.029548100000003;2318
2329;2022-06-30;3;26;7;1016;14200.0;524.682;2329
2391;2022-07-05;1;27;7;1062;4251.01;173.38316310000002;2391
2395;2022-07-04;0;27;7;1068;8040.46;307.18864260000004;2395
2362;2022-07-05;1;27;7;1065;4971.0;198.80601000000001;2362
2363;2022-07-05;1;27;7;1204;3990.5;164.18455500000002;2363
2423;2022-07-05;1;27;7;1204;2338.0;105.83478000000001;2423
2453;2022-07-05;1;27;7;1016;5760.0;226.6656;2453
2484;2022-07-05;1;27;7;1062;458.5;39.469635;2484
2498;2022-07-07;3;27;7;1062;652.82;46.3310742;2498
2504;2022-07-05;1;27;7;1204;2409.0;108.34178999999999;2504
2505;2022-07-05;1;27;7;1065;438.0;38.745779999999996;2505
2508;2022-07-06;2;27;7;1068;5311.17;210.81741269999998;2508
2555;2022-07-06;2;27;7;1236;10982.8;411.082668;2555
2634;2022-07-07;3;27;7;1016;10158.8;381.98722799999996;2634
2610;2022-07-06;2;27;7;1236;452.0;39.240120000000005;2610
2652;2022-07-07;3;27;7;1016;5580.0;220.3098;2652
2697;2022-07-08;4;27;7;1062;1564.0;78.50484;2697
2698;2022-07-08;4;27;7;1062;2409.24;108.35026440000001;2698
2707;2022-07-12;1;28;7;1065;2131.0;98.52561;2707
2708;2022-07-12;1;28;7;1204;6384.0;248.69904;2708
2718;2022-07-11;0;28;7;1236;159.5;28.911945000000003;2718
2751;2022-07-11;0;28;7;1068;1656.37;81.7664247;2751
2786;2022-07-12;1;28;7;1062;604.93;44.6400783;2786
2820;2022-07-12;1;28;7;1016;3649.82;152.15514419999997;2820
2877;2022-07-14;3;28;7;1062;1489.04;75.8580024;2877
