Beladedatum;Wochentag;Kalenderwoche;ID_Empfänger;Gewicht;Frachtkosten;ID_Sendung;MR_ID;Monat;Frachtkosten_AF
2.5.2022;0;18;[1133, 1016];15160.630000000001;148.54006475;[169, 15, 129];0-195-2;5.0;605.1618453
2022-05-02 00:00:00;0;18;1165;14487.06;534.8180886;242;0-6643-0;5.0;534.8180886
2.5.2022;0;18;[1020, 1084];2986.98;308.99403149999995;[87, 136, 90, 19];0-6643-0;5.0;733.4083524
2.5.2022;0;18;[1030, 1177];2022.0;121.58438600000001;[93, 269, 29];0-8321-0;5.0;141.23682
2.5.2022;0;18;[1031, 1074];3043.1600000000003;127.335747;[30, 95, 78, 153];0-9130-0;5.0;200.5739796
2.5.2022;0;18;[1034, 1089];1138.08;207.61277075;[33, 97];0-10472-0;5.0;86.74560480000001
2.5.2022;0;18;[1164, 1035, 1091];926.56;157.55745774999997;[240, 98, 100, 34];0-11620-0;5.0;125.8368336
2.5.2022;0;18;[1193, 1053];839.3299999999999;307.52770125;[300, 52];0-16029-0;5.0;76.1967423
2.5.2022;0;18;[1063, 1062, 1115];1962.76;259.58915675;[123, 63, 62, 132];0-17924-0;5.0;162.4250556
2.5.2022;0;18;[1064, 1123];7940.23;206.83460875;[142, 143, 64];0-19985-0;5.0;350.2095213
2.5.2022;0;18;[1067, 1068];4955.74;158.79640700000002;[67, 68];0-21028-1;5.0;221.5471794
2022-05-02 00:00:00;0;18;1102;5656.62;223.0152522;111;0-26710-1;5.0;223.0152522
2.5.2022;0;18;[1102];6591.92;207.329353;[228, 293];0-26710-1;5.0;502.3359474
3.5.2022;1;18;[1186, 1045];4402.3099999999995;176.00629199999997;[286, 224];1-14062-1;5.0;202.00556609999998
3.5.2022;1;18;[1061, 1065];3125.34;393.72142425;[173, 65, 192];1-17175-2;5.0;180.1957554
4.5.2022;2;18;[1067, 1068];7475.6;136.31129049999998;[199, 200];2-910-1;5.0;310.523436
4.5.2022;2;18;[1091];1538.0;137.88339950000002;[250, 222];2-2774-0;5.0;100.86678
