Beladedatum;Wochentag;Kalenderwoche;ID_Empfänger;Gewicht;Frachtkosten;ID_Sendung;MR_ID;Monat;Frachtkosten_AF
2.5.2022;0;18;[1133, 1016];7256.63;148.54006475;[169, 15];0-62-2;5.0;302.7916053
2.5.2022;0;18;[1091, 1177];397.0;143.519992;[100, 269];0-9225-0;5.0;60.578070000000004
2.5.2022;0;18;[1070, 1035, 1031, 1034, 1089];2686.81;397.6676935;[70, 98, 30, 34, 33, 95, 97];0-21444-2;5.0;257.8312611
2.5.2022;0;18;[1063, 1062, 1123, 1065];1306.99;519.6696119999998;[123, 63, 62, 143, 65];0-26071-2;5.0;162.5498169
3.5.2022;1;18;[1041, 1084, 1076, 1126];11919.66;277.930807;[151, 356, 136, 90, 208, 149, 260, 150, 80];1-13554-1;5.0;630.4031946
3.5.2022;1;18;[1062, 1061, 1067, 1068];7804.1;551.53021;[171, 173, 67, 172, 68];1-20401-2;5.0;391.96277100000003
4.5.2022;2;18;[1115, 1016];9912.48;237.35263475;[283, 132, 129];2-59-2;5.0;419.84966879999996
2022-05-04 00:00:00;2;18;1088;380.09;36.7009779;396;2-20038-2;5.0;36.7009779
2022-05-04 00:00:00;2;18;1031;1150.63;63.9087453;153;2-20038-2;5.0;63.9087453
2022-05-04 00:00:00;2;18;1176;7253.0;279.38343;265;2-20038-2;5.0;279.38343
4.5.2022;2;18;[1176, 1034, 1088, 1035, 1091, 1089, 1031];23997.08;340.01850575;[264, 267, 238, 235, 234, 250, 237, 222, 157, 241, 246];2-20038-2;5.0;1483.4100480000002
4.5.2022;2;18;[1102, 1186, 1045];16345.32;416.91328525;[228, 286, 224, 397, 293];2-20126-2;5.0;693.5532492
5.5.2022;3;18;[1067, 1068];7475.6;158.79640700000002;[199, 200];3-7057-1;5.0;310.523436
5.5.2022;3;18;[1084, 1082];16824.25;276.7043125;[327, 259, 305, 295];3-8271-2;5.0;687.1842675
5.5.2022;3;18;[1179, 1062, 1063, 1061, 1056, 1065];15745.57;485.41198475;[322, 272, 275, 190, 274, 324, 271, 185, 192, 191, 370, 187];3-31218-2;5.0;835.3360766999999
6.5.2022;4;18;[1213];1047.12;47.373788;[348];4-33-0;5.0;60.253807200000004
6.5.2022;4;18;[1187, 1151, 1045];10797.8;190.62726375000003;[400, 403, 287, 289];4-4321-1;5.0;474.390318
9.5.2022;0;19;[1133, 1016];6237.45;148.54006475;[429, 314, 415];0-62-2;5.0;290.0843595
2022-05-09 00:00:00;0;19;1236;11298.11;422.2162641;411;0-9225-0;5.0;422.2162641
9.5.2022;0;19;[1091, 1177];1449.75;143.519992;[339, 391, 546];0-9225-0;5.0;543.2469366
9.5.2022;0;19;[1035, 1255, 1089, 1070, 1034];4884.59;397.6676935;[343, 455, 395, 524, 431, 394];0-21444-2;5.0;312.1548729
9.5.2022;0;19;[1063, 1115, 1204, 1123];19127.54;519.6696119999998;[321, 464, 363, 326, 311, 465, 436, 312];0-26071-2;5.0;861.6334374
10.5.2022;1;19;[1041, 1126];2729.0;277.930807;[497, 607];1-13554-1;5.0;142.92099
10.5.2022;1;19;[1062, 1061, 1313, 1053, 1068, 1067];11757.150000000001;551.53021;[365, 421, 632, 474, 375, 462, 374, 544];1-20401-2;5.0;601.3849665
2022-05-11 00:00:00;2;19;1115;1088.81;61.725881099999995;554;2-59-2;5.0;61.725881099999995
2022-05-11 00:00:00;2;19;1016;2700.0;118.617;483;2-59-2;5.0;118.617
11.5.2022;2;19;[1016, 1115];23395.0;237.35263475;[553, 517, 438];2-59-2;5.0;1076.2603310999998
11.5.2022;2;19;[1089, 1176, 1034, 1091, 1088];10772.36;340.01850575;[506, 451, 507, 433, 578, 664];2-20038-2;5.0;520.0520316
11.5.2022;2;19;[];0.0;416.91328525;[];2-20126-2;5.0;0.0
12.5.2022;3;19;[1067, 1068];4384.11;158.79640700000002;[518, 519];3-7057-1;5.0;201.3629241
2022-05-12 00:00:00;3;19;1084;1330.22;70.2500682;541;3-8271-2;5.0;70.2500682
12.5.2022;3;19;[1082, 1123];23915.989999999998;276.7043125;[528, 537, 535, 511];3-8271-2;5.0;1007.8436750999999
12.5.2022;3;19;[1062, 1061, 1179, 1056, 1063, 1204, 1065];19779.449999999997;485.41198475;[563, 622, 477, 476, 480, 564, 566, 479, 561, 485, 579, 484];3-31218-2;5.0;977.7723794999999
13.5.2022;4;19;[1213];2519.7;47.373788;[572, 573];4-33-0;5.0;135.530607
13.5.2022;4;19;[1151, 1187, 1045];10829.32;190.62726375000003;[787, 695, 696, 567, 570];4-4321-1;5.0;498.7832892
16.5.2022;0;20;[1133];1317.0;148.54006475;[735];0-62-2;5.0;69.78327
2022-05-16 00:00:00;0;20;1236;11632.0;434.00592;639;0-9225-0;5.0;434.00592
16.5.2022;0;20;[];0.0;143.519992;[];0-9225-0;5.0;434.00592
16.5.2022;0;20;[1176, 1255, 1089, 1034, 1031, 1070];17466.93;397.6676935;[661, 609, 663, 665, 614, 659, 674, 660];0-21444-2;5.0;802.9972983
16.5.2022;0;20;[1063, 1065, 1115, 1062, 1372, 1204];9163.09;519.6696119999998;[732, 689, 620, 733, 621, 875, 684, 690];0-26071-2;5.0;509.78870789999996
