Beladedatum;Wochentag;Kalenderwoche;ID_Empfänger;Gewicht;Frachtkosten;ID_Sendung;MR_ID;Monat;Frachtkosten_AF
2.5.2022;0;18;[];0.0;39.476232026000005;[];0-33-0;5.0;0.0
2.5.2022;0;18;[1133, 1016];15160.630000000001;123.77887369925;[169, 15, 129];0-62-2;5.0;605.1618453
2.5.2022;0;18;[1088, 1035, 1091, 1031, 1034, 1089];3016.72;283.33719069425007;[96, 98, 238, 100, 30, 34, 33, 95, 97];0-19025-2;5.0;316.0403832
2.5.2022;0;18;[1102, 1186, 1045];18448.850000000002;347.41460798275;[228, 286, 44, 111, 293];0-19113-2;5.0;767.8288934999999
2.5.2022;0;18;[1062, 1061, 1053, 1067, 1068];9797.56;459.59220122199997;[62, 173, 52, 67, 68, 61];0-19388-2;5.0;485.6318436
3.5.2022;1;18;[1063, 1062, 1123, 1065, 1115];4670.03;433.04253577200006;[123, 171, 143, 65, 132, 172];1-25062-2;5.0;304.5787593
2022-05-04 00:00:00;2;18;1151;1603.49;79.8992319;403;2-4321-1;5.0;79.8992319
4.5.2022;2;18;[1151, 1045, 1187];11011.81;158.84918135625003;[206, 224, 287, 289];2-4321-1;5.0;561.846243
4.5.2022;2;18;[1067, 1068];7475.6;132.324647609;[199, 200];2-7057-1;5.0;310.523436
4.5.2022;2;18;[1041, 1084, 1076, 1126];7899.58;231.599061001;[151, 356, 136, 208, 149, 260, 150];2-13281-1;5.0;441.8941698
2022-05-04 00:00:00;2;18;1176;7253.0;279.38343;265;2-20431-2;5.0;279.38343
4.5.2022;2;18;[1176, 1034, 1035, 1089, 1031];23437.21;331.3769373145;[264, 267, 235, 234, 237, 157, 153, 241, 246];2-20431-2;5.0;1316.4713151
5.5.2022;3;18;[1115];8449.42;197.78718268925;[283, 311, 312];3-59-2;5.0;368.18902019999996
5.5.2022;3;18;[1177, 1091];2055.0;119.594487628;[269, 391, 250, 222];3-9225-0;5.0;165.68205
5.5.2022;3;18;[1063, 1179, 1062, 1061, 1056, 1065, 1204];16709.41;405.779097724;[321, 272, 275, 190, 274, 271, 185, 326, 192, 191, 370, 187];3-20495-2;5.0;869.3692670999999
2022-05-06 00:00:00;4;18;1082;12287.0;457.13397000000003;511;4-8271-2;5.0;457.13397000000003
6.5.2022;4;18;[1084, 1082];20425.75;230.57877038349997;[327, 259, 305, 528, 295];4-8271-2;5.0;1294.7672025
9.5.2022;0;19;[1213];1047.12;39.476232026000005;[348];0-33-0;5.0;60.253807200000004
9.5.2022;0;19;[1133, 1016];20864.45;123.77887369925;[429, 314, 415, 438];0-62-2;5.0;829.8437295
9.5.2022;0;19;[1035, 1091, 1089, 1088, 1034];5737.969999999999;283.33719069425007;[343, 339, 395, 396, 433, 394];0-19025-2;5.0;342.2877207
9.5.2022;0;19;[1187, 1102, 1236];17941.2;347.41460798275;[400, 397, 411];0-19113-2;5.0;703.343772
9.5.2022;0;19;[1179, 1061, 1053, 1068, 1067];9464.150000000001;459.59220122199997;[322, 421, 324, 474, 375, 374, 544];0-19388-2;5.0;497.13913650000006
10.5.2022;1;19;[1063, 1062, 1115, 1123];11283.26;433.04253577200006;[464, 365, 363, 462, 465, 436];1-25062-2;5.0;538.0919106
11.5.2022;2;19;[1045, 1187];5498.4;158.84918135625003;[567, 570];2-4321-1;5.0;240.70850399999998
11.5.2022;2;19;[1067, 1068];4384.11;132.324647609;[518, 519];2-7057-1;5.0;201.3629241
11.5.2022;2;19;[1213, 1041, 1126];7051.7;231.599061001;[572, 497, 607, 573, 650];2-13281-1;5.0;365.395527
11.5.2022;2;19;[1255, 1070, 1089, 1176, 1034];9602.24;331.3769373145;[455, 609, 524, 506, 431, 451, 507, 674];2-20431-2;5.0;525.2950943999999
12.5.2022;3;19;[1115, 1016];13171.34;197.78718268925;[620, 554, 483, 553, 517];3-59-2;5.0;581.4800154
12.5.2022;3;19;[1177, 1091];3540.75;119.594487628;[546, 578];3-9225-0;5.0;171.5838825
12.5.2022;3;19;[1062, 1061, 1179, 1056, 1063, 1204, 1065];14089.779999999999;405.779097724;[563, 477, 476, 480, 564, 566, 479, 561, 485, 484];3-20495-2;5.0;730.3101317999999
13.5.2022;4;19;[1084, 1082, 1123];11483.21;230.57877038349997;[541, 703, 537, 535];4-8271-2;5.0;498.59214510000004
16.5.2022;0;20;[];0.0;39.476232026000005;[];0-33-0;5.0;0.0
16.5.2022;0;20;[1133, 1016];9476.27;123.77887369925;[735, 715];0-62-2;5.0;381.1670937
16.5.2022;0;20;[1176, 1089, 1034, 1088, 1031];15760.759999999998;283.33719069425007;[661, 663, 665, 664, 614, 659, 660];0-19025-2;5.0;719.4724355999999
2022-05-16 00:00:00;0;20;1102;3038.4;130.56590400000002;824;0-19113-2;5.0;130.56590400000002
16.5.2022;0;20;[1187, 1045, 1186, 1350, 1236];23764.1;347.41460798275;[695, 696, 855, 763, 639];0-19113-2;5.0;1086.0762750000001
16.5.2022;0;20;[1179, 1061, 1053, 1062, 1067, 1313, 1068];18287.08;459.59220122199997;[687, 622, 679, 621, 773, 669, 632, 761, 579, 671];0-19388-2;5.0;878.5167947999998
17.5.2022;1;20;[1372, 1063, 1065, 1062, 1115, 1204];9932.15;433.04253577200006;[933, 732, 689, 733, 760, 757, 875, 684, 690];1-25062-2;5.0;560.2242165
18.5.2022;2;20;[1151, 1045];11964.380000000001;158.84918135625003;[787, 767, 854];2-4321-1;5.0;492.3022578
18.5.2022;2;20;[1067, 1371, 1068];8205.71;132.324647609;[815, 871, 814];2-7057-1;5.0;359.58362009999996
18.5.2022;2;20;[1084, 1076, 1126, 1041, 1213];8656.49;231.599061001;[753, 806, 720, 879, 785, 718, 783];2-13281-1;5.0;468.6206619
18.5.2022;2;20;[1255, 1089, 1035, 1176, 1034];8111.0;331.3769373145;[901, 738, 863, 798, 709, 801];2-20431-2;5.0;426.07941
19.5.2022;3;20;[1016, 1115];16899.489999999998;197.78718268925;[847, 851];3-59-2;5.0;643.2809919
19.5.2022;3;20;[1091];183.0;119.594487628;[859];3-9225-0;5.0;29.74173
19.5.2022;3;20;[1061, 1056, 1062, 1065, 1179, 1063, 1204];17749.58;405.779097724;[793, 1048, 873, 794, 777, 791, 779, 874, 778, 883, 884];3-20495-2;5.0;882.8176698
20.5.2022;4;20;[1123, 1082];8228.77;230.57877038349997;[924, 843];4-8271-2;5.0;337.11786870000003
23.5.2022;0;21;[1213];2794.48;39.476232026000005;[910];0-33-0;5.0;121.9530888
23.5.2022;0;21;[1016, 1133];11508.67;123.77887369925;[1001, 1017];0-62-2;5.0;452.9311377
23.5.2022;0;21;[1035, 1034, 1088, 1176, 1031, 1089];6933.43;283.33719069425007;[920, 919, 1032, 918, 936, 937, 939, 938];0-19025-2;5.0;431.0594133
23.5.2022;0;21;[1186, 1102, 1187, 1045, 1236];15372.43;347.41460798275;[985, 1010, 984, 899, 1003, 981];0-19113-2;5.0;682.4805033
