Beladedatum;Wochentag;Kalenderwoche;ID_Empfänger;Gewicht;Frachtkosten;ID_Sendung;MR_ID;Monat;Frachtkosten_AF
2.5.2022;0;18;[1133, 1016];7256.63;148.54006475;[169, 15];0-65-2;5.0;302.7916053
2.5.2022;0;18;[1067, 1068];4955.74;136.31129049999998;[67, 68];0-479-1;5.0;221.5471794
2.5.2022;0;18;[1091];192.0;125.26693025;[100];0-705-0;5.0;30.059520000000003
2.5.2022;0;18;[1084, 1076];6173.08;210.698796;[90, 208, 149, 80];0-9586-0;5.0;311.09145480000007
2.5.2022;0;18;[1102, 1186, 1045];18448.850000000002;428.59555199999994;[228, 286, 44, 111, 293];0-13591-2;5.0;767.8288934999999
2.5.2022;0;18;[1063, 1062, 1061, 1053];5045.62;589.5758907499999;[123, 63, 62, 173, 52, 61];0-14299-2;5.0;317.8408422
2.5.2022;0;18;[1088, 1035, 1177, 1031, 1034, 1089];3029.72;400.36590825;[96, 98, 238, 269, 30, 34, 33, 95, 97];0-14574-2;5.0;316.4994132
4.5.2022;2;18;[1016];7904.0;123.80346825;[129];2-0-2;5.0;302.37023999999997
2022-05-04 00:00:00;2;18;1176;7253.0;279.38343;265;2-1629-2;5.0;279.38343
4.5.2022;2;18;[1176, 1035, 1031];22463.59;180.59512625;[264, 234, 157, 153, 241, 246];2-1629-2;5.0;1212.2527929
4.5.2022;2;18;[1034, 1089];973.6199999999999;256.5098305;[267, 235, 237];2-2720-1;5.0;104.2185222
4.5.2022;2;18;[1041, 1126];5186.58;135.57497800000002;[151, 356, 260, 150];2-4373-0;5.0;276.2581398
2022-05-04 00:00:00;2;18;1151;1603.49;79.8992319;403;2-5046-1;5.0;79.8992319
4.5.2022;2;18;[1151, 1045, 1187];11011.81;190.62726375000003;[206, 224, 287, 289];2-5046-1;5.0;561.846243
4.5.2022;2;18;[1067, 1068];7475.6;158.79640700000002;[199, 200];2-8375-1;5.0;310.523436
4.5.2022;2;18;[1123, 1084, 1082];17214.48;276.7043125;[143, 136, 259, 305, 295];2-9900-2;5.0;724.2432888000001
4.5.2022;2;18;[1062, 1063, 1115, 1056, 1065];13799.64;577.6320549999998;[171, 190, 283, 271, 185, 132, 172, 370, 187];2-14709-2;5.0;696.7852884000001
5.5.2022;3;18;[1091];1538.0;125.26693025;[250, 222];3-705-0;5.0;100.86678
5.5.2022;3;18;[1179, 1062, 1061];5238.65;243.59125175000003;[272, 275, 274, 192, 191];3-6396-0;5.0;301.3767315
6.5.2022;4;18;[1204];1991.0;280.48403075;[326];4-468-1;5.0;93.58221
9.5.2022;0;19;[1133, 1016];6237.45;148.54006475;[429, 314, 415];0-65-2;5.0;290.0843595
9.5.2022;0;19;[1068, 1067];3605.3900000000003;136.31129049999998;[375, 374];0-479-1;5.0;173.8663209
2022-05-09 00:00:00;0;19;1236;11298.11;422.2162641;411;0-705-0;5.0;422.2162641
9.5.2022;0;19;[1091];1802.75;125.26693025;[339, 433];0-705-0;5.0;532.4313666
9.5.2022;0;19;[1084, 1213];1518.12;210.698796;[327, 348];0-9586-0;5.0;100.1648172
9.5.2022;0;19;[1187, 1231, 1102];11930.53;428.59555199999994;[400, 401, 568, 426, 397];0-13591-2;5.0;537.6670143
9.5.2022;0;19;[1179, 1063, 1062, 1061, 1115, 1053];15198.56;589.5758907499999;[322, 321, 365, 421, 363, 324, 474, 311, 544, 312];0-14299-2;5.0;769.4611536000001
9.5.2022;0;19;[1035, 1255, 1089, 1177, 1088, 1034];5400.68;400.36590825;[343, 455, 395, 391, 396, 546, 394];0-14574-2;5.0;353.6580108
11.5.2022;2;19;[1016];20047.0;123.80346825;[483, 553, 438];2-0-2;5.0;777.69957
11.5.2022;2;19;[1176];1500.0;180.59512625;[451];2-1629-2;5.0;76.245
11.5.2022;2;19;[1070, 1089, 1034];7753.48;256.5098305;[524, 506, 431, 507, 674];2-2720-1;5.0;390.1753788
11.5.2022;2;19;[1213, 1041, 1126];7051.7;135.57497800000002;[572, 497, 607, 573, 650];2-4373-0;5.0;365.395527
11.5.2022;2;19;[1045, 1187];5498.4;190.62726375000003;[567, 570];2-5046-1;5.0;240.70850399999998
11.5.2022;2;19;[1067, 1068];4384.11;158.79640700000002;[518, 519];2-8375-1;5.0;201.3629241
2022-05-11 00:00:00;2;19;1084;1330.22;70.2500682;541;2-9900-2;5.0;70.2500682
2022-05-11 00:00:00;2;19;1123;4042.0;166.00302;436;2-9900-2;5.0;166.00302
11.5.2022;2;19;[1082, 1123];23915.989999999998;276.7043125;[528, 537, 535, 511];2-9900-2;5.0;1173.8466951
2022-05-11 00:00:00;2;19;1062;1752.0;85.14312;462;2-14709-2;5.0;85.14312
11.5.2022;2;19;[1273, 1063, 1115, 1056, 1204, 1065];23861.9;577.6320549999998;[500, 574, 464, 554, 566, 479, 561, 485, 465, 484, 517];2-14709-2;5.0;1183.786809
12.5.2022;3;19;[1091];2475.75;125.26693025;[578];3-705-0;5.0;110.69873249999999
12.5.2022;3;19;[1062, 1061, 1179];1855.67;243.59125175000003;[563, 477, 476, 480, 564];3-6396-0;5.0;181.92370770000002
13.5.2022;4;19;[1065, 1204];3359.0;280.48403075;[689, 690];4-468-1;5.0;165.16629
16.5.2022;0;20;[1133];1317.0;148.54006475;[735];0-65-2;5.0;69.78327
16.5.2022;0;20;[1067, 1068];7674.39;136.31129049999998;[669, 671];0-479-1;5.0;317.5427109
2022-05-16 00:00:00;0;20;1236;11632.0;434.00592;639;0-705-0;5.0;434.00592
16.5.2022;0;20;[];0.0;125.26693025;[];0-705-0;5.0;434.00592
16.5.2022;0;20;[1076, 1084];3102.14;210.698796;[720, 703];0-9586-0;5.0;156.0965634
16.5.2022;0;20;[1315, 1187, 1045, 1102, 1186, 1350];16685.5;428.59555199999994;[635, 695, 696, 824, 855, 763];0-13591-2;5.0;728.845005
16.5.2022;0;20;[1179, 1061, 1053, 1115, 1062, 1313, 1063];13265.05;589.5758907499999;[687, 622, 679, 620, 621, 773, 632, 761, 684, 579];0-14299-2;5.0;701.1889155
16.5.2022;0;20;[1176, 1255, 1089, 1034, 1088, 1031];16021.060000000001;400.36590825;[661, 609, 663, 665, 664, 614, 659, 660];0-14574-2;5.0;751.9436286
18.5.2022;2;20;[1016];16243.27;123.80346825;[847, 715];2-0-2;5.0;620.1098637
18.5.2022;2;20;[1035, 1176];3716.63;180.59512625;[863, 798, 709];2-1629-2;5.0;201.07420530000002
18.5.2022;2;20;[1089, 1034];4337.07;256.5098305;[738, 801];2-2720-1;5.0;199.7019417
18.5.2022;2;20;[1126, 1041, 1213];6667.48;135.57497800000002;[879, 785, 718, 783];2-4373-0;5.0;328.5487188
18.5.2022;2;20;[1151, 1045];11964.380000000001;190.62726375000003;[787, 767, 854];2-5046-1;5.0;492.3022578
18.5.2022;2;20;[1067, 1371, 1068];8205.71;158.79640700000002;[815, 871, 814];2-8375-1;5.0;359.58362009999996
18.5.2022;2;20;[1084, 1082];7986.25;276.7043125;[753, 806, 843];2-9900-2;5.0;351.8344875
18.5.2022;2;20;[1372, 1063, 1273, 1065, 1062, 1115, 1204];17740.61;577.6320549999998;[933, 732, 747, 777, 779, 876, 733, 760, 757, 778, 967, 875, 851];2-14709-2;5.0;929.0609390999999
19.5.2022;3;20;[1091];183.0;125.26693025;[859];3-705-0;5.0;29.74173
19.5.2022;3;20;[1061, 1062, 1179];2274.58;243.59125175000003;[793, 873, 794, 791, 874];3-6396-0;5.0;196.7154198
2022-05-20 00:00:00;4;20;1204;6326.0;246.65106;883;4-468-1;5.0;246.65106
20.5.2022;4;20;[1065];6890.0;280.48403075;[963, 884];4-468-1;5.0;536.49696
23.5.2022;0;21;[1133];5928.67;148.54006475;[1017];0-65-2;5.0;232.6213377
2022-05-23 00:00:00;0;21;1067;6427.0;250.21737000000002;946;0-479-1;5.0;250.21737000000002
23.5.2022;0;21;[1068];6815.44;136.31129049999998;[947];0-479-1;5.0;514.1505564
23.5.2022;0;21;[1236];2485.5;125.26693025;[1003];0-705-0;5.0;111.04300500000001
23.5.2022;0;21;[1213];2794.48;210.698796;[910];0-9586-0;5.0;121.9530888
23.5.2022;0;21;[1186, 1102, 1231, 1187, 1315, 1045];15652.93;428.59555199999994;[985, 1010, 1015, 984, 1005, 899, 981];0-13591-2;5.0;715.6649583
23.5.2022;0;21;[1062, 1179, 1061, 1123, 1313];11456.52;589.5758907499999;[968, 965, 932, 969, 1046, 924, 961, 882, 944];0-14299-2;5.0;614.0497212
23.5.2022;0;21;[1035, 1034, 1255, 1088, 1176, 1031, 1089];6990.73;400.36590825;[920, 919, 901, 1032, 918, 936, 937, 939, 938];0-14574-2;5.0;456.36267630000003
25.5.2022;2;21;[1016];5580.0;123.80346825;[1001];2-0-2;5.0;220.3098
