MR_ID;Wochentag;Fahrzeugtyp;Kapazität;Sequenz;Tourdauer;Tourdistanz;Tourkosten;AF_Kosten
0-195-2;0;2;24000;[3, 33, 0];117.23616666666666;64.64;123.77887369925;750.53547
0-14083-1;0;1;12000;[48, 42, 10, 0];182.2925;96.03999999999999;167.18303361375;479.85972000000004
0-32390-2;0;2;24000;[7, 27, 26, 8, 38, 6, 35, 46, 22, 0];337.5076666666667;119.58999999999999;310.25866637150006;985.70442
0-32412-0;0;0;9000;[49, 39, 1, 28, 0];159.464;65.42999999999999;130.10422563600002;374.96442
0-34133-2;0;2;24000;[14, 15, 30, 57, 17, 24, 43, 0];383.8065;207.39999999999998;402.30305282475;978.7622400000001
1-29979-0;1;0;9000;[47, 0];49.99066666666667;16.73;39.476232026000005;102.44502
1-30128-0;1;0;9000;[25, 23, 32, 9, 51, 0];250.81483333333335;120.66;210.78552758725004;424.40913000000006
2-910-1;2;1;12000;[19, 20, 0];118.12233333333333;73.61;113.5881943735;406.61607
2-1273-0;2;0;9000;[30, 31, 0];156.88283333333334;110.44;143.96122896925002;312.0912
2-31277-1;2;1;12000;[53, 54, 49, 5, 0];170.88033333333334;77.9;151.11384569050003;501.62139
2-33047-2;2;2;24000;[45, 18, 13, 40, 16, 56, 15, 14, 0];391.312;221.32;417.00615448800005;986.50584
2-34162-2;2;2;24000;[8, 38, 6, 28, 0];182.99066666666667;72.06;173.220496526;622.66407
3-6643-0;3;0;9000;[36, 25, 4, 0];283.187;192.49;257.48412355050004;362.87769000000003
3-29979-0;3;0;9000;[47, 0];49.99066666666667;16.73;39.476232026000005;102.44502
3-30808-1;3;1;12000;[11, 21, 50, 7, 27, 0];293.2198333333333;162.51999999999998;272.62981374475;497.74800000000005
3-32873-2;3;2;24000;[44, 12, 52, 3, 37, 0];321.7233333333333;199.61999999999998;355.08536948499994;929.27151
3-33523-2;3;2;24000;[29, 42, 10, 41, 34, 0];272.1093333333333;124.04;269.282907124;727.01583
4-21028-1;4;1;12000;[20, 19, 55, 0];147.83266666666668;70.83999999999999;132.324647609;472.44462
4-32577-2;4;2;24000;[18, 45, 13, 40, 16, 15, 2, 31, 0];415.76183333333336;228.12;438.19068837775;1002.39534
