MR_ID;Wochentag;Fahrzeugtyp;Kapazität;Sequenz;Tourdauer;Tourdistanz;Tourkosten;AF_Kosten;Sequenz_extID
0-62-2;0;2;24000;[1, 26, 0];117.23616666666666;64.64;185.6750809375;750.53547;[1016, 1133, 0]
0-3047-1;0;1;12000;[20, 19, 4, 0];161.47983333333332;90.05000000000003;225.6002065625;389.81922000000003;[1089, 1088, 1035, 0]
0-7057-1;0;1;12000;[14, 13, 39, 0];147.83266666666668;70.83999999999997;198.49550875;472.44462000000004;[1068, 1067, 1371, 0]
0-8029-0;0;0;9000;[18, 16, 34, 0];202.69600000000003;112.6;263.37349500000005;263.51535;[1084, 1076, 1213, 0]
0-10069-0;0;0;9000;[38, 35, 29, 0];157.8385;78.33;200.22755156250003;361.00626;[1350, 1236, 1177, 0]
1-23-0;1;0;9000;[24, 0];73.75399999999998;47.18;99.05944125;117.06336;[1123, 0]
1-432-1;1;1;12000;[12, 33, 0];228.30416666666667;172.98;350.6050384375;441.74952000000013;[1065, 1204, 0]
1-1848-1;1;1;12000;[28, 2, 21, 0];136.44833333333332;55.6;176.428896875;408.4629;[1176, 1031, 1091, 0]
1-2364-0;1;0;9000;[15, 36, 3, 0];203.06116666666668;126.31;270.8683140625;337.06607999999994;[1070, 1255, 1034, 0]
1-6153-0;1;0;9000;[10, 40, 23, 0];225.9393333333333;153.1;307.91366375;353.55585;[1062, 1372, 1115, 0]
1-10252-0;1;0;9000;[11, 30, 8, 9, 0];275.68;179.38;371.84185500000007;386.22831;[1063, 1179, 1056, 1061, 0]
2-440-1;2;1;12000;[13, 14, 0];118.12233333333332;73.61;170.38911312499997;406.61607000000004;[1067, 1068, 0]
2-659-1;2;1;12000;[22, 35, 0];179.78083333333336;108.54;256.90922468750006;410.21769;[1102, 1236, 0]
2-945-2;2;2;24000;[7, 37, 1, 0];240.40583333333336;164.89;414.3633003125;855.4875000000003;[1053, 1313, 1016, 0]
2-3759-0;2;0;9000;[25, 5, 34, 0];139.36533333333333;55.07;169.4687225;304.68681000000004;[1126, 1041, 1213, 0]
2-4321-1;2;1;12000;[32, 6, 27, 0];178.4875;83.55000000000003;238.28407968750003;473.32737;[1187, 1045, 1151, 0]
3-432-1;3;1;12000;[12, 33, 0];228.30416666666667;172.98;350.6050384375;441.74952000000013;[1065, 1204, 0]
3-2045-2;3;2;24000;[3, 20, 4, 0];183.91;103.91;293.87848875;505.88319;[1034, 1089, 1035, 0]
3-5878-0;3;0;9000;[11, 10, 23, 0];237.77616666666665;161.97000000000003;324.4864459375001;384.16962;[1063, 1062, 1115, 0]
3-8271-2;3;2;24000;[18, 17, 24, 0];211.8623333333333;126.76;345.880390625;561.42582;[1084, 1082, 1123, 0]
4-1848-1;4;1;12000;[28, 2, 21, 0];136.44833333333332;55.6;176.428896875;408.4629;[1176, 1031, 1091, 0]
4-4362-1;4;1;12000;[32, 6, 31, 0];166.90400000000002;74.07;220.00786499999998;432.96804;[1187, 1045, 1186, 0]
4-5430-0;4;0;9000;[30, 10, 9, 0];221.95416666666668;154.26;304.4890646875001;343.49249999999995;[1179, 1062, 1061, 0]
