MR_ID;Wochentag;Fahrzeugtyp;Kapazität;Sequenz;Tourdauer;Tourdistanz;Tourkosten;AF_Kosten
0-60-2;0;2;24000;[0, 24, 1, 0];229.92450000000002;166.4;270.21797978175005;727.6899000000001
0-60-2;0;2;24000;[0, 24, 1, 0];229.92450000000002;166.4;270.21797978175005;727.6899000000001
0-60-2;0;2;24000;[0, 24, 1, 0];229.92450000000002;166.4;270.21797978175005;727.6899000000001
0-1263-2;0;2;24000;[0, 28, 2, 4, 0];219.59566666666666;133.59;240.5219959835;521.6667600000001
0-1263-2;0;2;24000;[0, 28, 2, 4, 0];219.59566666666666;133.59;240.5219959835;521.6667600000001
0-1263-2;0;2;24000;[0, 28, 2, 4, 0];219.59566666666666;133.59;240.5219959835;521.6667600000001
0-1905-0;0;0;9000;[0, 19, 20, 3, 0];277.9076666666666;185.31;251.43950597149998;352.21407
0-1905-0;0;0;9000;[0, 19, 20, 3, 0];277.9076666666666;185.31;251.43950597149998;352.21407
0-1905-0;0;0;9000;[0, 19, 20, 3, 0];277.9076666666666;185.31;251.43950597149998;352.21407
0-3085-2;0;2;24000;[0, 22, 32, 6, 0];325.15366666666665;208.8;363.75816450049996;598.36008
0-3085-2;0;2;24000;[0, 22, 32, 6, 0];325.15366666666665;208.8;363.75816450049996;598.36008
0-3085-2;0;2;24000;[0, 22, 32, 6, 0];325.15366666666665;208.8;363.75816450049996;598.36008
0-3675-0;0;0;9000;[0, 10, 30, 9, 0];382.212;296.53999999999996;360.251729838;343.49249999999995
0-3675-0;0;0;9000;[0, 10, 30, 9, 0];382.212;296.53999999999996;360.251729838;343.49249999999995
0-3675-0;0;0;9000;[0, 10, 30, 9, 0];382.212;296.53999999999996;360.251729838;343.49249999999995
0-6114-0;0;0;9000;[0, 29, 35, 21, 0];211.59733333333335;116.12;182.79113683600002;346.6704
0-6114-0;0;0;9000;[0, 29, 35, 21, 0];211.59733333333335;116.12;182.79113683600002;346.6704
0-6114-0;0;0;9000;[0, 29, 35, 21, 0];211.59733333333335;116.12;182.79113683600002;346.6704
1-2817-0;1;0;9000;[0, 25, 5, 34, 0];215.71883333333332;115.22999999999999;185.25945378325002;304.68681
1-2817-0;1;0;9000;[0, 25, 5, 34, 0];215.71883333333332;115.22999999999999;185.25945378325002;304.68681
1-2817-0;1;0;9000;[0, 25, 5, 34, 0];215.71883333333332;115.22999999999999;185.25945378325002;304.68681
1-3508-2;1;2;24000;[0, 33, 12, 8, 0];477.9895;368.38;577.31436302925;509.2023300000001
1-3508-2;1;2;24000;[0, 33, 12, 8, 0];477.9895;368.38;577.31436302925;509.2023300000001
1-3508-2;1;2;24000;[0, 33, 12, 8, 0];477.9895;368.38;577.31436302925;509.2023300000001
1-4292-0;1;0;9000;[0, 40, 11, 23, 0];389.8565;294.5;364.69505739975;328.83885000000004
1-4292-0;1;0;9000;[0, 40, 11, 23, 0];389.8565;294.5;364.69505739975;328.83885000000004
1-4292-0;1;0;9000;[0, 40, 11, 23, 0];389.8565;294.5;364.69505739975;328.83885000000004
1-4430-2;1;2;24000;[0, 26, 14, 13, 0];235.59833333333333;153.55;265.1354565475;546.525
1-4430-2;1;2;24000;[0, 26, 14, 13, 0];235.59833333333333;153.55;265.1354565475;546.525
1-4430-2;1;2;24000;[0, 26, 14, 13, 0];235.59833333333333;153.55;265.1354565475;546.525
2-0-2;2;2;24000;[0, 1, 0];166.489;121.3;196.2264539235;610.6265400000001
2-0-2;2;2;24000;[0, 1, 0];166.489;121.3;196.2264539235;610.6265400000001
2-0-2;2;2;24000;[0, 1, 0];166.489;121.3;196.2264539235;610.6265400000001
2-1263-2;2;2;24000;[0, 28, 2, 4, 0];219.59566666666666;133.59;240.5219959835;521.6667600000001
2-1263-2;2;2;24000;[0, 28, 2, 4, 0];219.59566666666666;133.59;240.5219959835;521.6667600000001
2-1263-2;2;2;24000;[0, 28, 2, 4, 0];219.59566666666666;133.59;240.5219959835;521.6667600000001
2-3675-0;2;0;9000;[0, 10, 30, 9, 0];382.212;296.53999999999996;360.251729838;343.49249999999995
2-3675-0;2;0;9000;[0, 10, 30, 9, 0];382.212;296.53999999999996;360.251729838;343.49249999999995
2-3675-0;2;0;9000;[0, 10, 30, 9, 0];382.212;296.53999999999996;360.251729838;343.49249999999995
2-5408-2;2;2;24000;[0, 24, 17, 18, 0];333.518;234.43;387.15490205699996;561.42582
2-5408-2;2;2;24000;[0, 24, 17, 18, 0];333.518;234.43;387.15490205699996;561.42582
2-5408-2;2;2;24000;[0, 24, 17, 18, 0];333.518;234.43;387.15490205699996;561.42582
2-6003-0;2;0;9000;[0, 39, 20, 35, 0];321.93533333333335;199.54999999999998;286.035611323;381.59199
2-6003-0;2;0;9000;[0, 39, 20, 35, 0];321.93533333333335;199.54999999999998;286.035611323;381.59199
