MR_ID;Wochentag;Fahrzeugtyp;Kapazität;Sequenz;Tourdauer;Tourdistanz;Tourkosten;AF_Kosten;Sequenz_extID
0-12912-0;0;0;9000;[36, 29, 21, 0];143.00533333333334;67.1;119.594487628;346.6704;[1236, 1177, 1091, 0]
0-26545-2;0;2;24000;[18, 17, 24, 0];211.8623333333333;126.76;230.57877038349997;561.42582;[1084, 1082, 1123, 0]
0-28841-2;0;2;24000;[15, 37, 3, 20, 4, 2, 28, 0];332.1471666666667;154.55;330.87451587575003;973.81884;[1070, 1255, 1034, 1089, 1035, 1031, 1176, 0]
0-33950-2;0;2;24000;[22, 32, 6, 31, 27, 34, 0];310.5566666666666;133.35;301.637147735;829.46085;[1102, 1187, 1045, 1186, 1151, 1213, 0]
0-38460-2;0;2;24000;[12, 33, 8, 30, 10, 23, 0];368.41083333333336;220.67;401.12692514125007;944.43021;[1065, 1204, 1056, 1179, 1062, 1115, 0]
1-479-1;1;1;12000;[13, 14, 0];118.12233333333332;73.61;113.5881943735;406.61607000000004;[1067, 1068, 0]
2-33-0;2;0;9000;[34, 0];49.99066666666667;16.73;39.476232026000005;102.44502;[1213, 0]
2-65-2;2;2;24000;[1, 26, 0];117.23616666666666;64.64;123.77887369925;750.53547;[1016, 1133, 0]
2-12845-0;2;0;9000;[23, 24, 0];156.88283333333334;110.44;143.96122896925004;312.0912;[1115, 1123, 0]
2-12849-0;2;0;9000;[18, 16, 25, 5, 38, 0];250.81483333333333;120.66;210.78552758725002;424.40913000000006;[1084, 1076, 1126, 1041, 1273, 0]
2-26275-2;2;2;24000;[33, 12, 8, 30, 11, 43, 10, 9, 0];391.31199999999995;221.32;417.00615448800005;986.50584;[1204, 1065, 1056, 1179, 1063, 1372, 1062, 1061, 0]
2-26838-2;2;2;24000;[3, 20, 19, 4, 28, 2, 21, 0];300.3661666666667;116.85;283.33719069425007;974.87814;[1034, 1089, 1088, 1035, 1176, 1031, 1091, 0]
2-35780-2;2;2;24000;[35, 32, 6, 40, 41, 36, 0];293.7058333333333;139.32999999999998;294.42868753375;907.3900199999999;[1231, 1187, 1045, 1315, 1350, 1236, 0]
4-0-2;4;2;24000;[1, 0];90.7445;60.65;103.16606321174999;610.6265400000002;[1016, 0]
4-27616-2;4;2;24000;[11, 10, 9, 7, 39, 14, 13, 42, 0];439.59533333333326;240.78;463.02097141300004;1009.7398199999999;[1063, 1062, 1061, 1053, 1313, 1068, 1067, 1371, 0]
