from;to;distance;time
0;0;0.0;0.0
0;1016;60.65;75.7445
0;1062;137.77;151.76666666666668
0;1065;172.83;196.697
0;1068;68.15;78.20666666666666
0;1204;171.94;196.4505
0;1236;49.03;68.59200000000001
1016;0;60.65;75.7445
1016;1016;0.0;0.0
1016;1062;79.66;84.8635
1016;1065;114.72;129.79383333333334
1016;1068;95.89;111.12216666666667
1016;1204;113.83;129.54733333333334
1016;1236;98.36;120.94383333333333
1062;0;137.77;151.76666666666668
1062;1016;79.66;84.8635
1062;1062;0.0;0.0
1062;1065;69.51;93.73233333333333
1062;1068;91.12;119.89
1062;1204;68.62;93.48583333333333
1062;1236;175.51;197.18516666666667
1065;0;172.83;196.697
1065;1016;114.72;129.79383333333334
1065;1062;69.51;93.73233333333333
1065;1065;0.0;0.0
1065;1068;126.18;164.94366666666667
1065;1204;1.04;1.8536666666666666
1065;1236;210.57;242.23883333333333
1068;0;68.15;78.20666666666666
1068;1016;95.89;111.12216666666667
1068;1062;91.12;119.89
1068;1065;126.18;164.94366666666667
1068;1068;0.0;0.0
1068;1204;125.33;165.3781666666667
1068;1236;105.36;122.17466666666665
1204;0;171.94;196.4505
1204;1016;113.83;129.54733333333334
1204;1062;68.62;93.48583333333333
1204;1065;1.04;1.8536666666666666
1204;1068;125.33;165.3781666666667
1204;1204;0.0;0.0
1204;1236;209.68;241.994
1236;0;49.03;68.59200000000001
1236;1016;98.36;120.94383333333333
1236;1062;175.51;197.18516666666667
1236;1065;210.57;242.23883333333333
1236;1068;105.36;122.17466666666665
1236;1204;209.68;241.994
1236;1236;0.0;0.0
