from;to;distance;time
0;0;0.0;0.0
0;1016;60.65;75.7445
0;1034;87.5;102.39466666666667
0;1035;60.88;71.0125
0;1041;56.59;72.804
0;1045;71.24;97.80333333333333
0;1061;129.73;141.696
0;1062;137.77;151.76666666666668
0;1065;172.83;196.697
0;1067;73.16;86.94166666666666
0;1068;68.15;78.20666666666666
0;1082;72.65;87.86999999999999
0;1115;108.45;121.20683333333334
0;1123;47.18;58.754
0;1176;55.81;69.90066666666667
0;1187;85.58;110.381
0;1204;171.94;196.4505
0;1236;49.03;68.59200000000001
0;1313;124.28;140.6405
1016;0;60.65;75.7445
1016;1016;0.0;0.0
1016;1034;136.83;154.74666666666664
1016;1035;110.21;123.36433333333333
1016;1041;76.92;86.49983333333333
1016;1045;116.74;143.8756666666667
1016;1061;71.62;74.79299999999999
1016;1062;79.66;84.8635
1016;1065;114.72;129.79383333333334
1016;1067;100.9;119.85733333333333
1016;1068;95.89;111.12216666666667
1016;1082;84.04;94.542
1016;1115;56.09;67.75166666666667
1016;1123;58.57;65.426
1016;1176;105.14;122.2525
1016;1187;125.04;154.793
1016;1204;113.83;129.54733333333334
1016;1236;98.36;120.94383333333333
1016;1313;66.17;73.7375
1034;0;87.5;102.39466666666667
1034;1016;136.83;154.74666666666664
1034;1034;0.0;0.0
1034;1035;34.63;44.823499999999996
1034;1041;139.93;160.63549999999998
1034;1045;148.63;179.86733333333333
1034;1061;210.7;231.09983333333332
1034;1062;218.74;241.17033333333333
1034;1065;253.8;286.10066666666665
1034;1067;55.91;83.09066666666666
1034;1068;54.01;80.07266666666666
1034;1082;163.94;184.2045
1034;1115;199.74;217.5413333333333
1034;1123;138.47;155.0883333333333
1034;1176;47.49;64.8545
1034;1187;162.98;192.44500000000002
1034;1204;252.91;285.8541666666667
1034;1236;72.3;87.60316666666667
1034;1313;205.25;230.04433333333333
1035;0;60.88;71.0125
1035;1016;110.21;123.36433333333333
1035;1034;34.63;44.823499999999996
1035;1035;0.0;0.0
1035;1041;112.59;127.33016666666667
1035;1045;121.29;146.56199999999998
1035;1061;183.36;197.7945
1035;1062;191.4;207.86499999999998
1035;1065;226.46;252.79533333333333
1035;1067;126.79;143.04016666666666
1035;1068;121.78;134.30516666666668
1035;1082;136.59;150.89916666666667
1035;1115;172.39;184.236
1035;1123;111.13;121.78316666666666
1035;1176;16.46;31.542333333333332
1035;1187;135.63;159.13966666666664
1035;1204;225.57;252.54883333333333
1035;1236;44.96;54.298
1035;1313;177.91;196.739
1041;0;56.59;72.804
1041;1016;76.92;86.49983333333333
1041;1034;139.93;160.63549999999998
1041;1035;112.59;127.33016666666667
1041;1041;0.0;0.0
1041;1045;50.67;78.38866666666667
1041;1061;145.1;151.21833333333333
1041;1062;153.14;161.28883333333334
1041;1065;188.2;206.21933333333334
1041;1067;111.62;130.5965
1041;1068;106.61;121.86149999999999
1041;1082;90.32;102.21849999999999
1041;1115;126.12;135.55516666666668
1041;1123;64.85;73.10233333333333
1041;1176;103.54;119.48033333333333
1041;1187;58.97;89.30583333333334
