Recipient_ID;Recipient_ID;Shipment_ID;Loading_Date;Weight;Freight_Cost;Sender_Street;Sender_Postal_Code;Sender_City;Recipient_Street;Recipient_Postal_Code;Recipient_City;Recipient_House_No;Calendar_Week;Recipient_Longitude;Recipient_Latitude;Sender_Longitude;Sender_Latitude;Real_Distance;Duration;Euc_Distance;Weekday
997;997;0;2020-01-06;13538.0;203.79;Trinidadstraße 44;27356;Rotenburg (Wümme);AN DER BRÜCKE ;26180;RASTEDE;45 ;1;8.174763;53.242718;9.3372;53.124339;101464.0;4215.1;78.56749418147875;0
706;706;3;2020-01-06;2311.64;113.32;Trinidadstraße 44;27356;Rotenburg (Wümme);KÖNIGSTRASSE ;26676;BARSSEL;1 ;1;7.813597;53.134596;9.3372;53.124339;123151.6;5595.3;101.65627700729945;0
1245;1245;6;2020-01-06;24573.27;160.43;Trinidadstraße 44;27356;Rotenburg (Wümme);INDUSTRIESTRASSE ;27211;BASSUM;13 ;1;8.742445;52.858623;9.3372;53.124339;65748.7;3249.9;49.57468338389478;0
1222;1222;10;2020-01-07;345.713;53.43;Trinidadstraße 44;27356;Rotenburg (Wümme);EDISONSTRASSE ;28357;BREMEN;21 ;1;8.891634;53.111667;9.3372;53.124339;43696.1;2182.8;29.7685363427645;1
1297;1297;12;2020-01-07;5616.11;114.99;Trinidadstraße 44;27356;Rotenburg (Wümme);ARSTERDAMM ;28277;BREMEN;110 ;1;8.822854;53.044442;9.3372;53.124339;42971.0;2092.6;35.48226887442577;1
1173;1173;17;2020-01-07;3100.0;82.16;Trinidadstraße 44;27356;Rotenburg (Wümme);BOSCHSTRASSE ;27367;SOTTRUM;10 ;1;9.211197;53.103328;9.3372;53.124339;13317.1;1064.4;8.728226331154465;1
1337;1337;26;2020-01-07;18082.99;259.05;Trinidadstraße 44;27356;Rotenburg (Wümme);WANKELSTRASSE ;26802;MOORMERLAND;5 ;1;7.466793;53.312456;9.3372;53.124339;152880.4;5954.7;126.27219472318184;1
1389;1389;27;2020-01-07;64.0;50.76;Trinidadstraße 44;27356;Rotenburg (Wümme);WESTFALENSTRASSE ;26723;EMDEN;2 ;1;7.172945;53.355035;9.3372;53.124339;178752.7;6965.7;146.28483212705854;1
1329;1329;28;2020-01-07;166.818;66.53;Trinidadstraße 44;27356;Rotenburg (Wümme);RUDOLF DIESEL STRASSE ;26670;UPLENGEN;10 ;1;7.755837;53.265312;9.3372;53.124339;129192.9;5172.1;106.50249510475021;1
1269;1269;29;2020-01-07;308.0;73.36;Trinidadstraße 44;27356;Rotenburg (Wümme);TEUTONENSTRASSE ;26723;EMDEN;4 ;1;7.185647;53.367524;9.3372;53.124339;178697.5;7013.3;145.68355964536354;1
1281;1281;33;2020-01-07;2973.0;114.65;Trinidadstraße 44;27356;Rotenburg (Wümme);ALTER FLUGPLATZ ;49377;VECHTA;2 ;1;8.263507;52.722638;9.3372;53.124339;109962.5;4364.4;84.70950325552153;1
1284;1284;38;2020-01-07;8963.35;181.61;Trinidadstraße 44;27356;Rotenburg (Wümme);HOLTHÖGE ;49632;ESSEN;10;1;7.917339;52.732237;9.3372;53.124339;122139.3;5073.3;104.68224297819614;1
1284;1284;39;2020-01-07;2007.58;113.32;Trinidadstraße 44;27356;Rotenburg (Wümme);HOLTHÖGE ;49632;ESSEN;10;1;7.917339;52.732237;9.3372;53.124339;122139.3;5073.3;104.68224297819614;1
1285;1285;40;2020-01-07;254.332;68.54;Trinidadstraße 44;27356;Rotenburg (Wümme);BUNNER STRASSE ;49632;ESSEN;4;1;7.930864;52.694711;9.3372;53.124339;121256.6;5009.5;105.7145935134644;1
1226;1226;42;2020-01-07;3784.19;132.16;Trinidadstraße 44;27356;Rotenburg (Wümme);ZEISIGWEG ;49624;LÖNINGEN;2 ;1;7.792475;52.728865;9.3372;53.124339;130267.8;5466.1;112.49471057258445;1
1080;1080;43;2020-01-07;476.074;73.15;Trinidadstraße 44;27356;Rotenburg (Wümme);VON LIEBIG STRASSE ;49699;LINDERN (OLDENBURG);3 ;1;7.781386;52.835475;9.3372;53.124339;126622.7;5408.7;108.99914648000839;1
1273;1273;46;2020-01-07;3562.5;86.48;Trinidadstraße 44;27356;Rotenburg (Wümme);GERHARD LIESEGANG STRASSE ;27404;ZEVEN;1 ;1;9.297964;53.27437;9.3372;53.124339;25604.2;1512.5;16.88618029764552;1
1334;1334;49;2020-01-07;14539.56;203.79;Trinidadstraße 44;27356;Rotenburg (Wümme);VISBEKER DAMM ;49429;VISBEK;1A ;1;8.301824;52.824642;9.3372;53.124339;87468.5;3870.5;76.91971192010008;1
1106;1106;51;2020-01-07;9343.86;190.98;Trinidadstraße 44;27356;Rotenburg (Wümme);HAUPTSTRASSE ;26689;APEN;101 ;1;7.786704;53.21815;9.3372;53.124339;127253.4;5580.7;103.86848268102955;1
1200;1200;52;2020-01-07;7.0;21.9;Trinidadstraße 44;27356;Rotenburg (Wümme);NORDLOHER DORFSTRASSE ;26689;APEN;8 ;1;7.789361;53.179567;9.3372;53.124339;130687.5;5785.2;103.39522980374788;1
706;706;58;2020-01-07;294.32;68.54;Trinidadstraße 44;27356;Rotenburg (Wümme);KÖNIGSTRASSE ;26676;BARSSEL;1 ;1;7.813597;53.134596;9.3372;53.124339;123151.6;5595.3;101.65627700729945;1
1223;1223;62;2020-01-07;1364.73;91.25;Trinidadstraße 44;27356;Rotenburg (Wümme);DORFSTRASSE ;26219;BÖSEL;7;1;7.955595;52.974956;9.3372;53.124339;122114.0;5101.2;93.829499511425;1
1299;1299;69;2020-01-07;225.5;51.86;Trinidadstraße 44;27356;Rotenburg (Wümme);CARL ZEISS STRASSE ;28816;STUHR;21 ;1;8.753592;53.027607;9.3372;53.124339;48059.9;2308.2;40.44209439664968;1
1326;1326;77;2020-01-07;2706.26;78.05;Trinidadstraße 44;27356;Rotenburg (Wümme);MOORSTRASSE ;27299;LANGWEDEL;21 ;1;9.185402;52.981885;9.3372;53.124339;46852.4;2136.1;18.810775482701473;1
1307;1307;81;2020-01-07;82.025;57.17;Trinidadstraße 44;27356;Rotenburg (Wümme);INDUSTRIESTRASSE ;26683;SATERLAND;5 ;1;7.690675;53.102345;9.3372;53.124339;129965.9;6154.2;109.91891519112322;1
1191;1191;87;2020-01-07;18.0;16.98;Trinidadstraße 44;27356;Rotenburg (Wümme);FREESENSTRASSE ;27327;MARTFELD;11 ;1;9.047465;52.882568;9.3372;53.124339;56584.0;3223.5;33.145057276188105;1
1042;1042;94;2020-01-07;860.576;72.31;Trinidadstraße 44;27356;Rotenburg (Wümme);ELLY BEINHORN STRASSE ;27777;GANDERKESEE;6 ;1;8.522141;53.034216;9.3372;53.124339;66000.3;3043.9;55.35692139921839;1
1264;1264;108;2020-01-07;2676.62;123.91;Trinidadstraße 44;27356;Rotenburg (Wümme);DIESELSTRASSE ;26871;PAPENBURG;1 ;1;7.395304;53.09336;9.3372;53.124339;168899.9;7172.3;129.66342281065963;1
