;ID_Empfänger;ID_Sendung;Beladedatum;Gewicht;Distanz;Wochentag;Delay;Frachtkosten
0;1016.0;[7121.0, 7132.0, 6994.0];2022-10-26;13794.810000000001;54.273;2;-1.3333333333333333;510.37474110000005
1;1016.0;[6891.0, 6741.0];2022-10-19;23117.25;54.489;2;-1.0;839.5500975
2;1016.0;[6610.0];2022-10-17;2700.0;54.489;0;0.0;118.617
3;1016.0;[6487.0];2022-10-12;24191.04;54.273;2;-1.5;877.4656224
4;1016.0;[6562.0];2022-10-12;2304.0;54.273;2;-1.5;104.63424
5;1016.0;[6227.0, 6113.0];2022-10-05;6738.52;54.489;2;-1.0;261.2171412
6;1016.0;[6029.0, 5842.0];2022-09-28;8420.31;54.489;2;-1.0;320.60114610000005
7;1016.0;[5702.0];2022-09-26;56.67;54.273;0;0.0;25.2810177
8;1016.0;[5673.0, 5544.0];2022-09-21;23737.81;54.489;2;-1.0;861.4620711
9;1016.0;[5406.0];2022-09-19;2700.0;54.489;0;0.0;118.617
10;1016.0;[5360.0, 5334.0, 5270.0];2022-09-14;16850.8;54.273;2;-1.0;618.281748
11;1016.0;[5119.0];2022-09-12;5760.0;54.489;0;0.0;226.6656
12;1016.0;[5084.0, 4972.0];2022-09-07;16013.380000000001;54.273;2;-1.0;588.7124478000001
13;1016.0;[4780.0];2022-08-31;16096.0;54.273;2;-1.0;591.62976
14;1016.0;[4673.0];2022-08-31;14060.0;54.273;2;-1.0;519.7386
15;1016.0;[4652.0, 4568.0];2022-08-29;7206.92;54.273;0;-0.5;277.7563452
16;1016.0;[4536.0, 4451.0];2022-08-24;12429.880000000001;54.489;2;-1.0;462.1790628000001
17;1016.0;[4325.0];2022-08-22;2700.0;54.489;0;0.0;118.617
18;1016.0;[3842.0, 3687.0];2022-08-03;11686.0;54.489;2;-1.0;435.9126600000001
19;1016.0;[3525.0, 3450.0];2022-07-27;9795.02;54.489;2;-1.0;369.14215620000004
20;1016.0;[3282.0];2022-07-25;14688.0;54.489;0;0.0;541.91328
21;1016.0;[3115.0];2022-07-20;8280.0;54.489;2;0.0;315.6468000000001
22;1016.0;[2946.0, 3017.0];2022-07-18;10928.0;54.489;0;0.0;409.14768000000004
23;1016.0;[2820.0];2022-07-13;3649.82;54.273;2;0.0;152.15514420000002
24;1016.0;[2652.0];2022-07-11;5580.0;54.489;0;0.0;220.30980000000002
25;1016.0;[2634.0, 2453.0];2022-07-06;15918.8;54.489;2;-1.0;585.3728279999999
26;1016.0;[2329.0];2022-07-04;14200.0;54.489;0;0.0;524.682
27;1016.0;[2175.0];2022-06-27;2304.0;54.273;0;0.0;104.63424
28;1016.0;[2074.0, 1958.0];2022-06-22;19972.0;54.489;2;-1.0;728.4913200000001
29;1016.0;[1877.0];2022-06-20;2700.0;54.489;0;-1.0;118.617
30;1016.0;[1770.0];2022-06-15;8660.67;54.489;2;0.0;329.0882577
31;1016.0;[1596.0, 1464.0];2022-06-08;21274.89;54.489;2;-1.0;774.4963659
32;1016.0;[1306.0, 1235.0];2022-06-01;16204.0;54.273;2;-1.0;595.44324
33;1016.0;[1162.0];2022-05-30;6048.0;54.489;0;-1.0;236.83488
34;1016.0;[1001.0];2022-05-25;5580.0;54.489;2;0.0;220.30980000000002
35;1016.0;[847.0, 715.0];2022-05-18;16243.27;54.273;2;-1.0;596.8298637
36;1016.0;[553.0, 483.0, 438.0];2022-05-11;20047.0;54.489;2;-1.0;731.13957
37;1016.0;[415.0, 314.0];2022-05-09;6048.0;54.489;0;-0.5;236.83488
38;1016.0;[129.0];2022-05-04;7904.0;54.489;2;0.0;302.37023999999997
39;1016.0;[15.0];2022-05-02;5904.0;54.489;0;0.0;231.75024000000002
40;1031.0;[6983.0];2022-10-21;197.77;41.348;4;-4.0;30.2632587
41;1031.0;[6753.0];2022-10-19;32.24;41.348;2;0.0;24.4183944
42;1031.0;[6670.0];2022-10-14;244.03;41.348;4;-4.0;31.8966993
43;1031.0;[6507.0, 6457.0];2022-10-12;5738.43;41.348;2;-0.5;225.90396330000004
44;1031.0;[6375.0, 6319.0, 6250.0];2022-10-07;5054.57;41.348;4;-2.3333333333333335;201.75686670000002
45;1031.0;[6207.0, 6102.0];2022-10-05;12038.2;41.348;2;-0.5;448.3488420000001
46;1031.0;[5920.0];2022-09-28;158.0;41.348;2;-1.0;28.858980000000003
47;1031.0;[5827.0, 5764.0];2022-09-23;1778.23;41.348;4;-3.5;86.0693013
48;1031.0;[5647.0];2022-09-21;599.71;41.348;2;-1.0;44.455760100000006
49;1031.0;[5484.0, 5452.0];2022-09-16;3485.29;41.348;4;-3.5;146.3455899
50;1031.0;[5308.0];2022-09-14;14.4;41.348;2;-1.0;23.788464
51;1031.0;[5226.0, 5155.0, 5092.0];2022-09-09;1950.1399999999999;41.348;4;-2.3333333333333335;92.1394434
52;1031.0;[5006.0, 4954.0];2022-09-07;746.24;41.348;2;-0.5;49.629734400000004
53;1031.0;[4912.0, 4836.0, 4809.0];2022-09-02;7221.67;41.348;4;-2.3333333333333335;278.27716770000006
54;1031.0;[4542.0];2022-08-26;55.63;41.348;4;0.0;25.2442953
55;1031.0;[4452.0];2022-08-24;9478.76;41.348;2;0.0;357.9750156
56;1031.0;[4309.0];2022-08-19;1671.97;41.348;4;0.0;82.3172607
57;1031.0;[4205.0];2022-08-17;315.5;41.348;2;0.0;34.420305
58;1031.0;[4177.0, 4108.0];2022-08-12;492.52;41.348;4;-2.0;40.6708812
59;1031.0;[3998.0];2022-08-10;6292.77;41.348;2;0.0;245.47770870000002
60;1031.0;[3948.0, 3862.0];2022-08-05;360.24;41.348;4;-2.0;36.0000744
