;ID_Empf�nger;Frequency;Demand
0;997;2;3069
1;1291;2;1762
2;1321;2;4853
3;706;2;1175
6;1245;3;2750
8;1120;1;1606
10;1222;3;821
12;1297;3;2198
13;1300;2;726
16;1142;2;406
17;1173;2;699
22;1024;2;697
26;1337;4;6720
27;1389;2;1071
28;1329;3;1152
29;1269;4;2983
33;1281;5;4879
34;1282;2;1288
35;1067;1;2995
36;1026;2;1645
37;1252;2;508
38;1284;5;7816
39;1285;2;374
40;991;1;483
41;1226;3;1330
42;1080;2;842
45;1273;3;3282
47;1208;2;810
48;1334;5;8420
50;1106;4;4014
51;1200;3;837
58;1147;1;1324
59;1223;3;1781
63;1298;2;484
66;1299;2;424
68;902;2;922
70;1004;2;4012
73;1326;2;1324
77;1307;4;1799
81;1170;2;1019
83;1191;2;1138
87;1325;2;1052
89;1042;2;953
101;1015;1;419
103;1264;3;977
106;971;2;1491
107;1397;4;2231
108;875;2;2528
110;1274;3;995
111;1186;2;2063
114;1035;2;1270
115;1331;2;2447
116;1101;2;1466
119;1116;3;204
121;1310;2;1884
124;1154;2;5084
130;1018;1;2662
138;1255;3;1763
139;1145;2;726
141;1137;3;475
142;1267;1;340
144;775;1;2066
145;1308;4;963
147;1266;2;765
149;1304;2;1675
150;1235;2;1678
151;1288;3;1842
152;1293;4;1804
153;1317;2;2800
156;1130;2;412
163;1328;2;1756
168;1290;2;256
169;1292;3;1015
172;1250;3;948
178;889;1;486
180;1262;1;394
182;1076;2;468
183;1263;2;4383
184;1174;2;496
187;1257;2;1536
189;1197;2;465
192;979;1;3292
194;1316;2;1577
195;1088;2;780
198;954;1;1654
202;1168;1;2148
209;1236;2;308
216;1233;2;315
217;863;1;501
218;1021;2;331
224;1254;1;517
225;996;2;559
226;1006;2;925
234;1318;2;648
237;1161;1;427
245;1339;1;2565
253;1188;1;2236
258;1239;1;2575
263;1244;1;381
265;948;1;468
266;1278;2;896
267;1110;2;2252
269;1178;1;6018
271;1081;1;617
285;1221;1;327
294;1214;2;533
300;1287;3;1904
305;963;1;415
306;1083;2;1081
309;1085;1;415
310;978;2;496
313;1311;2;964
322;1089;1;1002
324;1019;3;1548
337;1209;1;585
345;1248;1;728
348;1303;2;730
357;777;1;676
372;1060;1;431
377;922;1;939
380;1289;1;694
402;1036;2;1988
403;1139;1;880
414;1125;2;391
415;885;1;402
436;1260;1;1212
497;951;1;1853
527;1229;1;1229
565;1150;1;512
567;1138;1;449
586;941;1;943
594;977;1;805
703;1149;2;2614
