ID_Empf�nger;Frequency;Demand;Pattern;Pattern_clear
997;2;3069;1;[0, 1, 0, 1, 0]
1291;2;1762;2;[0, 0, 1, 0, 1]
1321;2;4853;2;[0, 0, 1, 0, 1]
706;2;1175;4;[0, 1, 0, 0, 1]
1245;3;2750;2;[1, 1, 0, 1, 0]
1120;1;1606;2;[0, 0, 1, 0, 0]
1222;3;821;2;[1, 1, 0, 1, 0]
1297;3;2198;4;[1, 0, 1, 1, 0]
1300;2;726;4;[0, 1, 0, 0, 1]
1142;2;406;0;[1, 0, 1, 0, 0]
1173;2;699;1;[0, 1, 0, 1, 0]
1024;2;697;4;[0, 1, 0, 0, 1]
1337;4;6720;4;[1, 1, 1, 1, 0]
1389;2;1071;3;[1, 0, 0, 1, 0]
1329;3;1152;0;[0, 1, 0, 1, 1]
1269;4;2983;1;[1, 0, 1, 1, 1]
1281;5;4879;0;[1, 1, 1, 1, 1]
1282;2;1288;2;[0, 0, 1, 0, 1]
1067;1;2995;0;[1, 0, 0, 0, 0]
1026;2;1645;3;[1, 0, 0, 1, 0]
1252;2;508;4;[0, 1, 0, 0, 1]
1284;5;7816;0;[1, 1, 1, 1, 1]
1285;2;374;2;[0, 0, 1, 0, 1]
991;1;483;4;[0, 0, 0, 0, 1]
1226;3;1330;3;[0, 1, 1, 0, 1]
1080;2;842;1;[0, 1, 0, 1, 0]
1273;3;3282;3;[0, 1, 1, 0, 1]
1208;2;810;2;[0, 0, 1, 0, 1]
1334;5;8420;0;[1, 1, 1, 1, 1]
1106;4;4014;1;[1, 0, 1, 1, 1]
1200;3;837;1;[1, 0, 1, 0, 1]
1147;1;1324;3;[0, 0, 0, 1, 0]
1223;3;1781;4;[1, 0, 1, 1, 0]
1298;2;484;2;[0, 0, 1, 0, 1]
1299;2;424;2;[0, 0, 1, 0, 1]
902;2;922;1;[0, 1, 0, 1, 0]
1004;2;4012;2;[0, 0, 1, 0, 1]
1326;2;1324;4;[0, 1, 0, 0, 1]
1307;4;1799;4;[1, 1, 1, 1, 0]
1170;2;1019;4;[0, 1, 0, 0, 1]
1191;2;1138;3;[1, 0, 0, 1, 0]
1325;2;1052;1;[0, 1, 0, 1, 0]
1042;2;953;3;[1, 0, 0, 1, 0]
1015;1;419;1;[0, 1, 0, 0, 0]
1264;3;977;2;[1, 1, 0, 1, 0]
971;2;1491;4;[0, 1, 0, 0, 1]
1397;4;2231;1;[1, 0, 1, 1, 1]
875;2;2528;4;[0, 1, 0, 0, 1]
1274;3;995;1;[1, 0, 1, 0, 1]
1186;2;2063;4;[0, 1, 0, 0, 1]
1035;2;1270;1;[0, 1, 0, 1, 0]
1331;2;2447;4;[0, 1, 0, 0, 1]
1101;2;1466;0;[1, 0, 1, 0, 0]
1116;3;204;3;[0, 1, 1, 0, 1]
1310;2;1884;3;[1, 0, 0, 1, 0]
1154;2;5084;1;[0, 1, 0, 1, 0]
1018;1;2662;1;[0, 1, 0, 0, 0]
1255;3;1763;0;[0, 1, 0, 1, 1]
1145;2;726;4;[0, 1, 0, 0, 1]
1137;3;475;3;[0, 1, 1, 0, 1]
1267;1;340;1;[0, 1, 0, 0, 0]
775;1;2066;0;[1, 0, 0, 0, 0]
1308;4;963;2;[1, 1, 0, 1, 1]
1266;2;765;0;[1, 0, 1, 0, 0]
1304;2;1675;1;[0, 1, 0, 1, 0]
1235;2;1678;0;[1, 0, 1, 0, 0]
1288;3;1842;3;[0, 1, 1, 0, 1]
1293;4;1804;4;[1, 1, 1, 1, 0]
1317;2;2800;0;[1, 0, 1, 0, 0]
1130;2;412;1;[0, 1, 0, 1, 0]
1328;2;1756;4;[0, 1, 0, 0, 1]
1290;2;256;2;[0, 0, 1, 0, 1]
1292;3;1015;2;[1, 1, 0, 1, 0]
1250;3;948;2;[1, 1, 0, 1, 0]
889;1;486;1;[0, 1, 0, 0, 0]
1262;1;394;4;[0, 0, 0, 0, 1]
1076;2;468;4;[0, 1, 0, 0, 1]
1263;2;4383;3;[1, 0, 0, 1, 0]
1174;2;496;1;[0, 1, 0, 1, 0]
1257;2;1536;2;[0, 0, 1, 0, 1]
1197;2;465;4;[0, 1, 0, 0, 1]
979;1;3292;0;[1, 0, 0, 0, 0]
1316;2;1577;3;[1, 0, 0, 1, 0]
1088;2;780;3;[1, 0, 0, 1, 0]
