Recipient_ID;Frequency;Demand;Cluster;Pattern;Pattern_clear
706;2;1175;2;4;[0, 1, 0, 0, 1]
997;2;3069;2;4;[0, 1, 0, 0, 1]
1019;3;1548;1;1;[1, 0, 1, 0, 1]
1042;2;953;1;3;[1, 0, 0, 1, 0]
1080;2;842;2;4;[0, 1, 0, 0, 1]
1106;4;4014;2;4;[1, 1, 1, 1, 0]
1110;2;2252;3;1;[0, 1, 0, 1, 0]
1116;3;204;1;1;[1, 0, 1, 0, 1]
1137;3;475;0;4;[1, 0, 1, 1, 0]
1149;2;2614;2;4;[0, 1, 0, 0, 1]
1173;2;699;1;3;[1, 0, 0, 1, 0]
1191;2;1138;1;3;[1, 0, 0, 1, 0]
1200;3;837;2;3;[0, 1, 1, 0, 1]
1222;3;821;1;1;[1, 0, 1, 0, 1]
1223;3;1781;2;3;[0, 1, 1, 0, 1]
1226;3;1330;2;3;[0, 1, 1, 0, 1]
1233;2;315;1;3;[1, 0, 0, 1, 0]
1235;2;1678;1;3;[1, 0, 0, 1, 0]
1236;2;308;1;3;[1, 0, 0, 1, 0]
1245;3;2750;1;1;[1, 0, 1, 0, 1]
1250;3;948;3;2;[1, 1, 0, 1, 0]
1255;3;1763;2;3;[0, 1, 1, 0, 1]
1263;2;4383;2;4;[0, 1, 0, 0, 1]
1264;3;977;0;4;[1, 0, 1, 1, 0]
1266;2;765;0;0;[1, 0, 1, 0, 0]
1269;4;2983;0;0;[0, 1, 1, 1, 1]
1273;3;3282;1;1;[1, 0, 1, 0, 1]
1274;3;995;3;2;[1, 1, 0, 1, 0]
1281;5;4879;3;0;[1, 1, 1, 1, 1]
1284;5;7816;3;0;[1, 1, 1, 1, 1]
1285;2;374;3;1;[0, 1, 0, 1, 0]
1287;3;1904;0;4;[1, 0, 1, 1, 0]
1288;3;1842;1;1;[1, 0, 1, 0, 1]
1292;3;1015;1;1;[1, 0, 1, 0, 1]
1293;4;1804;1;4;[1, 1, 1, 1, 0]
1297;3;2198;1;1;[1, 0, 1, 0, 1]
1299;2;424;1;3;[1, 0, 0, 1, 0]
1304;2;1675;1;3;[1, 0, 0, 1, 0]
1307;4;1799;2;4;[1, 1, 1, 1, 0]
1308;4;963;2;4;[1, 1, 1, 1, 0]
1310;2;1884;1;3;[1, 0, 0, 1, 0]
1316;2;1577;1;3;[1, 0, 0, 1, 0]
1317;2;2800;1;3;[1, 0, 0, 1, 0]
1318;2;648;3;1;[0, 1, 0, 1, 0]
1326;2;1324;1;3;[1, 0, 0, 1, 0]
1328;2;1756;2;4;[0, 1, 0, 0, 1]
1329;3;1152;2;3;[0, 1, 1, 0, 1]
1331;2;2447;3;1;[0, 1, 0, 1, 0]
1334;5;8420;3;0;[1, 1, 1, 1, 1]
1337;4;6720;0;0;[0, 1, 1, 1, 1]
1389;2;1071;0;0;[1, 0, 1, 0, 0]
1397;4;2231;3;1;[1, 0, 1, 1, 1]
